tradingsymbol,datetime,open,high,low,close,volume
CAMS,2026-04-09 09:15:00,710.0,710.7,702.6,703.8,20235
CAMS,2026-04-09 09:16:00,703.8,704.7,701.7,704.7,22881
CAMS,2026-04-09 09:17:00,705.0,709.3,705.0,707.45,11539
CAMS,2026-04-09 09:18:00,708.55,709.8,708.55,709.45,24271
CAMS,2026-04-09 09:19:00,708.85,711.5,708.85,710.6,16464
CAMS,2026-04-09 09:20:00,711.05,714.95,710.85,712.0,28158
CAMS,2026-04-09 09:21:00,712.0,713.7,712.0,713.7,19615
CAMS,2026-04-09 09:22:00,713.7,713.75,712.2,712.45,14556
CAMS,2026-04-09 09:23:00,712.45,713.9,712.2,713.5,11488
CAMS,2026-04-09 09:24:00,712.9,717.45,712.9,717.4,26090
CAMS,2026-04-09 09:25:00,717.4,718.0,715.9,717.15,23062
CAMS,2026-04-09 09:26:00,718.05,719.2,716.9,718.3,21979
CAMS,2026-04-09 09:27:00,718.15,720.0,718.0,719.5,15637
CAMS,2026-04-09 09:28:00,719.5,720.0,718.3,719.8,32916
CAMS,2026-04-09 09:29:00,720.0,720.0,717.6,718.35,17103
CAMS,2026-04-09 09:30:00,718.35,718.8,716.2,716.4,18000
CAMS,2026-04-09 09:31:00,716.5,716.5,713.3,713.5,16581
CAMS,2026-04-09 09:32:00,713.35,714.6,712.8,713.0,20282
CAMS,2026-04-09 09:33:00,712.9,713.0,710.6,710.6,5603
CAMS,2026-04-09 09:34:00,710.8,710.8,709.2,709.45,11671
CAMS,2026-04-09 09:35:00,709.45,710.05,708.5,709.9,8375
CAMS,2026-04-09 09:36:00,710.05,711.0,709.05,710.85,5618
CAMS,2026-04-09 09:37:00,710.85,711.4,710.4,710.5,3071
CAMS,2026-04-09 09:38:00,710.55,710.9,709.35,709.6,4188
CAMS,2026-04-09 09:39:00,709.55,709.55,708.4,708.7,1907
CAMS,2026-04-09 09:40:00,708.5,708.7,707.7,708.05,6796
CAMS,2026-04-09 09:41:00,708.0,708.05,706.5,707.2,5634
CAMS,2026-04-09 09:42:00,707.2,707.2,706.3,706.65,3911
