tradingsymbol,datetime,open,high,low,close,volume
CHAMBLFERT,2026-04-09 09:15:00,469.0,472.0,467.25,472.0,55776
CHAMBLFERT,2026-04-09 09:16:00,470.75,472.0,468.7,472.0,52197
CHAMBLFERT,2026-04-09 09:17:00,470.7,471.5,469.3,469.5,30753
CHAMBLFERT,2026-04-09 09:18:00,468.2,470.85,468.2,470.0,25931
CHAMBLFERT,2026-04-09 09:19:00,470.0,470.95,469.9,470.5,11820
CHAMBLFERT,2026-04-09 09:20:00,470.5,471.6,470.5,471.1,18398
CHAMBLFERT,2026-04-09 09:21:00,470.9,472.6,470.65,472.6,17493
CHAMBLFERT,2026-04-09 09:22:00,472.3,473.8,472.3,472.55,37882
CHAMBLFERT,2026-04-09 09:23:00,472.55,472.9,472.4,472.4,16680
CHAMBLFERT,2026-04-09 09:24:00,472.0,472.0,471.15,471.25,15137
CHAMBLFERT,2026-04-09 09:25:00,471.35,471.45,470.5,470.5,21823
CHAMBLFERT,2026-04-09 09:26:00,470.6,470.6,469.4,469.75,12565
CHAMBLFERT,2026-04-09 09:27:00,469.4,469.4,468.35,469.4,17834
CHAMBLFERT,2026-04-09 09:28:00,469.4,469.4,467.75,467.75,15006
CHAMBLFERT,2026-04-09 09:29:00,466.55,467.45,466.25,467.45,12901
CHAMBLFERT,2026-04-09 09:30:00,467.45,468.4,467.1,468.4,3681
CHAMBLFERT,2026-04-09 09:31:00,467.8,467.85,466.8,466.8,8482
CHAMBLFERT,2026-04-09 09:32:00,466.6,466.8,466.0,466.0,14836
CHAMBLFERT,2026-04-09 09:33:00,466.1,466.15,465.3,465.3,12285
CHAMBLFERT,2026-04-09 09:34:00,465.05,466.35,465.0,465.85,8648
CHAMBLFERT,2026-04-09 09:35:00,465.5,465.95,465.3,465.95,2719
CHAMBLFERT,2026-04-09 09:36:00,466.15,467.45,466.15,467.3,4098
CHAMBLFERT,2026-04-09 09:37:00,467.0,467.35,466.3,466.3,8720
CHAMBLFERT,2026-04-09 09:38:00,466.5,466.5,465.75,466.0,5816
CHAMBLFERT,2026-04-09 09:39:00,465.75,465.95,465.25,465.25,10364
CHAMBLFERT,2026-04-09 09:40:00,465.5,465.75,465.5,465.65,2358
CHAMBLFERT,2026-04-09 09:41:00,465.35,466.0,465.1,465.1,2742
CHAMBLFERT,2026-04-09 09:42:00,465.1,465.1,462.9,463.45,16330
CHAMBLFERT,2026-04-09 09:43:00,463.45,464.1,463.3,464.1,5209
CHAMBLFERT,2026-04-09 09:44:00,463.6,463.6,463.0,463.25,7480
CHAMBLFERT,2026-04-09 09:45:00,463.2,463.75,463.2,463.75,4916
CHAMBLFERT,2026-04-09 09:46:00,463.8,463.85,463.5,463.55,2627
CHAMBLFERT,2026-04-09 09:47:00,463.55,464.0,463.55,464.0,959
CHAMBLFERT,2026-04-09 09:48:00,463.95,464.45,463.25,463.55,6560
CHAMBLFERT,2026-04-09 09:49:00,463.5,463.5,463.0,463.45,8843
CHAMBLFERT,2026-04-09 09:50:00,463.05,463.15,462.1,462.3,5605
CHAMBLFERT,2026-04-09 09:51:00,462.2,462.45,462.0,462.0,6529
CHAMBLFERT,2026-04-09 09:52:00,461.75,462.8,461.75,462.25,2383
CHAMBLFERT,2026-04-09 09:53:00,462.35,463.0,462.35,462.85,3266
CHAMBLFERT,2026-04-09 09:54:00,462.85,463.45,462.35,462.35,4045
CHAMBLFERT,2026-04-09 09:55:00,462.35,462.75,462.05,462.05,1567
CHAMBLFERT,2026-04-09 09:56:00,462.45,462.45,462.05,462.35,477
CHAMBLFERT,2026-04-09 09:57:00,462.35,462.4,461.4,461.4,3657
CHAMBLFERT,2026-04-09 09:58:00,461.85,461.85,461.6,461.75,98
CHAMBLFERT,2026-04-09 09:59:00,461.65,461.65,460.55,461.25,6194
CHAMBLFERT,2026-04-09 10:00:00,461.4,461.4,460.5,461.35,6286
CHAMBLFERT,2026-04-09 10:01:00,461.5,461.65,461.0,461.65,5421
CHAMBLFERT,2026-04-09 10:02:00,461.65,462.2,461.25,462.2,1124
