tradingsymbol,datetime,open,high,low,close,volume
CIPLA,2026-04-09 09:15:00,1215.2,1218.0,1213.1,1216.8,21919
CIPLA,2026-04-09 09:16:00,1216.8,1220.3,1216.8,1220.3,14958
CIPLA,2026-04-09 09:17:00,1220.3,1226.7,1220.3,1224.8,33753
CIPLA,2026-04-09 09:18:00,1226.1,1226.1,1222.1,1222.4,13321
CIPLA,2026-04-09 09:19:00,1222.4,1222.8,1220.3,1220.3,9648
CIPLA,2026-04-09 09:20:00,1221.3,1222.0,1219.4,1219.7,11492
CIPLA,2026-04-09 09:21:00,1220.7,1221.0,1220.0,1221.0,7454
CIPLA,2026-04-09 09:22:00,1221.0,1221.4,1220.6,1221.0,6025
CIPLA,2026-04-09 09:23:00,1221.1,1223.0,1221.1,1221.3,10185
CIPLA,2026-04-09 09:24:00,1221.3,1222.0,1221.3,1221.5,4096
CIPLA,2026-04-09 09:25:00,1221.5,1222.0,1220.5,1220.5,41541
CIPLA,2026-04-09 09:26:00,1220.8,1220.8,1220.3,1220.4,1958
CIPLA,2026-04-09 09:27:00,1220.3,1220.4,1219.6,1219.9,2569
CIPLA,2026-04-09 09:28:00,1219.9,1219.9,1219.0,1219.8,3197
CIPLA,2026-04-09 09:29:00,1219.5,1221.8,1219.5,1221.7,5933
CIPLA,2026-04-09 09:30:00,1221.3,1221.7,1221.2,1221.4,2930
CIPLA,2026-04-09 09:31:00,1221.4,1221.4,1220.6,1220.8,3459
CIPLA,2026-04-09 09:32:00,1220.9,1221.1,1220.2,1220.8,2443
CIPLA,2026-04-09 09:33:00,1220.2,1220.3,1219.0,1219.0,5101
CIPLA,2026-04-09 09:34:00,1219.0,1219.0,1217.6,1217.8,4590
CIPLA,2026-04-09 09:35:00,1217.8,1218.1,1217.7,1218.0,4410
CIPLA,2026-04-09 09:36:00,1218.0,1219.0,1218.0,1218.4,4682
CIPLA,2026-04-09 09:37:00,1218.4,1218.7,1218.2,1218.4,3577
CIPLA,2026-04-09 09:38:00,1218.1,1218.5,1217.4,1217.4,2641
CIPLA,2026-04-09 09:39:00,1217.3,1217.5,1216.5,1216.7,2370
CIPLA,2026-04-09 09:40:00,1216.2,1217.0,1216.2,1216.8,3425
CIPLA,2026-04-09 09:41:00,1217.2,1217.8,1217.1,1217.8,4162
CIPLA,2026-04-09 09:42:00,1217.8,1219.6,1217.6,1219.1,6428
CIPLA,2026-04-09 09:43:00,1219.0,1219.5,1218.9,1219.0,3463
CIPLA,2026-04-09 09:44:00,1219.0,1221.6,1219.0,1221.0,9689
CIPLA,2026-04-09 09:45:00,1221.0,1222.0,1221.0,1221.7,22814
CIPLA,2026-04-09 09:46:00,1221.2,1221.5,1220.6,1220.8,4553
CIPLA,2026-04-09 09:47:00,1220.8,1221.5,1220.8,1221.0,19828
CIPLA,2026-04-09 09:48:00,1221.1,1221.5,1220.6,1220.9,12009
CIPLA,2026-04-09 09:49:00,1221.0,1221.4,1220.5,1220.9,7413
CIPLA,2026-04-09 09:50:00,1220.8,1222.0,1220.4,1221.9,6009
CIPLA,2026-04-09 09:51:00,1221.9,1222.8,1221.9,1222.8,11852
CIPLA,2026-04-09 09:52:00,1222.8,1223.0,1222.8,1223.0,8426
CIPLA,2026-04-09 09:53:00,1223.0,1223.9,1223.0,1223.8,10249
CIPLA,2026-04-09 09:54:00,1223.5,1223.9,1223.0,1223.5,2472
