tradingsymbol,datetime,open,high,low,close,volume
COHANCE,2026-04-09 09:15:00,309.45,311.4,306.0,310.45,12897
COHANCE,2026-04-09 09:16:00,311.2,312.25,310.0,311.15,18875
COHANCE,2026-04-09 09:17:00,311.05,314.2,311.05,312.55,9471
COHANCE,2026-04-09 09:18:00,312.1,313.05,311.9,313.0,6514
COHANCE,2026-04-09 09:19:00,313.0,314.45,312.9,313.05,4802
COHANCE,2026-04-09 09:20:00,313.5,314.0,312.65,312.65,4260
COHANCE,2026-04-09 09:21:00,312.6,313.0,312.05,312.6,8449
COHANCE,2026-04-09 09:22:00,312.6,313.55,312.6,313.55,2145
COHANCE,2026-04-09 09:23:00,313.25,313.25,312.7,312.9,1288
COHANCE,2026-04-09 09:24:00,313.15,315.35,313.15,314.85,25181
COHANCE,2026-04-09 09:25:00,314.85,316.9,314.85,316.15,9043
COHANCE,2026-04-09 09:26:00,316.15,316.15,314.05,314.55,9040
COHANCE,2026-04-09 09:27:00,314.5,314.55,314.05,314.55,2992
COHANCE,2026-04-09 09:28:00,314.4,314.4,312.35,312.35,6359
COHANCE,2026-04-09 09:29:00,312.7,313.4,311.7,313.4,9285
COHANCE,2026-04-09 09:30:00,313.4,313.4,310.45,310.45,13902
COHANCE,2026-04-09 09:31:00,311.0,312.0,310.5,310.85,5359
COHANCE,2026-04-09 09:32:00,311.0,311.25,310.0,310.0,3910
COHANCE,2026-04-09 09:33:00,310.0,310.45,310.0,310.25,2332
COHANCE,2026-04-09 09:34:00,310.7,310.7,309.45,309.55,10114
COHANCE,2026-04-09 09:35:00,310.0,310.85,309.6,310.4,7850
COHANCE,2026-04-09 09:36:00,310.4,311.8,310.4,311.4,523
COHANCE,2026-04-09 09:37:00,311.4,311.4,310.7,310.7,3046
COHANCE,2026-04-09 09:38:00,310.8,310.8,310.15,310.45,5078
COHANCE,2026-04-09 09:39:00,310.35,310.4,309.85,310.35,2112
COHANCE,2026-04-09 09:40:00,310.0,310.15,309.45,309.8,3361
COHANCE,2026-04-09 09:41:00,309.85,310.25,309.65,309.65,55
COHANCE,2026-04-09 09:42:00,309.65,309.65,308.05,308.05,3178
COHANCE,2026-04-09 09:43:00,308.05,308.15,308.05,308.15,176
COHANCE,2026-04-09 09:44:00,308.65,308.65,308.0,308.3,5183
COHANCE,2026-04-09 09:45:00,308.25,309.15,308.25,309.0,2481
COHANCE,2026-04-09 09:46:00,308.6,308.75,308.4,308.65,1342
COHANCE,2026-04-09 09:47:00,308.8,309.1,308.0,308.0,13273
COHANCE,2026-04-09 09:48:00,308.0,308.05,308.0,308.0,1153
COHANCE,2026-04-09 09:49:00,307.7,307.7,306.5,306.5,13164
COHANCE,2026-04-09 09:50:00,306.6,306.8,306.5,306.55,2418
COHANCE,2026-04-09 09:51:00,306.1,306.55,306.1,306.5,1243
COHANCE,2026-04-09 09:52:00,306.55,308.4,306.55,307.85,10505
COHANCE,2026-04-09 09:53:00,307.8,308.0,307.4,307.55,4105
COHANCE,2026-04-09 09:54:00,307.5,307.85,307.5,307.5,414
COHANCE,2026-04-09 09:55:00,307.5,308.6,307.5,308.5,5022
COHANCE,2026-04-09 09:56:00,308.5,308.7,308.2,308.7,1921
COHANCE,2026-04-09 09:57:00,307.45,307.75,307.4,307.4,2749
COHANCE,2026-04-09 09:58:00,307.6,307.6,307.6,307.6,66
COHANCE,2026-04-09 09:59:00,307.6,307.6,306.8,306.8,2610
COHANCE,2026-04-09 10:00:00,306.55,307.95,306.5,307.95,340994
COHANCE,2026-04-09 10:01:00,307.95,308.85,307.85,308.85,682
COHANCE,2026-04-09 10:02:00,309.9,312.15,309.6,311.55,13742
COHANCE,2026-04-09 10:03:00,313.2,315.35,313.2,313.9,18174
COHANCE,2026-04-09 10:04:00,313.9,313.95,313.35,313.95,2155
COHANCE,2026-04-09 10:05:00,313.95,316.3,313.8,316.1,14231
COHANCE,2026-04-09 10:06:00,317.1,317.45,313.45,313.45,15643
COHANCE,2026-04-09 10:07:00,313.45,313.45,312.2,313.0,15799
COHANCE,2026-04-09 10:08:00,312.85,312.85,312.2,312.4,1702
COHANCE,2026-04-09 10:09:00,312.4,312.4,309.2,309.45,9011
COHANCE,2026-04-09 10:10:00,309.15,309.3,308.8,309.1,11388
COHANCE,2026-04-09 10:11:00,308.85,310.85,308.85,310.85,2904
COHANCE,2026-04-09 10:12:00,310.65,310.75,309.9,310.2,3900
COHANCE,2026-04-09 10:13:00,310.2,310.35,310.0,310.0,538
COHANCE,2026-04-09 10:14:00,310.0,310.5,310.0,310.2,2060
COHANCE,2026-04-09 10:15:00,310.2,310.2,310.0,310.0,1007
COHANCE,2026-04-09 10:16:00,310.35,310.4,310.0,310.4,1435
COHANCE,2026-04-09 10:17:00,310.4,311.0,310.4,311.0,2265
COHANCE,2026-04-09 10:18:00,311.0,311.9,310.9,311.5,5028
COHANCE,2026-04-09 10:19:00,311.5,311.9,311.5,311.65,1270
COHANCE,2026-04-09 10:20:00,311.9,311.9,311.5,311.5,812
COHANCE,2026-04-09 10:21:00,311.5,311.5,311.1,311.15,485
COHANCE,2026-04-09 10:22:00,311.15,311.15,310.75,310.75,243
COHANCE,2026-04-09 10:23:00,310.75,310.75,310.75,310.75,1
COHANCE,2026-04-09 10:24:00,310.75,311.05,310.75,310.85,2462
COHANCE,2026-04-09 10:25:00,310.7,310.95,310.55,310.75,138
COHANCE,2026-04-09 10:26:00,310.75,310.95,310.55,310.55,1181
COHANCE,2026-04-09 10:27:00,310.55,310.95,310.55,310.6,233
COHANCE,2026-04-09 10:28:00,310.6,310.65,310.6,310.65,134
COHANCE,2026-04-09 10:29:00,310.65,310.95,310.65,310.7,54
COHANCE,2026-04-09 10:30:00,310.7,311.25,310.7,311.25,1591
COHANCE,2026-04-09 10:31:00,311.85,311.85,310.75,310.75,641
COHANCE,2026-04-09 10:32:00,310.75,311.55,310.75,311.15,1334
COHANCE,2026-04-09 10:33:00,311.15,311.55,311.15,311.25,130
COHANCE,2026-04-09 10:34:00,311.25,311.65,311.25,311.35,123
COHANCE,2026-04-09 10:35:00,311.3,311.65,311.3,311.5,494
COHANCE,2026-04-09 10:36:00,311.5,311.85,311.5,311.5,260
COHANCE,2026-04-09 10:37:00,311.5,311.5,311.15,311.25,1428
COHANCE,2026-04-09 10:38:00,311.25,311.5,310.85,310.85,195
COHANCE,2026-04-09 10:39:00,310.85,311.45,310.85,311.15,405
COHANCE,2026-04-09 10:40:00,311.15,311.25,311.15,311.25,415
COHANCE,2026-04-09 10:41:00,311.3,311.65,311.25,311.6,393
COHANCE,2026-04-09 10:42:00,311.35,311.6,311.3,311.3,931
COHANCE,2026-04-09 10:43:00,311.3,311.45,311.15,311.2,536
COHANCE,2026-04-09 10:44:00,311.2,311.6,311.2,311.6,126
COHANCE,2026-04-09 10:45:00,311.65,311.85,311.3,311.3,1924
COHANCE,2026-04-09 10:46:00,311.3,311.6,311.25,311.5,333
COHANCE,2026-04-09 10:47:00,311.5,311.6,311.45,311.6,1807
COHANCE,2026-04-09 10:48:00,311.6,312.15,311.6,311.95,257
COHANCE,2026-04-09 10:49:00,311.95,312.05,311.75,311.9,518
COHANCE,2026-04-09 10:50:00,311.9,311.95,311.8,311.85,182
COHANCE,2026-04-09 10:51:00,311.85,312.0,311.55,311.55,1714
COHANCE,2026-04-09 10:52:00,311.55,311.55,311.35,311.4,896
COHANCE,2026-04-09 10:53:00,311.4,311.7,311.4,311.4,236
COHANCE,2026-04-09 10:54:00,311.4,311.55,311.4,311.55,37
COHANCE,2026-04-09 10:55:00,311.7,312.2,311.7,312.0,469
COHANCE,2026-04-09 10:56:00,312.0,312.2,311.45,311.5,4156
COHANCE,2026-04-09 10:57:00,311.5,311.8,311.5,311.65,2582
COHANCE,2026-04-09 10:58:00,311.65,311.85,311.65,311.85,31
COHANCE,2026-04-09 10:59:00,311.65,311.9,311.65,311.8,135
COHANCE,2026-04-09 11:00:00,311.8,312.75,311.8,312.75,568
COHANCE,2026-04-09 11:01:00,312.85,313.05,312.15,312.2,2174
COHANCE,2026-04-09 11:02:00,312.2,313.85,312.2,313.7,7762
COHANCE,2026-04-09 11:03:00,313.45,313.9,312.9,312.9,5771
COHANCE,2026-04-09 11:04:00,312.9,313.2,312.85,312.85,594
COHANCE,2026-04-09 11:05:00,312.85,313.2,312.85,313.15,1956
COHANCE,2026-04-09 11:06:00,313.35,314.15,313.15,314.15,2559
COHANCE,2026-04-09 11:07:00,314.15,314.55,314.15,314.15,2338
COHANCE,2026-04-09 11:08:00,314.15,314.6,314.1,314.5,2722
COHANCE,2026-04-09 11:09:00,315.1,315.1,314.75,314.8,1778
COHANCE,2026-04-09 11:10:00,314.8,315.65,314.7,315.65,329
COHANCE,2026-04-09 11:11:00,315.65,316.9,315.15,316.15,9654
COHANCE,2026-04-09 11:12:00,316.15,316.15,315.75,315.85,977
COHANCE,2026-04-09 11:13:00,315.85,316.15,315.85,316.15,3696
COHANCE,2026-04-09 11:14:00,316.05,316.15,316.0,316.0,2777
COHANCE,2026-04-09 11:15:00,316.0,316.2,315.75,316.1,3657
COHANCE,2026-04-09 11:16:00,316.1,316.3,315.6,315.6,155
COHANCE,2026-04-09 11:17:00,315.3,315.3,314.1,314.1,8711
COHANCE,2026-04-09 11:18:00,314.1,314.35,314.1,314.35,490
COHANCE,2026-04-09 11:19:00,314.35,314.7,314.25,314.4,782
COHANCE,2026-04-09 11:20:00,314.5,314.5,314.1,314.1,772
COHANCE,2026-04-09 11:21:00,314.05,314.6,313.75,314.6,1229
COHANCE,2026-04-09 11:22:00,314.6,314.85,314.35,314.85,168
COHANCE,2026-04-09 11:23:00,314.85,315.8,314.85,315.55,1627
COHANCE,2026-04-09 11:24:00,315.65,315.65,315.4,315.6,980
COHANCE,2026-04-09 11:25:00,315.6,315.85,315.55,315.55,917
COHANCE,2026-04-09 11:26:00,315.75,315.75,315.55,315.75,2383
COHANCE,2026-04-09 11:27:00,315.55,315.8,315.4,315.5,317
COHANCE,2026-04-09 11:28:00,315.55,315.8,315.5,315.75,2843
COHANCE,2026-04-09 11:29:00,315.55,316.3,315.55,316.25,1676
COHANCE,2026-04-09 11:30:00,316.15,316.15,315.55,315.85,1197
COHANCE,2026-04-09 11:31:00,315.85,316.0,315.55,315.55,625
COHANCE,2026-04-09 11:32:00,315.55,316.0,315.5,315.7,2089
COHANCE,2026-04-09 11:33:00,315.8,315.8,315.7,315.8,76
COHANCE,2026-04-09 11:34:00,315.8,316.05,315.55,316.05,5299
COHANCE,2026-04-09 11:35:00,316.25,316.4,316.15,316.15,573
COHANCE,2026-04-09 11:36:00,316.15,316.45,316.05,316.25,1286
COHANCE,2026-04-09 11:37:00,316.25,316.3,315.85,316.15,971
COHANCE,2026-04-09 11:38:00,316.05,316.1,314.6,314.6,3754
COHANCE,2026-04-09 11:39:00,314.6,314.75,314.2,314.5,2727
COHANCE,2026-04-09 11:40:00,314.5,314.55,314.0,314.3,5239
COHANCE,2026-04-09 11:41:00,314.2,314.5,314.0,314.15,5147
COHANCE,2026-04-09 11:42:00,314.4,314.4,313.1,313.1,7424
COHANCE,2026-04-09 11:43:00,313.3,313.65,313.1,313.65,3952
COHANCE,2026-04-09 11:44:00,313.65,314.2,313.35,313.65,5260
COHANCE,2026-04-09 11:45:00,313.55,313.75,313.55,313.65,1728
COHANCE,2026-04-09 11:46:00,313.65,313.65,313.6,313.6,942
COHANCE,2026-04-09 11:47:00,313.6,313.9,313.6,313.9,479
COHANCE,2026-04-09 11:48:00,314.2,314.65,313.6,313.6,2153
COHANCE,2026-04-09 11:49:00,313.85,313.9,313.6,313.65,28
COHANCE,2026-04-09 11:50:00,313.2,313.2,311.4,311.4,6015
COHANCE,2026-04-09 11:51:00,311.1,311.55,311.1,311.35,1313
COHANCE,2026-04-09 11:52:00,311.15,311.15,310.15,310.25,5843
COHANCE,2026-04-09 11:53:00,310.2,311.15,309.7,310.55,22429
COHANCE,2026-04-09 11:54:00,310.55,310.55,310.0,310.45,949
COHANCE,2026-04-09 11:55:00,310.45,310.75,310.2,310.25,3458
COHANCE,2026-04-09 11:56:00,310.3,310.35,310.05,310.35,4993
COHANCE,2026-04-09 11:57:00,310.35,310.65,310.15,310.6,765
COHANCE,2026-04-09 11:58:00,310.6,310.75,310.0,310.45,5944
COHANCE,2026-04-09 11:59:00,310.6,311.1,310.45,310.7,1889
COHANCE,2026-04-09 12:00:00,310.7,311.2,310.7,311.2,242
COHANCE,2026-04-09 12:01:00,311.15,311.45,311.15,311.35,1404
COHANCE,2026-04-09 12:02:00,311.35,311.5,311.2,311.5,28
COHANCE,2026-04-09 12:03:00,311.3,311.3,310.5,310.75,3543
COHANCE,2026-04-09 12:04:00,311.0,311.05,310.6,311.05,350
COHANCE,2026-04-09 12:05:00,311.0,311.15,311.0,311.15,157
COHANCE,2026-04-09 12:06:00,311.2,311.5,311.15,311.35,893
