tradingsymbol,datetime,open,high,low,close,volume
DBREALTY-BE,2026-04-09 09:15:00,100.0,100.0,98.67,98.67,9932
DBREALTY-BE,2026-04-09 09:16:00,99.2,99.85,99.2,99.85,4268
DBREALTY-BE,2026-04-09 09:17:00,99.9,100.41,99.9,100.41,8160
DBREALTY-BE,2026-04-09 09:18:00,100.45,101.07,100.45,100.8,9756
DBREALTY-BE,2026-04-09 09:19:00,100.69,101.1,100.69,100.85,22177
DBREALTY-BE,2026-04-09 09:20:00,100.93,101.3,100.7,100.7,16654
DBREALTY-BE,2026-04-09 09:21:00,100.78,101.04,100.78,101.01,9183
DBREALTY-BE,2026-04-09 09:22:00,101.01,101.74,101.01,101.37,51675
DBREALTY-BE,2026-04-09 09:23:00,101.3,101.4,101.27,101.38,1968
DBREALTY-BE,2026-04-09 09:24:00,101.33,101.4,101.13,101.36,11643
DBREALTY-BE,2026-04-09 09:25:00,101.2,101.5,101.2,101.22,21532
DBREALTY-BE,2026-04-09 09:26:00,101.36,101.59,101.36,101.51,7288
DBREALTY-BE,2026-04-09 09:27:00,101.51,101.51,101.2,101.2,9060
DBREALTY-BE,2026-04-09 09:28:00,101.19,101.5,101.19,101.5,10661
DBREALTY-BE,2026-04-09 09:29:00,101.5,101.5,101.26,101.3,2147
DBREALTY-BE,2026-04-09 09:30:00,101.14,101.3,101.0,101.0,4142
DBREALTY-BE,2026-04-09 09:31:00,100.89,100.89,100.2,100.2,2289
DBREALTY-BE,2026-04-09 09:32:00,100.2,100.2,100.08,100.2,6766
DBREALTY-BE,2026-04-09 09:33:00,100.08,100.08,99.88,99.97,8084
DBREALTY-BE,2026-04-09 09:34:00,99.78,100.0,99.78,99.97,6971
DBREALTY-BE,2026-04-09 09:35:00,99.97,100.0,99.97,99.98,1173
DBREALTY-BE,2026-04-09 09:36:00,99.98,99.98,99.98,99.98,0
DBREALTY-BE,2026-04-09 09:37:00,99.98,100.26,99.98,100.26,6170
DBREALTY-BE,2026-04-09 09:38:00,100.23,100.23,100.0,100.0,7587
DBREALTY-BE,2026-04-09 09:39:00,99.99,99.99,99.7,99.8,16924
DBREALTY-BE,2026-04-09 09:40:00,99.8,99.99,99.77,99.89,5535
DBREALTY-BE,2026-04-09 09:41:00,99.89,99.89,99.78,99.78,4220
DBREALTY-BE,2026-04-09 09:42:00,99.78,99.78,99.49,99.49,685
DBREALTY-BE,2026-04-09 09:43:00,99.49,99.53,99.45,99.53,4769
DBREALTY-BE,2026-04-09 09:44:00,99.62,99.62,99.42,99.42,722
DBREALTY-BE,2026-04-09 09:45:00,99.42,99.5,99.4,99.4,1377
DBREALTY-BE,2026-04-09 09:46:00,99.4,99.4,99.3,99.35,371
DBREALTY-BE,2026-04-09 09:47:00,99.35,99.4,99.31,99.4,1120
DBREALTY-BE,2026-04-09 09:48:00,99.4,99.4,99.1,99.1,8944
DBREALTY-BE,2026-04-09 09:49:00,99.2,99.2,98.6,98.6,18435
DBREALTY-BE,2026-04-09 09:50:00,98.71,98.8,98.41,98.5,4687
DBREALTY-BE,2026-04-09 09:51:00,98.5,98.53,98.26,98.29,1482
DBREALTY-BE,2026-04-09 09:52:00,98.29,98.45,98.29,98.44,2120
DBREALTY-BE,2026-04-09 09:53:00,98.44,98.44,98.31,98.39,2712
DBREALTY-BE,2026-04-09 09:54:00,98.39,98.42,98.39,98.42,146
DBREALTY-BE,2026-04-09 09:55:00,98.28,98.29,98.14,98.29,3900
DBREALTY-BE,2026-04-09 09:56:00,98.29,98.29,98.1,98.2,7924
DBREALTY-BE,2026-04-09 09:57:00,98.26,98.29,98.26,98.26,4126
DBREALTY-BE,2026-04-09 09:58:00,98.28,98.28,98.27,98.27,542
DBREALTY-BE,2026-04-09 09:59:00,98.27,98.27,98.0,98.0,14015
DBREALTY-BE,2026-04-09 10:00:00,98.0,98.12,97.85,97.93,7646
DBREALTY-BE,2026-04-09 10:01:00,98.03,98.06,98.03,98.05,7812
DBREALTY-BE,2026-04-09 10:02:00,98.0,98.18,98.0,98.15,6749
DBREALTY-BE,2026-04-09 10:03:00,98.18,98.53,98.15,98.41,41444
DBREALTY-BE,2026-04-09 10:04:00,98.41,98.45,98.41,98.44,2579
DBREALTY-BE,2026-04-09 10:05:00,98.44,98.49,98.44,98.49,5304
DBREALTY-BE,2026-04-09 10:06:00,98.49,98.49,98.3,98.39,460
DBREALTY-BE,2026-04-09 10:07:00,98.39,98.45,98.39,98.45,462
DBREALTY-BE,2026-04-09 10:08:00,98.45,98.45,98.21,98.21,601
DBREALTY-BE,2026-04-09 10:09:00,98.21,98.3,98.19,98.19,2420
DBREALTY-BE,2026-04-09 10:10:00,98.3,98.47,98.3,98.47,4331
DBREALTY-BE,2026-04-09 10:11:00,98.47,98.49,98.3,98.49,16599
DBREALTY-BE,2026-04-09 10:12:00,98.53,98.53,98.41,98.5,1778
DBREALTY-BE,2026-04-09 10:13:00,98.5,98.5,98.27,98.27,4391
DBREALTY-BE,2026-04-09 10:14:00,98.27,98.41,98.27,98.27,3010
DBREALTY-BE,2026-04-09 10:15:00,98.27,98.4,98.15,98.26,3223
DBREALTY-BE,2026-04-09 10:16:00,98.26,98.33,98.24,98.33,6007
DBREALTY-BE,2026-04-09 10:17:00,98.33,98.45,98.33,98.45,5100
DBREALTY-BE,2026-04-09 10:18:00,98.5,98.82,98.5,98.64,10191
DBREALTY-BE,2026-04-09 10:19:00,98.7,98.72,98.6,98.6,516
