tradingsymbol,datetime,open,high,low,close,volume
ECLERX,2026-04-09 09:15:00,1544.3,1544.3,1516.2,1516.2,1931
ECLERX,2026-04-09 09:16:00,1521.6,1521.8,1511.1,1511.1,3478
ECLERX,2026-04-09 09:17:00,1514.9,1518.6,1514.9,1518.6,375
ECLERX,2026-04-09 09:18:00,1518.9,1522.8,1518.9,1522.5,443
ECLERX,2026-04-09 09:19:00,1521.9,1524.0,1521.0,1524.0,404
ECLERX,2026-04-09 09:20:00,1524.0,1529.1,1520.4,1527.1,561
ECLERX,2026-04-09 09:21:00,1529.5,1529.5,1527.5,1529.0,581
ECLERX,2026-04-09 09:22:00,1528.3,1530.0,1528.2,1530.0,663
ECLERX,2026-04-09 09:23:00,1530.0,1530.0,1527.1,1527.3,684
ECLERX,2026-04-09 09:24:00,1527.5,1530.0,1527.4,1530.0,356
ECLERX,2026-04-09 09:25:00,1530.6,1533.6,1530.6,1533.6,413
ECLERX,2026-04-09 09:26:00,1533.6,1536.9,1533.6,1536.6,248
ECLERX,2026-04-09 09:27:00,1538.0,1538.5,1537.1,1538.1,1189
ECLERX,2026-04-09 09:28:00,1538.1,1540.3,1537.8,1539.8,894
ECLERX,2026-04-09 09:29:00,1539.9,1539.9,1537.0,1537.7,130
ECLERX,2026-04-09 09:30:00,1537.6,1537.6,1533.4,1533.7,1469
ECLERX,2026-04-09 09:31:00,1533.7,1533.7,1529.1,1529.1,355
ECLERX,2026-04-09 09:32:00,1529.1,1529.2,1528.1,1528.4,256
ECLERX,2026-04-09 09:33:00,1526.2,1527.2,1522.0,1522.5,678
ECLERX,2026-04-09 09:34:00,1522.4,1525.0,1522.3,1522.3,634
ECLERX,2026-04-09 09:35:00,1522.0,1522.2,1520.2,1521.2,593
ECLERX,2026-04-09 09:36:00,1521.2,1526.1,1521.2,1525.3,623
ECLERX,2026-04-09 09:37:00,1525.3,1525.7,1523.4,1523.4,177
ECLERX,2026-04-09 09:38:00,1524.2,1525.4,1524.2,1525.0,175
ECLERX,2026-04-09 09:39:00,1525.0,1525.0,1516.6,1518.8,1711
ECLERX,2026-04-09 09:40:00,1518.8,1520.6,1518.2,1520.6,764
ECLERX,2026-04-09 09:41:00,1520.6,1520.6,1518.3,1518.3,318
ECLERX,2026-04-09 09:42:00,1518.3,1518.3,1518.2,1518.2,237
ECLERX,2026-04-09 09:43:00,1518.2,1518.4,1515.2,1516.3,579
ECLERX,2026-04-09 09:44:00,1515.2,1517.0,1515.2,1517.0,210
ECLERX,2026-04-09 09:45:00,1517.0,1518.5,1517.0,1518.5,178
ECLERX,2026-04-09 09:46:00,1518.5,1518.8,1517.1,1517.8,613
ECLERX,2026-04-09 09:47:00,1517.8,1517.8,1517.0,1517.0,113
ECLERX,2026-04-09 09:48:00,1517.0,1518.1,1516.4,1516.5,246
ECLERX,2026-04-09 09:49:00,1517.6,1517.6,1516.3,1516.9,257
ECLERX,2026-04-09 09:50:00,1516.0,1516.1,1513.3,1513.3,453
ECLERX,2026-04-09 09:51:00,1513.3,1514.2,1513.0,1514.0,110
ECLERX,2026-04-09 09:52:00,1514.0,1514.7,1498.3,1500.2,19275
ECLERX,2026-04-09 09:53:00,1501.0,1501.0,1492.2,1494.7,1435
ECLERX,2026-04-09 09:54:00,1492.5,1495.5,1492.1,1493.1,576
ECLERX,2026-04-09 09:55:00,1494.0,1494.0,1491.1,1491.1,939
ECLERX,2026-04-09 09:56:00,1492.0,1493.2,1489.3,1491.2,1280
ECLERX,2026-04-09 09:57:00,1491.0,1491.0,1490.0,1490.1,651
ECLERX,2026-04-09 09:58:00,1491.0,1491.0,1489.6,1490.7,500
ECLERX,2026-04-09 09:59:00,1490.7,1490.7,1489.0,1489.9,744
ECLERX,2026-04-09 10:00:00,1489.9,1489.9,1485.0,1488.5,1095
ECLERX,2026-04-09 10:01:00,1488.5,1491.1,1488.0,1489.2,1519
ECLERX,2026-04-09 10:02:00,1489.2,1490.5,1487.0,1487.6,720
ECLERX,2026-04-09 10:03:00,1487.6,1488.0,1486.3,1488.0,568
ECLERX,2026-04-09 10:04:00,1488.0,1488.0,1487.0,1487.7,175
ECLERX,2026-04-09 10:05:00,1487.5,1490.7,1486.6,1490.7,919
ECLERX,2026-04-09 10:06:00,1490.7,1493.4,1490.7,1492.7,778
ECLERX,2026-04-09 10:07:00,1492.7,1493.0,1491.2,1491.9,1036
ECLERX,2026-04-09 10:08:00,1491.9,1491.9,1488.6,1488.6,394
ECLERX,2026-04-09 10:09:00,1489.9,1492.5,1489.9,1492.5,660
ECLERX,2026-04-09 10:10:00,1492.5,1493.8,1492.5,1493.8,238
ECLERX,2026-04-09 10:11:00,1493.8,1493.9,1492.2,1493.9,318
ECLERX,2026-04-09 10:12:00,1495.1,1495.4,1493.2,1495.0,281
ECLERX,2026-04-09 10:13:00,1495.0,1495.0,1493.7,1493.8,453
ECLERX,2026-04-09 10:14:00,1493.8,1495.0,1493.8,1494.6,158
ECLERX,2026-04-09 10:15:00,1494.0,1495.0,1492.5,1493.1,490
ECLERX,2026-04-09 10:16:00,1493.0,1493.0,1490.1,1491.5,1526
ECLERX,2026-04-09 10:17:00,1491.5,1493.0,1491.2,1493.0,396
ECLERX,2026-04-09 10:18:00,1490.3,1496.9,1490.3,1496.7,1264
ECLERX,2026-04-09 10:19:00,1496.7,1497.6,1496.1,1497.5,163
ECLERX,2026-04-09 10:20:00,1496.3,1497.1,1494.9,1495.9,131
ECLERX,2026-04-09 10:21:00,1495.9,1497.0,1495.9,1496.2,251
ECLERX,2026-04-09 10:22:00,1496.2,1497.4,1496.0,1496.2,200
ECLERX,2026-04-09 10:23:00,1495.2,1497.0,1495.2,1496.2,317
ECLERX,2026-04-09 10:24:00,1496.2,1497.4,1496.2,1497.4,108
ECLERX,2026-04-09 10:25:00,1497.4,1498.3,1497.0,1497.5,487
ECLERX,2026-04-09 10:26:00,1498.2,1498.5,1497.0,1497.0,1285
ECLERX,2026-04-09 10:27:00,1497.0,1497.0,1496.0,1496.0,200
ECLERX,2026-04-09 10:28:00,1496.0,1496.7,1495.4,1496.0,62
ECLERX,2026-04-09 10:29:00,1496.2,1497.8,1495.4,1497.8,585
ECLERX,2026-04-09 10:30:00,1497.8,1498.0,1497.8,1498.0,58
ECLERX,2026-04-09 10:31:00,1498.0,1498.0,1496.3,1497.4,167
