tradingsymbol,datetime,open,high,low,close,volume
EXIDEIND,2026-04-09 09:15:00,317.95,317.95,312.85,313.55,86737
EXIDEIND,2026-04-09 09:16:00,313.55,314.4,312.7,314.4,62484
EXIDEIND,2026-04-09 09:17:00,314.4,314.8,314.2,314.25,96284
EXIDEIND,2026-04-09 09:18:00,314.5,315.35,314.5,315.1,44012
EXIDEIND,2026-04-09 09:19:00,315.1,315.6,315.1,315.6,31684
EXIDEIND,2026-04-09 09:20:00,315.6,316.25,315.2,315.55,49881
EXIDEIND,2026-04-09 09:21:00,315.55,315.55,315.05,315.05,14616
EXIDEIND,2026-04-09 09:22:00,315.4,315.5,315.25,315.25,11419
EXIDEIND,2026-04-09 09:23:00,315.1,315.45,315.1,315.45,9939
EXIDEIND,2026-04-09 09:24:00,315.4,315.6,315.15,315.45,13931
EXIDEIND,2026-04-09 09:25:00,315.2,315.2,314.65,314.65,35536
EXIDEIND,2026-04-09 09:26:00,314.65,315.1,314.65,314.7,48005
EXIDEIND,2026-04-09 09:27:00,314.7,314.7,314.35,314.5,13301
EXIDEIND,2026-04-09 09:28:00,314.5,314.5,313.85,313.85,47089
EXIDEIND,2026-04-09 09:29:00,313.7,313.85,313.5,313.75,33951
EXIDEIND,2026-04-09 09:30:00,313.5,314.5,313.5,314.3,29311
EXIDEIND,2026-04-09 09:31:00,314.3,314.3,313.55,313.6,14117
EXIDEIND,2026-04-09 09:32:00,313.4,313.5,313.25,313.25,10921
EXIDEIND,2026-04-09 09:33:00,313.3,313.35,312.8,312.8,26172
EXIDEIND,2026-04-09 09:34:00,312.8,312.8,311.6,311.6,38201
EXIDEIND,2026-04-09 09:35:00,311.5,311.85,311.5,311.7,12583
EXIDEIND,2026-04-09 09:36:00,311.8,312.25,311.65,312.1,15638
EXIDEIND,2026-04-09 09:37:00,312.05,312.35,311.6,311.6,20835
EXIDEIND,2026-04-09 09:38:00,311.55,311.55,311.15,311.4,31257
EXIDEIND,2026-04-09 09:39:00,311.5,311.5,311.05,311.25,11623
EXIDEIND,2026-04-09 09:40:00,311.4,311.4,310.8,310.8,14751
EXIDEIND,2026-04-09 09:41:00,310.8,310.8,310.3,310.5,11555
EXIDEIND,2026-04-09 09:42:00,310.65,310.75,309.95,309.95,45623
EXIDEIND,2026-04-09 09:43:00,309.75,309.9,309.65,309.8,23260
EXIDEIND,2026-04-09 09:44:00,309.65,309.85,309.6,309.85,16039
EXIDEIND,2026-04-09 09:45:00,309.85,310.4,309.85,309.85,21177
EXIDEIND,2026-04-09 09:46:00,309.8,310.0,309.05,309.3,22335
EXIDEIND,2026-04-09 09:47:00,309.3,309.35,309.0,309.3,12855
EXIDEIND,2026-04-09 09:48:00,309.3,309.3,307.7,307.9,86243
EXIDEIND,2026-04-09 09:49:00,307.8,308.0,306.1,306.5,48814
EXIDEIND,2026-04-09 09:50:00,306.5,307.15,306.1,307.1,21637
EXIDEIND,2026-04-09 09:51:00,307.1,307.5,306.85,307.5,18186
EXIDEIND,2026-04-09 09:52:00,307.5,307.65,307.3,307.4,37087
EXIDEIND,2026-04-09 09:53:00,307.4,307.75,307.2,307.4,7952
EXIDEIND,2026-04-09 09:54:00,307.3,307.6,307.25,307.3,8725
EXIDEIND,2026-04-09 09:55:00,307.45,307.45,306.85,307.35,11082
EXIDEIND,2026-04-09 09:56:00,307.05,307.2,307.0,307.05,7598
EXIDEIND,2026-04-09 09:57:00,307.2,307.35,307.0,307.35,13167
EXIDEIND,2026-04-09 09:58:00,307.3,307.5,306.75,306.75,17807
EXIDEIND,2026-04-09 09:59:00,306.2,306.2,305.7,305.85,30940
EXIDEIND,2026-04-09 10:00:00,305.85,305.85,305.05,305.25,38292
EXIDEIND,2026-04-09 10:01:00,305.35,306.45,305.15,306.3,25612
EXIDEIND,2026-04-09 10:02:00,306.3,306.5,305.9,306.2,20597
EXIDEIND,2026-04-09 10:03:00,306.2,306.3,305.85,306.2,24434
EXIDEIND,2026-04-09 10:04:00,306.15,306.8,306.1,306.8,13845
EXIDEIND,2026-04-09 10:05:00,306.75,307.0,306.35,307.0,11938
EXIDEIND,2026-04-09 10:06:00,307.0,307.65,307.0,307.45,13866
EXIDEIND,2026-04-09 10:07:00,307.2,307.35,307.1,307.2,8454
EXIDEIND,2026-04-09 10:08:00,307.2,307.55,307.1,307.35,14445
EXIDEIND,2026-04-09 10:09:00,307.35,307.5,307.1,307.25,5914
EXIDEIND,2026-04-09 10:10:00,307.25,307.5,307.1,307.35,5677
EXIDEIND,2026-04-09 10:11:00,307.35,307.95,307.35,307.95,11475
EXIDEIND,2026-04-09 10:12:00,307.8,308.0,307.7,308.0,5377
EXIDEIND,2026-04-09 10:13:00,308.0,308.0,307.4,307.55,12091
EXIDEIND,2026-04-09 10:14:00,307.55,307.8,307.25,307.3,12611
EXIDEIND,2026-04-09 10:15:00,307.3,307.35,307.0,307.0,11750
EXIDEIND,2026-04-09 10:16:00,307.15,307.5,307.0,307.3,7473
EXIDEIND,2026-04-09 10:17:00,307.25,307.9,307.25,307.8,19523
EXIDEIND,2026-04-09 10:18:00,307.65,308.15,307.4,307.7,15912
EXIDEIND,2026-04-09 10:19:00,307.55,307.9,307.55,307.9,13767
EXIDEIND,2026-04-09 10:20:00,307.9,308.15,307.5,308.0,13078
EXIDEIND,2026-04-09 10:21:00,308.0,308.4,307.9,308.0,10997
EXIDEIND,2026-04-09 10:22:00,308.0,308.1,307.65,307.8,14021
EXIDEIND,2026-04-09 10:23:00,307.7,307.95,307.7,307.9,4689
EXIDEIND,2026-04-09 10:24:00,307.9,307.95,307.55,307.9,20685
EXIDEIND,2026-04-09 10:25:00,307.9,308.15,307.9,308.0,3023
EXIDEIND,2026-04-09 10:26:00,308.15,308.2,307.35,307.6,11266
EXIDEIND,2026-04-09 10:27:00,307.4,307.5,307.25,307.4,5288
EXIDEIND,2026-04-09 10:28:00,307.55,307.75,307.4,307.4,1151
EXIDEIND,2026-04-09 10:29:00,307.5,307.75,307.25,307.7,6651
EXIDEIND,2026-04-09 10:30:00,307.95,308.15,307.85,308.15,4168
EXIDEIND,2026-04-09 10:31:00,308.15,308.25,308.05,308.25,2392
EXIDEIND,2026-04-09 10:32:00,308.25,308.8,308.25,308.8,16197
EXIDEIND,2026-04-09 10:33:00,308.9,308.9,308.6,308.6,7824
EXIDEIND,2026-04-09 10:34:00,308.6,308.6,308.25,308.35,15563
EXIDEIND,2026-04-09 10:35:00,308.35,308.45,308.05,308.4,7264
EXIDEIND,2026-04-09 10:36:00,308.45,308.6,307.75,307.8,14511
EXIDEIND,2026-04-09 10:37:00,307.8,308.35,307.8,308.35,4373
EXIDEIND,2026-04-09 10:38:00,308.25,308.25,307.95,308.0,3981
EXIDEIND,2026-04-09 10:39:00,308.05,308.5,308.05,308.5,7919
EXIDEIND,2026-04-09 10:40:00,308.6,308.6,308.0,308.15,8736
EXIDEIND,2026-04-09 10:41:00,308.25,308.4,308.0,308.4,9302
EXIDEIND,2026-04-09 10:42:00,308.3,308.4,308.15,308.25,4383
EXIDEIND,2026-04-09 10:43:00,308.25,308.5,308.2,308.3,14175
EXIDEIND,2026-04-09 10:44:00,308.2,308.25,307.7,307.85,11122
