tradingsymbol,datetime,open,high,low,close,volume
FACT,2026-04-09 09:15:00,829.0,842.0,827.0,842.0,68466
FACT,2026-04-09 09:16:00,841.95,861.0,840.6,858.4,118696
FACT,2026-04-09 09:17:00,858.35,865.4,850.2,854.8,115330
FACT,2026-04-09 09:18:00,854.8,868.05,854.8,865.15,93521
FACT,2026-04-09 09:19:00,863.35,871.25,862.0,868.0,88538
FACT,2026-04-09 09:20:00,867.5,875.95,866.35,873.95,107305
FACT,2026-04-09 09:21:00,873.05,885.0,872.95,882.35,177400
FACT,2026-04-09 09:22:00,881.0,888.4,881.0,884.0,127774
FACT,2026-04-09 09:23:00,885.6,887.0,881.1,882.4,117422
FACT,2026-04-09 09:24:00,882.35,884.8,881.0,881.9,73934
FACT,2026-04-09 09:25:00,881.45,884.95,881.05,882.2,65983
FACT,2026-04-09 09:26:00,882.4,884.55,875.95,876.55,105054
FACT,2026-04-09 09:27:00,876.8,876.8,871.0,873.55,106989
FACT,2026-04-09 09:28:00,873.05,876.0,871.2,872.0,57405
FACT,2026-04-09 09:29:00,871.9,875.5,870.2,874.0,55073
FACT,2026-04-09 09:30:00,873.4,875.3,873.0,873.0,25411
FACT,2026-04-09 09:31:00,873.35,874.65,870.0,871.85,60874
FACT,2026-04-09 09:32:00,871.1,871.1,865.0,867.05,85886
FACT,2026-04-09 09:33:00,867.0,867.45,865.0,865.8,31248
FACT,2026-04-09 09:34:00,866.15,869.5,865.8,868.2,32365
FACT,2026-04-09 09:35:00,867.7,874.0,867.7,873.3,59491
FACT,2026-04-09 09:36:00,873.75,874.85,871.55,874.0,36927
FACT,2026-04-09 09:37:00,873.75,874.0,871.35,872.5,16819
FACT,2026-04-09 09:38:00,872.5,872.85,869.8,870.65,24162
FACT,2026-04-09 09:39:00,870.95,871.0,865.7,866.1,44481
FACT,2026-04-09 09:40:00,865.7,870.0,865.5,869.5,24367
FACT,2026-04-09 09:41:00,869.5,870.0,867.45,867.7,13091
FACT,2026-04-09 09:42:00,867.7,868.8,867.05,867.05,10488
FACT,2026-04-09 09:43:00,867.05,871.0,866.0,870.2,21235
FACT,2026-04-09 09:44:00,870.2,871.65,869.1,869.35,15107
FACT,2026-04-09 09:45:00,869.35,869.7,866.0,867.7,28077
FACT,2026-04-09 09:46:00,867.7,868.7,866.6,868.0,13694
FACT,2026-04-09 09:47:00,867.85,868.85,867.65,868.35,4580
FACT,2026-04-09 09:48:00,867.5,867.9,866.0,866.0,16752
FACT,2026-04-09 09:49:00,866.25,869.45,865.55,869.45,18444
FACT,2026-04-09 09:50:00,869.4,875.0,868.95,871.8,52296
FACT,2026-04-09 09:51:00,872.3,874.0,871.45,874.0,30858
FACT,2026-04-09 09:52:00,874.0,879.9,873.2,879.0,101529
FACT,2026-04-09 09:53:00,879.3,880.0,877.05,877.6,73224
FACT,2026-04-09 09:54:00,877.75,877.75,873.15,874.4,39140
FACT,2026-04-09 09:55:00,874.4,875.0,871.05,872.15,25443
FACT,2026-04-09 09:56:00,873.0,873.7,871.5,872.6,15764
FACT,2026-04-09 09:57:00,872.25,872.35,858.4,860.95,128990
FACT,2026-04-09 09:58:00,860.75,860.75,855.25,857.0,79531
FACT,2026-04-09 09:59:00,857.0,859.35,856.7,857.65,29407
FACT,2026-04-09 10:00:00,857.0,857.45,850.2,854.05,72249
FACT,2026-04-09 10:01:00,854.5,858.0,854.2,858.0,24530
FACT,2026-04-09 10:02:00,858.5,859.95,857.3,859.0,21105
FACT,2026-04-09 10:03:00,859.0,860.0,858.5,859.1,12674
FACT,2026-04-09 10:04:00,859.15,864.0,859.0,863.95,39469
FACT,2026-04-09 10:05:00,863.55,863.55,861.15,861.5,29113
FACT,2026-04-09 10:06:00,861.5,861.55,857.7,858.4,31103
FACT,2026-04-09 10:07:00,858.25,859.5,857.5,858.5,7138
FACT,2026-04-09 10:08:00,858.5,860.0,858.15,860.0,9000
FACT,2026-04-09 10:09:00,859.7,860.95,859.3,859.3,8484
FACT,2026-04-09 10:10:00,859.3,860.0,859.0,859.5,2974
FACT,2026-04-09 10:11:00,859.8,859.8,857.8,858.5,14112
FACT,2026-04-09 10:12:00,858.0,859.5,856.75,858.0,9471
FACT,2026-04-09 10:13:00,858.0,858.95,857.35,857.35,8465
FACT,2026-04-09 10:14:00,858.1,858.7,858.0,858.4,5116
FACT,2026-04-09 10:15:00,857.85,857.85,857.1,857.1,7106
FACT,2026-04-09 10:16:00,857.15,858.4,857.1,858.2,3573
FACT,2026-04-09 10:17:00,858.4,860.2,858.4,859.65,8691
FACT,2026-04-09 10:18:00,859.45,861.3,859.45,860.7,14888
FACT,2026-04-09 10:19:00,860.8,860.9,859.7,859.7,5407
FACT,2026-04-09 10:20:00,860.25,861.4,859.0,860.8,5165
FACT,2026-04-09 10:21:00,861.3,861.4,860.2,860.8,3047
FACT,2026-04-09 10:22:00,860.4,861.3,860.25,860.85,2543
FACT,2026-04-09 10:23:00,860.85,860.85,860.0,860.2,1571
FACT,2026-04-09 10:24:00,860.75,861.0,860.1,860.25,1691
FACT,2026-04-09 10:25:00,860.2,860.5,858.45,859.15,8864
FACT,2026-04-09 10:26:00,859.35,859.8,858.5,859.7,2720
FACT,2026-04-09 10:27:00,859.75,860.0,859.1,859.85,1381
FACT,2026-04-09 10:28:00,859.45,859.95,859.45,859.6,842
FACT,2026-04-09 10:29:00,859.55,861.4,859.55,861.4,4081
FACT,2026-04-09 10:30:00,861.3,862.2,860.4,861.0,8632
FACT,2026-04-09 10:31:00,861.0,861.1,860.2,860.25,7599
FACT,2026-04-09 10:32:00,860.85,860.9,858.8,858.95,5426
FACT,2026-04-09 10:33:00,859.25,859.25,858.95,859.05,1787
FACT,2026-04-09 10:34:00,859.65,859.65,858.2,859.0,2374
FACT,2026-04-09 10:35:00,859.0,859.25,858.2,859.25,2798
FACT,2026-04-09 10:36:00,859.25,859.25,857.35,857.35,8165
FACT,2026-04-09 10:37:00,857.9,857.9,857.05,857.1,3503
FACT,2026-04-09 10:38:00,857.1,857.75,856.0,856.55,9524
FACT,2026-04-09 10:39:00,857.0,857.6,856.0,857.0,4099
FACT,2026-04-09 10:40:00,857.0,857.75,856.15,857.0,4097
FACT,2026-04-09 10:41:00,857.4,858.0,857.0,858.0,2205
FACT,2026-04-09 10:42:00,858.1,858.65,856.45,857.45,2245
FACT,2026-04-09 10:43:00,857.0,858.0,857.0,858.0,2770
FACT,2026-04-09 10:44:00,858.0,858.95,858.0,858.05,8103
FACT,2026-04-09 10:45:00,858.05,858.8,857.5,858.0,4264
FACT,2026-04-09 10:46:00,858.0,858.9,857.75,858.9,5309
FACT,2026-04-09 10:47:00,858.2,858.9,858.2,858.45,1257
FACT,2026-04-09 10:48:00,858.9,858.9,858.45,858.5,752
FACT,2026-04-09 10:49:00,858.95,858.95,858.25,858.35,2667
FACT,2026-04-09 10:50:00,858.35,858.65,858.0,858.6,459
FACT,2026-04-09 10:51:00,858.6,859.15,858.6,858.7,476
FACT,2026-04-09 10:52:00,859.0,859.35,858.9,859.3,1111
FACT,2026-04-09 10:53:00,859.3,859.3,859.0,859.1,754
FACT,2026-04-09 10:54:00,859.0,859.55,858.7,859.55,878
FACT,2026-04-09 10:55:00,859.55,859.95,859.3,859.9,765
FACT,2026-04-09 10:56:00,860.75,861.0,859.55,860.0,5222
FACT,2026-04-09 10:57:00,859.35,860.0,858.0,858.5,2663
FACT,2026-04-09 10:58:00,858.5,858.75,858.15,858.5,1515
FACT,2026-04-09 10:59:00,858.8,859.4,858.5,859.2,1073
FACT,2026-04-09 11:00:00,859.2,859.2,857.5,858.0,5561
FACT,2026-04-09 11:01:00,857.0,858.75,857.0,858.2,10957
FACT,2026-04-09 11:02:00,858.2,858.8,857.75,858.0,2068
FACT,2026-04-09 11:03:00,858.35,858.7,858.35,858.35,2892
FACT,2026-04-09 11:04:00,858.35,858.8,857.75,857.95,447
FACT,2026-04-09 11:05:00,857.95,857.95,857.35,857.5,1175
FACT,2026-04-09 11:06:00,857.45,857.55,857.15,857.15,662
FACT,2026-04-09 11:07:00,856.95,858.0,856.85,856.85,3138
FACT,2026-04-09 11:08:00,856.85,859.5,856.85,859.5,2986
FACT,2026-04-09 11:09:00,859.2,859.5,859.2,859.3,1000
FACT,2026-04-09 11:10:00,859.3,861.0,859.3,860.8,5052
FACT,2026-04-09 11:11:00,860.8,862.0,860.6,861.65,5870
FACT,2026-04-09 11:12:00,861.65,861.65,859.75,860.3,4776
FACT,2026-04-09 11:13:00,860.4,861.7,860.15,861.7,1348
FACT,2026-04-09 11:14:00,861.2,861.7,860.4,860.9,7081
FACT,2026-04-09 11:15:00,860.9,860.9,859.25,860.05,2181
FACT,2026-04-09 11:16:00,860.0,860.05,859.35,859.35,1100
FACT,2026-04-09 11:17:00,859.0,859.0,857.7,858.95,5908
FACT,2026-04-09 11:18:00,858.95,858.95,858.45,858.9,275
FACT,2026-04-09 11:19:00,858.9,858.9,857.7,857.7,1029
FACT,2026-04-09 11:20:00,857.7,859.25,857.7,858.8,1355
FACT,2026-04-09 11:21:00,858.65,858.65,857.55,857.6,3109
FACT,2026-04-09 11:22:00,857.6,858.75,857.6,858.2,815
FACT,2026-04-09 11:23:00,858.2,859.45,857.15,859.0,6121
FACT,2026-04-09 11:24:00,858.25,859.1,858.25,859.1,393
