tradingsymbol,datetime,open,high,low,close,volume
FEDERALBNK,2026-04-09 09:15:00,284.1,284.5,282.4,282.7,67085
FEDERALBNK,2026-04-09 09:16:00,282.7,283.5,282.6,283.35,26413
FEDERALBNK,2026-04-09 09:17:00,283.55,284.7,283.55,284.7,41339
FEDERALBNK,2026-04-09 09:18:00,283.95,284.05,283.8,283.95,34493
FEDERALBNK,2026-04-09 09:19:00,283.95,284.2,283.95,284.15,7579
FEDERALBNK,2026-04-09 09:20:00,284.05,284.4,283.75,283.85,59273
FEDERALBNK,2026-04-09 09:21:00,283.9,284.05,283.9,283.95,7621
FEDERALBNK,2026-04-09 09:22:00,283.95,284.1,283.35,283.5,16561
FEDERALBNK,2026-04-09 09:23:00,283.25,283.3,283.15,283.25,24018
FEDERALBNK,2026-04-09 09:24:00,283.3,283.8,283.3,283.65,10769
FEDERALBNK,2026-04-09 09:25:00,283.65,283.9,283.5,283.85,16367
FEDERALBNK,2026-04-09 09:26:00,283.85,284.1,283.65,283.95,29967
FEDERALBNK,2026-04-09 09:27:00,283.85,284.05,283.8,283.85,16550
FEDERALBNK,2026-04-09 09:28:00,283.85,284.1,283.85,284.1,11450
FEDERALBNK,2026-04-09 09:29:00,284.15,284.5,284.15,284.4,9194
FEDERALBNK,2026-04-09 09:30:00,284.5,284.55,284.15,284.15,35802
FEDERALBNK,2026-04-09 09:31:00,284.15,284.4,284.0,284.05,14244
FEDERALBNK,2026-04-09 09:32:00,284.05,284.4,283.8,283.8,17007
FEDERALBNK,2026-04-09 09:33:00,283.8,283.9,283.75,283.8,13838
FEDERALBNK,2026-04-09 09:34:00,283.55,283.8,283.55,283.7,15457
FEDERALBNK,2026-04-09 09:35:00,283.7,283.8,283.65,283.8,9102
FEDERALBNK,2026-04-09 09:36:00,283.8,284.0,283.75,283.9,15256
FEDERALBNK,2026-04-09 09:37:00,284.0,284.1,283.7,283.95,8998
