tradingsymbol,datetime,open,high,low,close,volume
FORCEMOT,2026-04-09 09:15:00,22000,22000,21800,21877,5416
FORCEMOT,2026-04-09 09:16:00,21877,22064,21872,22045,4640
FORCEMOT,2026-04-09 09:17:00,22045,22431,22025,22300,5438
FORCEMOT,2026-04-09 09:18:00,22284,22440,22284,22350,3528
FORCEMOT,2026-04-09 09:19:00,22348,22472,22344,22466,1974
FORCEMOT,2026-04-09 09:20:00,22470,22500,22380,22401,3707
FORCEMOT,2026-04-09 09:21:00,22401,22437,22345,22437,1941
FORCEMOT,2026-04-09 09:22:00,22438,22491,22410,22411,1783
FORCEMOT,2026-04-09 09:23:00,22435,22435,22360,22400,1387
FORCEMOT,2026-04-09 09:24:00,22386,22423,22378,22423,483
FORCEMOT,2026-04-09 09:25:00,22423,22447,22410,22431,797
FORCEMOT,2026-04-09 09:26:00,22450,22469,22421,22465,1034
FORCEMOT,2026-04-09 09:27:00,22459,22469,22438,22455,654
FORCEMOT,2026-04-09 09:28:00,22455,22491,22446,22485,1843
FORCEMOT,2026-04-09 09:29:00,22480,22480,22363,22363,1687
FORCEMOT,2026-04-09 09:30:00,22341,22341,22281,22294,1968
FORCEMOT,2026-04-09 09:31:00,22292,22305,22274,22274,983
FORCEMOT,2026-04-09 09:32:00,22292,22296,22207,22207,1660
FORCEMOT,2026-04-09 09:33:00,22230,22239,22200,22212,909
FORCEMOT,2026-04-09 09:34:00,22200,22204,22150,22157,1474
FORCEMOT,2026-04-09 09:35:00,22157,22177,22138,22144,1020
FORCEMOT,2026-04-09 09:36:00,22144,22170,22142,22166,593
FORCEMOT,2026-04-09 09:37:00,22160,22171,22150,22163,629
FORCEMOT,2026-04-09 09:38:00,22154,22154,22110,22111,1012
FORCEMOT,2026-04-09 09:39:00,22120,22131,22066,22090,1367
FORCEMOT,2026-04-09 09:40:00,22090,22097,22000,22000,1433
FORCEMOT,2026-04-09 09:41:00,22000,22000,21965,21976,1545
FORCEMOT,2026-04-09 09:42:00,21976,22075,21960,22024,2516
FORCEMOT,2026-04-09 09:43:00,22024,22044,21967,21995,1029
FORCEMOT,2026-04-09 09:44:00,21995,22020,21980,21985,637
FORCEMOT,2026-04-09 09:45:00,21985,21985,21929,21949,1615
FORCEMOT,2026-04-09 09:46:00,21943,21975,21921,21963,1453
FORCEMOT,2026-04-09 09:47:00,21958,22026,21948,22008,1030
FORCEMOT,2026-04-09 09:48:00,22008,22012,21989,22006,241
FORCEMOT,2026-04-09 09:49:00,22006,22006,21932,21950,851
FORCEMOT,2026-04-09 09:50:00,21948,21948,21911,21927,519
FORCEMOT,2026-04-09 09:51:00,21907,21907,21844,21870,1580
FORCEMOT,2026-04-09 09:52:00,21887,21946,21887,21925,796
FORCEMOT,2026-04-09 09:53:00,21925,21935,21885,21885,308
FORCEMOT,2026-04-09 09:54:00,21885,21890,21860,21880,323
FORCEMOT,2026-04-09 09:55:00,21880,21907,21879,21907,349
FORCEMOT,2026-04-09 09:56:00,21903,21903,21811,21832,1003
FORCEMOT,2026-04-09 09:57:00,21833,21846,21823,21839,204
FORCEMOT,2026-04-09 09:58:00,21839,21839,21820,21820,200
FORCEMOT,2026-04-09 09:59:00,21820,21820,21750,21766,1939
FORCEMOT,2026-04-09 10:00:00,21766,21778,21715,21741,1497
FORCEMOT,2026-04-09 10:01:00,21763,21790,21750,21790,760
FORCEMOT,2026-04-09 10:02:00,21790,21836,21783,21800,497
FORCEMOT,2026-04-09 10:03:00,21800,21897,21800,21885,1173
FORCEMOT,2026-04-09 10:04:00,21881,21921,21868,21899,865
FORCEMOT,2026-04-09 10:05:00,21891,21922,21883,21911,287
FORCEMOT,2026-04-09 10:06:00,21911,21922,21900,21911,269
FORCEMOT,2026-04-09 10:07:00,21917,21932,21852,21852,796
FORCEMOT,2026-04-09 10:08:00,21854,21854,21821,21841,224
FORCEMOT,2026-04-09 10:09:00,21857,21878,21849,21861,261
FORCEMOT,2026-04-09 10:10:00,21861,21869,21841,21867,145
FORCEMOT,2026-04-09 10:11:00,21859,21882,21858,21879,158
FORCEMOT,2026-04-09 10:12:00,21879,21882,21850,21850,958
FORCEMOT,2026-04-09 10:13:00,21855,21855,21783,21799,567
FORCEMOT,2026-04-09 10:14:00,21804,21825,21792,21809,309
FORCEMOT,2026-04-09 10:15:00,21806,21806,21755,21759,794
FORCEMOT,2026-04-09 10:16:00,21758,21810,21758,21810,281
FORCEMOT,2026-04-09 10:17:00,21808,21824,21804,21820,167
FORCEMOT,2026-04-09 10:18:00,21820,21891,21813,21860,850
FORCEMOT,2026-04-09 10:19:00,21860,21890,21860,21880,304
FORCEMOT,2026-04-09 10:20:00,21879,21882,21869,21877,307
FORCEMOT,2026-04-09 10:21:00,21875,21875,21843,21848,291
FORCEMOT,2026-04-09 10:22:00,21848,21880,21848,21860,372
FORCEMOT,2026-04-09 10:23:00,21858,21860,21840,21860,640
FORCEMOT,2026-04-09 10:24:00,21876,21887,21868,21887,231
FORCEMOT,2026-04-09 10:25:00,21886,21922,21886,21918,304
FORCEMOT,2026-04-09 10:26:00,21918,21920,21805,21844,934
FORCEMOT,2026-04-09 10:27:00,21852,21854,21831,21848,105
FORCEMOT,2026-04-09 10:28:00,21839,21846,21795,21812,374
FORCEMOT,2026-04-09 10:29:00,21803,21824,21800,21815,248
FORCEMOT,2026-04-09 10:30:00,21817,21857,21817,21847,326
FORCEMOT,2026-04-09 10:31:00,21847,21854,21834,21844,73
FORCEMOT,2026-04-09 10:32:00,21830,21851,21830,21850,63
FORCEMOT,2026-04-09 10:33:00,21844,21858,21844,21844,172
FORCEMOT,2026-04-09 10:34:00,21844,21880,21844,21869,154
FORCEMOT,2026-04-09 10:35:00,21869,21880,21856,21880,180
FORCEMOT,2026-04-09 10:36:00,21880,21895,21817,21817,485
FORCEMOT,2026-04-09 10:37:00,21826,21868,21822,21868,189
FORCEMOT,2026-04-09 10:38:00,21833,21834,21780,21780,455
FORCEMOT,2026-04-09 10:39:00,21780,21813,21780,21792,225
FORCEMOT,2026-04-09 10:40:00,21792,21807,21792,21801,73
FORCEMOT,2026-04-09 10:41:00,21795,21840,21795,21840,352
FORCEMOT,2026-04-09 10:42:00,21840,21840,21814,21816,137
FORCEMOT,2026-04-09 10:43:00,21820,21837,21813,21836,223
FORCEMOT,2026-04-09 10:44:00,21836,21836,21803,21803,183
FORCEMOT,2026-04-09 10:45:00,21814,21832,21809,21832,142
FORCEMOT,2026-04-09 10:46:00,21832,21900,21832,21899,367
FORCEMOT,2026-04-09 10:47:00,21898,21940,21877,21931,491
FORCEMOT,2026-04-09 10:48:00,21931,21963,21931,21963,577
FORCEMOT,2026-04-09 10:49:00,21965,21985,21954,21985,689
FORCEMOT,2026-04-09 10:50:00,21979,21980,21935,21947,660
FORCEMOT,2026-04-09 10:51:00,21947,21985,21936,21981,360
FORCEMOT,2026-04-09 10:52:00,21980,22050,21972,22049,1218
FORCEMOT,2026-04-09 10:53:00,22038,22085,22034,22071,731
FORCEMOT,2026-04-09 10:54:00,22080,22093,22050,22088,871
FORCEMOT,2026-04-09 10:55:00,22088,22090,22075,22088,310
FORCEMOT,2026-04-09 10:56:00,22078,22089,22051,22057,586
FORCEMOT,2026-04-09 10:57:00,22057,22070,22051,22060,461
FORCEMOT,2026-04-09 10:58:00,22061,22070,22055,22055,141
FORCEMOT,2026-04-09 10:59:00,22055,22066,22055,22064,99
FORCEMOT,2026-04-09 11:00:00,22064,22130,22064,22117,1344
FORCEMOT,2026-04-09 11:01:00,22120,22138,22110,22138,403
