tradingsymbol,datetime,open,high,low,close,volume
GAIL,2026-04-09 09:15:00,153.3,153.38,151.24,152.04,231115
GAIL,2026-04-09 09:16:00,152.04,152.9,151.8,152.54,183246
GAIL,2026-04-09 09:17:00,152.65,152.94,152.43,152.94,91554
GAIL,2026-04-09 09:18:00,152.77,153.25,152.53,153.25,111638
GAIL,2026-04-09 09:19:00,153.25,153.59,153.2,153.59,69566
GAIL,2026-04-09 09:20:00,153.46,153.83,153.4,153.48,79941
GAIL,2026-04-09 09:21:00,153.4,153.77,153.37,153.77,44200
GAIL,2026-04-09 09:22:00,153.77,153.84,153.59,153.6,66513
GAIL,2026-04-09 09:23:00,153.6,153.67,153.54,153.61,30784
GAIL,2026-04-09 09:24:00,153.61,153.9,153.6,153.88,27118
GAIL,2026-04-09 09:25:00,153.88,154.03,153.86,154.03,38069
GAIL,2026-04-09 09:26:00,153.87,154.03,153.86,154.02,47432
GAIL,2026-04-09 09:27:00,154.02,154.15,154.01,154.15,35673
GAIL,2026-04-09 09:28:00,154.1,154.19,154.03,154.1,22835
GAIL,2026-04-09 09:29:00,154.1,154.2,153.85,153.95,73496
GAIL,2026-04-09 09:30:00,153.95,153.95,153.62,153.7,37042
GAIL,2026-04-09 09:31:00,153.67,153.84,153.6,153.65,30799
GAIL,2026-04-09 09:32:00,153.65,153.65,153.4,153.4,27195
GAIL,2026-04-09 09:33:00,153.4,153.4,153.1,153.1,21473
GAIL,2026-04-09 09:34:00,153.1,153.29,153.1,153.23,22012
GAIL,2026-04-09 09:35:00,153.19,153.4,153.19,153.3,43442
GAIL,2026-04-09 09:36:00,153.34,153.53,153.32,153.53,18102
GAIL,2026-04-09 09:37:00,153.51,153.51,153.36,153.37,25087
GAIL,2026-04-09 09:38:00,153.37,153.43,153.1,153.19,41296
GAIL,2026-04-09 09:39:00,153.2,153.2,153.1,153.12,14886
GAIL,2026-04-09 09:40:00,153.12,153.19,153.07,153.11,22655
GAIL,2026-04-09 09:41:00,153.15,153.16,152.89,152.89,43925
GAIL,2026-04-09 09:42:00,152.89,152.92,152.76,152.91,29493
GAIL,2026-04-09 09:43:00,152.92,152.99,152.88,152.99,10944
GAIL,2026-04-09 09:44:00,152.99,153.09,152.75,152.75,46922
GAIL,2026-04-09 09:45:00,152.75,152.98,152.73,152.73,17765
GAIL,2026-04-09 09:46:00,152.75,152.75,152.57,152.59,36801
GAIL,2026-04-09 09:47:00,152.59,152.61,152.5,152.5,6320
GAIL,2026-04-09 09:48:00,152.5,152.5,152.27,152.3,54529
GAIL,2026-04-09 09:49:00,152.23,152.24,152.11,152.16,40942
GAIL,2026-04-09 09:50:00,152.11,152.22,152.02,152.18,34916
GAIL,2026-04-09 09:51:00,152.18,152.2,152.03,152.04,19300
GAIL,2026-04-09 09:52:00,152.12,152.25,152.08,152.1,23288
GAIL,2026-04-09 09:53:00,152.15,152.24,152.1,152.13,22943
GAIL,2026-04-09 09:54:00,152.17,152.23,152.1,152.16,19116
GAIL,2026-04-09 09:55:00,152.16,152.2,152.02,152.05,36322
GAIL,2026-04-09 09:56:00,152.05,152.15,151.92,152.0,57958
GAIL,2026-04-09 09:57:00,152.01,152.19,152.01,152.19,19219
GAIL,2026-04-09 09:58:00,152.14,152.23,152.14,152.2,4179
GAIL,2026-04-09 09:59:00,152.2,152.2,152.06,152.06,30917
GAIL,2026-04-09 10:00:00,152.05,152.05,151.86,151.92,21489
GAIL,2026-04-09 10:01:00,152.02,152.22,152.02,152.18,22861
GAIL,2026-04-09 10:02:00,152.25,152.55,152.25,152.52,43125
GAIL,2026-04-09 10:03:00,152.5,152.8,152.47,152.71,20279
GAIL,2026-04-09 10:04:00,152.65,152.74,152.58,152.65,15345
GAIL,2026-04-09 10:05:00,152.62,152.66,152.47,152.53,16146
GAIL,2026-04-09 10:06:00,152.53,152.74,152.44,152.57,14114
GAIL,2026-04-09 10:07:00,152.57,152.7,152.57,152.62,12104
GAIL,2026-04-09 10:08:00,152.62,152.88,152.6,152.81,24988
GAIL,2026-04-09 10:09:00,152.82,152.97,152.68,152.88,22228
GAIL,2026-04-09 10:10:00,152.88,152.95,152.8,152.94,15351
GAIL,2026-04-09 10:11:00,152.86,153.1,152.85,153.06,55078
GAIL,2026-04-09 10:12:00,153.06,153.26,153.01,153.21,26052
GAIL,2026-04-09 10:13:00,153.25,153.31,152.91,152.94,52488
GAIL,2026-04-09 10:14:00,152.98,153.11,152.9,152.9,35393
GAIL,2026-04-09 10:15:00,152.9,152.9,152.66,152.7,50307
GAIL,2026-04-09 10:16:00,152.71,152.8,152.65,152.79,12856
GAIL,2026-04-09 10:17:00,152.79,152.98,152.73,152.98,7983
GAIL,2026-04-09 10:18:00,152.98,153.11,152.94,153.01,18382
GAIL,2026-04-09 10:19:00,153.01,153.13,153.01,153.05,15974
GAIL,2026-04-09 10:20:00,153.05,153.14,152.97,153.09,13170
GAIL,2026-04-09 10:21:00,153.09,153.09,152.91,152.96,18264
GAIL,2026-04-09 10:22:00,152.95,153.08,152.95,153.0,24920
GAIL,2026-04-09 10:23:00,153.0,153.08,152.97,153.05,7177
GAIL,2026-04-09 10:24:00,153.04,153.16,153.04,153.16,25413
GAIL,2026-04-09 10:25:00,153.11,153.15,152.89,152.92,15677
GAIL,2026-04-09 10:26:00,152.92,152.93,152.6,152.68,27223
GAIL,2026-04-09 10:27:00,152.68,152.8,152.67,152.76,7810
GAIL,2026-04-09 10:28:00,152.76,153.4,152.76,153.4,173872
GAIL,2026-04-09 10:29:00,153.39,153.5,153.37,153.42,24826
GAIL,2026-04-09 10:30:00,153.49,153.6,153.44,153.54,23189
GAIL,2026-04-09 10:31:00,153.58,153.61,153.41,153.49,11271
GAIL,2026-04-09 10:32:00,153.53,153.64,153.51,153.62,12743
GAIL,2026-04-09 10:33:00,153.67,153.85,153.64,153.79,32988
GAIL,2026-04-09 10:34:00,153.78,153.83,153.69,153.82,23962
GAIL,2026-04-09 10:35:00,153.82,153.98,153.78,153.98,14195
GAIL,2026-04-09 10:36:00,153.99,153.99,153.76,153.76,35921
GAIL,2026-04-09 10:37:00,153.81,153.87,153.8,153.86,13931
GAIL,2026-04-09 10:38:00,153.81,154.12,153.81,154.01,79628
GAIL,2026-04-09 10:39:00,153.99,154.14,153.99,154.14,24636
GAIL,2026-04-09 10:40:00,154.14,154.18,154.03,154.1,23552
GAIL,2026-04-09 10:41:00,154.12,154.6,154.12,154.59,67052
GAIL,2026-04-09 10:42:00,154.6,154.7,154.4,154.47,79185
GAIL,2026-04-09 10:43:00,154.47,154.54,154.42,154.44,10480
GAIL,2026-04-09 10:44:00,154.49,154.49,154.39,154.45,12178
GAIL,2026-04-09 10:45:00,154.45,154.56,154.45,154.56,57574
GAIL,2026-04-09 10:46:00,154.54,154.54,154.5,154.51,5380
GAIL,2026-04-09 10:47:00,154.51,154.53,154.49,154.49,24855
GAIL,2026-04-09 10:48:00,154.49,154.49,154.38,154.38,16767
GAIL,2026-04-09 10:49:00,154.31,154.47,154.3,154.45,13708
GAIL,2026-04-09 10:50:00,154.41,154.41,154.15,154.2,30121
GAIL,2026-04-09 10:51:00,154.2,154.25,154.05,154.05,21584
GAIL,2026-04-09 10:52:00,154.05,154.18,154.05,154.11,22469
GAIL,2026-04-09 10:53:00,154.11,154.17,154.08,154.15,12912
GAIL,2026-04-09 10:54:00,154.11,154.25,154.11,154.21,9001
GAIL,2026-04-09 10:55:00,154.21,154.24,154.18,154.18,21688
GAIL,2026-04-09 10:56:00,154.18,154.25,154.18,154.18,28468
GAIL,2026-04-09 10:57:00,154.18,154.2,154.05,154.13,51676
GAIL,2026-04-09 10:58:00,154.13,154.19,154.05,154.1,36403
GAIL,2026-04-09 10:59:00,154.1,154.1,154.0,154.02,9978
GAIL,2026-04-09 11:00:00,154.03,154.2,154.02,154.15,12427
GAIL,2026-04-09 11:01:00,154.2,154.23,154.15,154.21,9745
GAIL,2026-04-09 11:02:00,154.2,154.28,154.2,154.22,17915
GAIL,2026-04-09 11:03:00,154.21,154.21,154.11,154.13,12783
GAIL,2026-04-09 11:04:00,154.13,154.19,154.11,154.12,5926
GAIL,2026-04-09 11:05:00,154.15,154.15,154.05,154.05,16001
GAIL,2026-04-09 11:06:00,154.05,154.2,154.05,154.11,15205
GAIL,2026-04-09 11:07:00,154.06,154.2,154.04,154.15,6410
GAIL,2026-04-09 11:08:00,154.15,154.23,154.15,154.21,11316
GAIL,2026-04-09 11:09:00,154.21,154.28,154.21,154.28,6861
GAIL,2026-04-09 11:10:00,154.25,154.32,154.22,154.25,20971
GAIL,2026-04-09 11:11:00,154.25,154.29,154.11,154.15,24927
GAIL,2026-04-09 11:12:00,154.15,154.15,154.0,154.0,24373
GAIL,2026-04-09 11:13:00,154.0,154.13,154.0,154.12,4367
GAIL,2026-04-09 11:14:00,154.06,154.18,154.04,154.11,10754
GAIL,2026-04-09 11:15:00,154.11,154.21,154.11,154.15,2454
GAIL,2026-04-09 11:16:00,154.15,154.19,154.08,154.08,27597
GAIL,2026-04-09 11:17:00,154.08,154.15,154.07,154.09,6586
GAIL,2026-04-09 11:18:00,154.09,154.1,154.07,154.08,7537
GAIL,2026-04-09 11:19:00,154.08,154.14,154.07,154.08,13718
GAIL,2026-04-09 11:20:00,154.08,154.17,154.07,154.07,7627
GAIL,2026-04-09 11:21:00,154.09,154.09,154.0,154.0,94177
GAIL,2026-04-09 11:22:00,154.0,154.03,154.0,154.0,7058
GAIL,2026-04-09 11:23:00,154.0,154.03,153.56,153.56,53483
GAIL,2026-04-09 11:24:00,153.56,153.74,153.47,153.69,126391
GAIL,2026-04-09 11:25:00,153.6,153.79,153.6,153.72,41918
GAIL,2026-04-09 11:26:00,153.72,153.82,153.72,153.77,12651
GAIL,2026-04-09 11:27:00,153.77,153.8,153.7,153.72,25488
GAIL,2026-04-09 11:28:00,153.65,153.71,153.61,153.67,14217
GAIL,2026-04-09 11:29:00,153.68,153.75,153.68,153.69,9679
GAIL,2026-04-09 11:30:00,153.69,153.74,153.69,153.73,9037
GAIL,2026-04-09 11:31:00,153.7,153.75,153.69,153.72,8289
GAIL,2026-04-09 11:32:00,153.72,153.79,153.72,153.76,2277
GAIL,2026-04-09 11:33:00,153.79,153.83,153.62,153.65,16404
GAIL,2026-04-09 11:34:00,153.7,153.78,153.63,153.63,12242
GAIL,2026-04-09 11:35:00,153.63,153.7,153.49,153.51,27865
GAIL,2026-04-09 11:36:00,153.51,153.59,153.51,153.55,9463
GAIL,2026-04-09 11:37:00,153.55,153.65,153.55,153.61,9152
GAIL,2026-04-09 11:38:00,153.61,153.73,153.61,153.68,9284
GAIL,2026-04-09 11:39:00,153.68,153.76,153.61,153.73,20102
GAIL,2026-04-09 11:40:00,153.73,153.73,153.68,153.69,2501
GAIL,2026-04-09 11:41:00,153.69,153.83,153.69,153.79,4805
GAIL,2026-04-09 11:42:00,153.82,153.85,153.79,153.79,15951
GAIL,2026-04-09 11:43:00,153.82,153.82,153.77,153.8,4449
GAIL,2026-04-09 11:44:00,153.8,153.81,153.77,153.77,4526
GAIL,2026-04-09 11:45:00,153.77,153.78,153.64,153.7,13300
GAIL,2026-04-09 11:46:00,153.7,153.85,153.69,153.85,18097
GAIL,2026-04-09 11:47:00,153.77,153.84,153.77,153.77,5024
GAIL,2026-04-09 11:48:00,153.77,153.91,153.77,153.91,4619
GAIL,2026-04-09 11:49:00,153.9,153.98,153.86,153.92,7650
GAIL,2026-04-09 11:50:00,153.91,153.91,153.73,153.75,21804
GAIL,2026-04-09 11:51:00,153.75,153.88,153.75,153.88,5365
GAIL,2026-04-09 11:52:00,153.86,153.9,153.81,153.85,6931
GAIL,2026-04-09 11:53:00,153.85,153.9,153.84,153.86,11627
GAIL,2026-04-09 11:54:00,153.86,153.86,153.69,153.69,15940
GAIL,2026-04-09 11:55:00,153.69,153.83,153.69,153.79,15354
GAIL,2026-04-09 11:56:00,153.82,153.82,153.76,153.78,9564
GAIL,2026-04-09 11:57:00,153.78,153.86,153.76,153.8,10574
GAIL,2026-04-09 11:58:00,153.8,153.85,153.75,153.75,14875
GAIL,2026-04-09 11:59:00,153.76,153.78,153.75,153.76,9118
GAIL,2026-04-09 12:00:00,153.78,153.79,153.76,153.77,5306
GAIL,2026-04-09 12:01:00,153.77,153.8,153.76,153.77,20188
GAIL,2026-04-09 12:02:00,153.77,153.84,153.65,153.67,19758
