tradingsymbol,datetime,open,high,low,close,volume
HAVELLS,2026-04-09 09:15:00,1249.9,1249.9,1237.1,1239.2,9235
HAVELLS,2026-04-09 09:16:00,1239.2,1243.0,1234.4,1242.2,9539
HAVELLS,2026-04-09 09:17:00,1244.1,1252.3,1243.6,1249.1,11101
HAVELLS,2026-04-09 09:18:00,1248.0,1254.0,1248.0,1252.4,7289
HAVELLS,2026-04-09 09:19:00,1252.4,1256.5,1252.3,1256.5,6921
HAVELLS,2026-04-09 09:20:00,1255.9,1260.4,1255.9,1257.6,7315
HAVELLS,2026-04-09 09:21:00,1256.6,1257.6,1255.9,1257.1,3592
HAVELLS,2026-04-09 09:22:00,1257.1,1261.0,1257.1,1259.5,2453
HAVELLS,2026-04-09 09:23:00,1259.7,1260.9,1259.7,1259.7,2089
HAVELLS,2026-04-09 09:24:00,1259.9,1260.9,1259.9,1260.9,1991
HAVELLS,2026-04-09 09:25:00,1260.9,1260.9,1259.3,1260.0,1974
HAVELLS,2026-04-09 09:26:00,1259.3,1259.3,1256.5,1256.5,4992
HAVELLS,2026-04-09 09:27:00,1256.7,1262.0,1256.7,1262.0,11273
HAVELLS,2026-04-09 09:28:00,1262.0,1262.0,1260.7,1261.0,1959
HAVELLS,2026-04-09 09:29:00,1261.2,1263.4,1260.9,1261.8,3082
HAVELLS,2026-04-09 09:30:00,1261.4,1263.3,1261.4,1262.0,1839
HAVELLS,2026-04-09 09:31:00,1262.0,1262.0,1259.8,1259.8,2614
HAVELLS,2026-04-09 09:32:00,1259.4,1260.6,1258.8,1258.9,1059
HAVELLS,2026-04-09 09:33:00,1258.0,1258.0,1255.2,1256.0,3137
HAVELLS,2026-04-09 09:34:00,1256.0,1257.0,1255.3,1255.8,3868
HAVELLS,2026-04-09 09:35:00,1256.0,1258.0,1256.0,1258.0,1421
HAVELLS,2026-04-09 09:36:00,1258.0,1258.5,1257.9,1258.5,1669
HAVELLS,2026-04-09 09:37:00,1258.5,1259.7,1258.5,1258.8,2652
HAVELLS,2026-04-09 09:38:00,1259.2,1259.2,1257.2,1257.2,1758
HAVELLS,2026-04-09 09:39:00,1257.1,1257.6,1255.2,1255.2,2760
HAVELLS,2026-04-09 09:40:00,1255.2,1255.8,1253.3,1253.3,7746
HAVELLS,2026-04-09 09:41:00,1253.6,1253.9,1252.7,1252.7,732
HAVELLS,2026-04-09 09:42:00,1252.7,1253.1,1252.2,1252.7,1832
HAVELLS,2026-04-09 09:43:00,1252.2,1252.3,1249.8,1249.8,3121
HAVELLS,2026-04-09 09:44:00,1249.8,1250.9,1249.3,1250.5,1898
HAVELLS,2026-04-09 09:45:00,1250.5,1251.5,1250.1,1250.5,1732
HAVELLS,2026-04-09 09:46:00,1250.5,1250.5,1249.4,1249.8,944
HAVELLS,2026-04-09 09:47:00,1249.8,1250.1,1249.5,1249.6,950
HAVELLS,2026-04-09 09:48:00,1249.5,1249.6,1247.5,1247.5,4645
HAVELLS,2026-04-09 09:49:00,1247.5,1248.0,1246.0,1246.4,1766
HAVELLS,2026-04-09 09:50:00,1245.8,1245.9,1244.1,1244.2,1450
HAVELLS,2026-04-09 09:51:00,1244.6,1244.6,1243.5,1243.5,1321
HAVELLS,2026-04-09 09:52:00,1244.0,1244.8,1243.8,1244.0,1665
HAVELLS,2026-04-09 09:53:00,1244.6,1244.6,1243.5,1244.0,1373
HAVELLS,2026-04-09 09:54:00,1243.2,1244.4,1243.2,1244.4,667
HAVELLS,2026-04-09 09:55:00,1244.4,1245.1,1243.2,1243.7,4486
HAVELLS,2026-04-09 09:56:00,1243.7,1243.7,1241.5,1242.6,3366
HAVELLS,2026-04-09 09:57:00,1242.6,1244.3,1242.6,1243.9,276
HAVELLS,2026-04-09 09:58:00,1244.3,1245.3,1244.3,1244.4,2219
HAVELLS,2026-04-09 09:59:00,1243.6,1243.6,1241.4,1241.4,1611
HAVELLS,2026-04-09 10:00:00,1241.3,1241.3,1238.8,1239.3,4863
HAVELLS,2026-04-09 10:01:00,1241.4,1241.8,1240.3,1241.8,2117
HAVELLS,2026-04-09 10:02:00,1241.9,1243.1,1241.8,1243.1,1961
