tradingsymbol,datetime,open,high,low,close,volume
HDFCAMC,2026-04-09 09:15:00,2482.7,2484.7,2463.0,2468.5,9065
HDFCAMC,2026-04-09 09:16:00,2468.5,2472.3,2462.3,2466.8,8986
HDFCAMC,2026-04-09 09:17:00,2469.5,2474.2,2468.8,2470.8,4383
HDFCAMC,2026-04-09 09:18:00,2470.8,2477.8,2468.0,2475.0,9320
HDFCAMC,2026-04-09 09:19:00,2475.0,2487.6,2475.0,2487.6,5329
HDFCAMC,2026-04-09 09:20:00,2487.0,2487.2,2476.1,2476.2,6766
HDFCAMC,2026-04-09 09:21:00,2476.0,2476.1,2468.3,2472.3,5069
HDFCAMC,2026-04-09 09:22:00,2472.3,2472.3,2468.0,2469.0,5056
HDFCAMC,2026-04-09 09:23:00,2469.8,2472.4,2466.9,2471.0,3553
HDFCAMC,2026-04-09 09:24:00,2471.0,2473.1,2466.6,2467.1,9419
HDFCAMC,2026-04-09 09:25:00,2468.4,2469.1,2466.6,2467.6,1768
HDFCAMC,2026-04-09 09:26:00,2467.1,2470.5,2467.0,2469.0,4044
HDFCAMC,2026-04-09 09:27:00,2470.2,2471.9,2468.1,2469.4,7167
HDFCAMC,2026-04-09 09:28:00,2469.4,2470.9,2468.7,2469.1,1769
HDFCAMC,2026-04-09 09:29:00,2470.2,2470.2,2467.0,2467.0,1056
HDFCAMC,2026-04-09 09:30:00,2467.6,2467.6,2463.9,2463.9,4064
HDFCAMC,2026-04-09 09:31:00,2463.9,2469.7,2463.9,2464.5,6774
HDFCAMC,2026-04-09 09:32:00,2464.2,2466.7,2461.2,2463.4,3397
HDFCAMC,2026-04-09 09:33:00,2462.8,2466.5,2461.4,2461.4,37911
HDFCAMC,2026-04-09 09:34:00,2461.4,2462.3,2455.3,2455.3,4766
HDFCAMC,2026-04-09 09:35:00,2455.3,2463.6,2453.0,2460.9,7115
HDFCAMC,2026-04-09 09:36:00,2459.1,2463.8,2459.1,2463.1,2799
HDFCAMC,2026-04-09 09:37:00,2462.9,2465.0,2460.6,2460.6,1775
HDFCAMC,2026-04-09 09:38:00,2461.6,2462.7,2458.2,2459.8,1406
HDFCAMC,2026-04-09 09:39:00,2459.6,2462.5,2458.5,2462.5,1253
HDFCAMC,2026-04-09 09:40:00,2462.5,2463.7,2458.2,2460.5,1223
HDFCAMC,2026-04-09 09:41:00,2460.6,2461.2,2459.0,2459.0,799
HDFCAMC,2026-04-09 09:42:00,2459.0,2459.4,2456.1,2456.1,2702
HDFCAMC,2026-04-09 09:43:00,2456.0,2456.6,2452.9,2454.4,3162
HDFCAMC,2026-04-09 09:44:00,2456.2,2456.2,2451.4,2453.8,1880
HDFCAMC,2026-04-09 09:45:00,2454.4,2456.9,2454.4,2456.5,724
HDFCAMC,2026-04-09 09:46:00,2456.3,2457.3,2454.3,2454.7,2133
HDFCAMC,2026-04-09 09:47:00,2455.2,2456.3,2454.2,2456.0,837
HDFCAMC,2026-04-09 09:48:00,2454.2,2454.7,2447.6,2447.6,2906
HDFCAMC,2026-04-09 09:49:00,2447.5,2447.9,2443.8,2445.1,3343
HDFCAMC,2026-04-09 09:50:00,2444.5,2444.8,2438.6,2441.4,5156
HDFCAMC,2026-04-09 09:51:00,2441.4,2443.0,2440.7,2442.1,1266
HDFCAMC,2026-04-09 09:52:00,2443.0,2445.4,2442.6,2443.6,1634
HDFCAMC,2026-04-09 09:53:00,2445.3,2445.5,2443.5,2444.9,936
HDFCAMC,2026-04-09 09:54:00,2445.2,2445.5,2443.5,2443.5,548
HDFCAMC,2026-04-09 09:55:00,2443.5,2445.6,2442.1,2444.8,4281
HDFCAMC,2026-04-09 09:56:00,2444.9,2445.0,2443.2,2444.5,40442
HDFCAMC,2026-04-09 09:57:00,2444.0,2445.0,2442.1,2444.6,2462
HDFCAMC,2026-04-09 09:58:00,2443.9,2445.8,2443.5,2443.5,1508
HDFCAMC,2026-04-09 09:59:00,2442.5,2443.5,2441.6,2443.1,3270
HDFCAMC,2026-04-09 10:00:00,2443.1,2443.5,2441.6,2443.4,9728
HDFCAMC,2026-04-09 10:01:00,2443.2,2446.9,2442.8,2445.3,932
HDFCAMC,2026-04-09 10:02:00,2447.9,2452.0,2447.9,2452.0,1599
HDFCAMC,2026-04-09 10:03:00,2452.2,2453.7,2451.0,2452.4,2463
HDFCAMC,2026-04-09 10:04:00,2451.8,2457.7,2451.7,2456.3,7496
HDFCAMC,2026-04-09 10:05:00,2456.7,2456.7,2455.2,2455.9,1028
HDFCAMC,2026-04-09 10:06:00,2455.9,2455.9,2454.7,2455.6,166
HDFCAMC,2026-04-09 10:07:00,2455.6,2457.9,2454.9,2456.3,2176
HDFCAMC,2026-04-09 10:08:00,2456.3,2456.3,2454.4,2455.6,776
HDFCAMC,2026-04-09 10:09:00,2456.0,2456.0,2454.1,2455.3,1357
HDFCAMC,2026-04-09 10:10:00,2455.3,2457.2,2454.8,2457.2,530
HDFCAMC,2026-04-09 10:11:00,2456.8,2460.7,2456.8,2460.7,717
HDFCAMC,2026-04-09 10:12:00,2461.7,2461.8,2459.4,2461.7,2684
HDFCAMC,2026-04-09 10:13:00,2462.4,2466.0,2461.6,2465.1,2300
HDFCAMC,2026-04-09 10:14:00,2465.9,2465.9,2464.3,2464.3,1338
HDFCAMC,2026-04-09 10:15:00,2464.3,2465.1,2461.7,2461.7,2658
HDFCAMC,2026-04-09 10:16:00,2459.9,2461.6,2459.9,2461.2,732
HDFCAMC,2026-04-09 10:17:00,2460.7,2467.4,2460.7,2467.4,12304
HDFCAMC,2026-04-09 10:18:00,2466.5,2470.5,2466.3,2470.5,4200
HDFCAMC,2026-04-09 10:19:00,2470.5,2471.9,2467.5,2469.1,2704
HDFCAMC,2026-04-09 10:20:00,2469.1,2471.4,2468.6,2469.2,2845
HDFCAMC,2026-04-09 10:21:00,2466.7,2467.1,2465.1,2465.7,3230
HDFCAMC,2026-04-09 10:22:00,2464.9,2468.0,2464.9,2466.1,3855
HDFCAMC,2026-04-09 10:23:00,2466.1,2469.9,2465.6,2469.9,336
HDFCAMC,2026-04-09 10:24:00,2469.5,2472.5,2468.2,2470.1,3513
HDFCAMC,2026-04-09 10:25:00,2468.6,2470.3,2467.6,2468.0,212
HDFCAMC,2026-04-09 10:26:00,2468.5,2469.5,2463.9,2466.0,1157
HDFCAMC,2026-04-09 10:27:00,2466.2,2466.2,2463.4,2465.2,1192
HDFCAMC,2026-04-09 10:28:00,2464.7,2466.1,2462.3,2462.5,2941
HDFCAMC,2026-04-09 10:29:00,2462.2,2466.1,2462.2,2466.1,502
HDFCAMC,2026-04-09 10:30:00,2465.6,2468.0,2464.9,2467.6,4723
HDFCAMC,2026-04-09 10:31:00,2468.0,2468.0,2466.4,2467.2,578
HDFCAMC,2026-04-09 10:32:00,2467.1,2469.3,2465.6,2469.2,263
HDFCAMC,2026-04-09 10:33:00,2469.2,2469.5,2468.6,2469.3,173
HDFCAMC,2026-04-09 10:34:00,2468.9,2468.9,2467.2,2467.9,522
HDFCAMC,2026-04-09 10:35:00,2467.9,2468.0,2465.9,2468.0,5587
HDFCAMC,2026-04-09 10:36:00,2467.8,2468.0,2464.6,2464.6,8397
HDFCAMC,2026-04-09 10:37:00,2465.5,2467.4,2465.0,2466.1,4833
HDFCAMC,2026-04-09 10:38:00,2466.0,2466.0,2461.8,2462.9,548
HDFCAMC,2026-04-09 10:39:00,2462.7,2462.7,2457.4,2458.4,4219
HDFCAMC,2026-04-09 10:40:00,2458.5,2459.6,2457.7,2459.1,278
HDFCAMC,2026-04-09 10:41:00,2458.9,2460.1,2458.7,2459.4,352
HDFCAMC,2026-04-09 10:42:00,2460.3,2460.3,2458.1,2458.2,474
HDFCAMC,2026-04-09 10:43:00,2457.9,2461.0,2457.9,2460.0,1011
HDFCAMC,2026-04-09 10:44:00,2459.8,2460.1,2457.2,2460.1,712
HDFCAMC,2026-04-09 10:45:00,2459.9,2462.0,2459.9,2462.0,529
HDFCAMC,2026-04-09 10:46:00,2461.9,2461.9,2460.3,2461.9,521
HDFCAMC,2026-04-09 10:47:00,2461.9,2461.9,2460.5,2460.8,445
HDFCAMC,2026-04-09 10:48:00,2460.7,2461.2,2460.7,2461.2,213
HDFCAMC,2026-04-09 10:49:00,2460.7,2461.2,2459.4,2461.1,625
HDFCAMC,2026-04-09 10:50:00,2461.3,2465.0,2461.2,2464.5,654
HDFCAMC,2026-04-09 10:51:00,2464.2,2465.9,2463.5,2465.3,249
HDFCAMC,2026-04-09 10:52:00,2466.1,2468.9,2465.5,2468.1,1144
HDFCAMC,2026-04-09 10:53:00,2468.5,2468.5,2465.5,2467.8,996
HDFCAMC,2026-04-09 10:54:00,2467.3,2467.3,2465.4,2465.4,616
HDFCAMC,2026-04-09 10:55:00,2467.1,2469.6,2467.1,2469.6,398
HDFCAMC,2026-04-09 10:56:00,2469.7,2470.6,2467.9,2469.1,1047
HDFCAMC,2026-04-09 10:57:00,2469.1,2469.6,2468.0,2469.6,375
HDFCAMC,2026-04-09 10:58:00,2469.4,2469.4,2467.6,2467.6,376
HDFCAMC,2026-04-09 10:59:00,2467.1,2467.2,2465.9,2467.2,290
HDFCAMC,2026-04-09 11:00:00,2467.1,2469.6,2467.1,2469.6,354
HDFCAMC,2026-04-09 11:01:00,2470.4,2473.4,2468.5,2473.4,1350
HDFCAMC,2026-04-09 11:02:00,2473.5,2474.9,2473.3,2474.8,701
HDFCAMC,2026-04-09 11:03:00,2474.3,2474.8,2472.1,2473.6,855
HDFCAMC,2026-04-09 11:04:00,2474.0,2474.9,2471.3,2472.5,665
HDFCAMC,2026-04-09 11:05:00,2469.6,2471.3,2469.2,2469.6,456
HDFCAMC,2026-04-09 11:06:00,2469.5,2470.7,2468.6,2468.7,662
HDFCAMC,2026-04-09 11:07:00,2468.7,2473.6,2467.1,2473.5,1048
HDFCAMC,2026-04-09 11:08:00,2473.6,2475.8,2473.2,2475.8,752
HDFCAMC,2026-04-09 11:09:00,2477.0,2478.2,2477.0,2477.7,1208
HDFCAMC,2026-04-09 11:10:00,2477.2,2479.7,2477.2,2478.0,1123
HDFCAMC,2026-04-09 11:11:00,2477.9,2479.0,2474.9,2478.2,1123
HDFCAMC,2026-04-09 11:12:00,2478.1,2478.1,2473.9,2475.2,407
HDFCAMC,2026-04-09 11:13:00,2475.2,2477.3,2474.1,2477.3,438
HDFCAMC,2026-04-09 11:14:00,2476.8,2477.0,2475.8,2475.8,265
HDFCAMC,2026-04-09 11:15:00,2475.7,2478.2,2475.7,2478.2,686
HDFCAMC,2026-04-09 11:16:00,2477.7,2478.6,2475.7,2476.2,391
HDFCAMC,2026-04-09 11:17:00,2476.1,2476.1,2471.1,2471.1,796
HDFCAMC,2026-04-09 11:18:00,2471.6,2472.7,2471.0,2471.5,895
HDFCAMC,2026-04-09 11:19:00,2471.1,2474.7,2471.0,2474.4,1062
HDFCAMC,2026-04-09 11:20:00,2474.1,2475.1,2473.3,2474.4,472
HDFCAMC,2026-04-09 11:21:00,2474.3,2474.3,2471.0,2471.0,802
HDFCAMC,2026-04-09 11:22:00,2470.6,2474.0,2469.4,2473.0,444
HDFCAMC,2026-04-09 11:23:00,2473.5,2473.9,2471.8,2473.5,418
HDFCAMC,2026-04-09 11:24:00,2473.4,2474.3,2471.9,2472.8,480
HDFCAMC,2026-04-09 11:25:00,2471.1,2474.1,2471.1,2474.0,1013
HDFCAMC,2026-04-09 11:26:00,2474.1,2474.3,2472.2,2473.8,515
HDFCAMC,2026-04-09 11:27:00,2473.8,2475.6,2473.8,2474.7,373
HDFCAMC,2026-04-09 11:28:00,2473.9,2476.7,2473.8,2476.2,419
HDFCAMC,2026-04-09 11:29:00,2476.6,2476.6,2474.6,2475.8,510
HDFCAMC,2026-04-09 11:30:00,2475.8,2479.6,2475.2,2479.6,761
HDFCAMC,2026-04-09 11:31:00,2479.3,2479.7,2477.9,2478.4,634
HDFCAMC,2026-04-09 11:32:00,2478.1,2480.2,2476.9,2480.2,979
HDFCAMC,2026-04-09 11:33:00,2480.2,2481.1,2478.8,2480.3,1072
HDFCAMC,2026-04-09 11:34:00,2480.7,2480.7,2476.8,2478.6,933
HDFCAMC,2026-04-09 11:35:00,2478.6,2479.1,2477.7,2478.4,362
HDFCAMC,2026-04-09 11:36:00,2478.2,2480.3,2476.9,2478.6,635
HDFCAMC,2026-04-09 11:37:00,2479.0,2480.3,2477.4,2480.3,746
HDFCAMC,2026-04-09 11:38:00,2480.1,2485.0,2478.8,2485.0,4764
HDFCAMC,2026-04-09 11:39:00,2483.8,2484.6,2482.8,2483.8,609
HDFCAMC,2026-04-09 11:40:00,2483.6,2484.7,2482.0,2484.5,1239
HDFCAMC,2026-04-09 11:41:00,2484.4,2486.0,2483.2,2485.4,1457
HDFCAMC,2026-04-09 11:42:00,2484.7,2484.7,2482.8,2483.5,1677
HDFCAMC,2026-04-09 11:43:00,2483.0,2484.8,2481.9,2482.7,938
HDFCAMC,2026-04-09 11:44:00,2483.0,2486.8,2482.9,2486.7,1493
HDFCAMC,2026-04-09 11:45:00,2486.4,2486.6,2484.4,2485.6,916
HDFCAMC,2026-04-09 11:46:00,2485.5,2485.5,2484.3,2484.3,311
HDFCAMC,2026-04-09 11:47:00,2484.3,2485.5,2484.3,2485.5,376
HDFCAMC,2026-04-09 11:48:00,2485.4,2487.6,2485.4,2487.5,1270
HDFCAMC,2026-04-09 11:49:00,2487.7,2490.7,2487.4,2488.8,2680
HDFCAMC,2026-04-09 11:50:00,2488.9,2488.9,2487.0,2488.3,895
HDFCAMC,2026-04-09 11:51:00,2487.7,2490.1,2487.7,2490.1,1781
HDFCAMC,2026-04-09 11:52:00,2490.0,2490.3,2486.6,2486.6,1307
HDFCAMC,2026-04-09 11:53:00,2487.1,2494.1,2487.1,2489.5,10378
HDFCAMC,2026-04-09 11:54:00,2489.5,2489.5,2486.7,2488.3,377
HDFCAMC,2026-04-09 11:55:00,2488.6,2491.2,2488.1,2489.6,1199
HDFCAMC,2026-04-09 11:56:00,2488.6,2490.2,2488.6,2489.1,768
HDFCAMC,2026-04-09 11:57:00,2489.0,2489.4,2488.6,2489.4,389
HDFCAMC,2026-04-09 11:58:00,2489.2,2489.5,2487.8,2488.3,781
HDFCAMC,2026-04-09 11:59:00,2488.2,2489.5,2487.3,2489.5,734
HDFCAMC,2026-04-09 12:00:00,2489.5,2491.3,2489.5,2490.1,709
HDFCAMC,2026-04-09 12:01:00,2489.9,2491.8,2489.9,2490.6,464
HDFCAMC,2026-04-09 12:02:00,2489.7,2493.4,2489.7,2493.4,3762
HDFCAMC,2026-04-09 12:03:00,2493.2,2493.2,2489.8,2491.0,614
HDFCAMC,2026-04-09 12:04:00,2490.6,2491.2,2489.2,2489.5,414
HDFCAMC,2026-04-09 12:05:00,2489.5,2489.5,2486.7,2487.5,587
HDFCAMC,2026-04-09 12:06:00,2487.5,2490.2,2487.5,2490.2,571
HDFCAMC,2026-04-09 12:07:00,2490.0,2492.5,2489.6,2491.8,434
HDFCAMC,2026-04-09 12:08:00,2490.4,2492.8,2486.7,2487.2,3030
HDFCAMC,2026-04-09 12:09:00,2488.4,2490.2,2487.4,2490.0,594
HDFCAMC,2026-04-09 12:10:00,2489.5,2491.0,2489.5,2490.4,3667
HDFCAMC,2026-04-09 12:11:00,2490.4,2491.0,2485.6,2485.6,4376
HDFCAMC,2026-04-09 12:12:00,2485.6,2486.7,2485.3,2485.8,1986
HDFCAMC,2026-04-09 12:13:00,2485.8,2485.8,2483.7,2484.9,636
HDFCAMC,2026-04-09 12:14:00,2484.8,2485.6,2482.7,2485.5,811
HDFCAMC,2026-04-09 12:15:00,2485.1,2485.6,2483.5,2483.5,435
HDFCAMC,2026-04-09 12:16:00,2485.0,2485.6,2483.8,2485.6,656
HDFCAMC,2026-04-09 12:17:00,2485.5,2489.5,2485.5,2489.5,2159
HDFCAMC,2026-04-09 12:18:00,2489.5,2492.2,2489.5,2490.8,3457
HDFCAMC,2026-04-09 12:19:00,2490.6,2491.4,2489.6,2490.5,512
HDFCAMC,2026-04-09 12:20:00,2490.4,2493.5,2490.4,2493.5,1838
HDFCAMC,2026-04-09 12:21:00,2493.5,2493.5,2491.8,2492.1,578
HDFCAMC,2026-04-09 12:22:00,2492.4,2493.4,2491.9,2493.0,762
HDFCAMC,2026-04-09 12:23:00,2493.0,2493.5,2491.5,2491.5,913
HDFCAMC,2026-04-09 12:24:00,2491.9,2491.9,2488.9,2490.0,643
HDFCAMC,2026-04-09 12:25:00,2490.0,2490.0,2486.2,2486.2,818
HDFCAMC,2026-04-09 12:26:00,2486.2,2489.7,2486.2,2489.7,355
HDFCAMC,2026-04-09 12:27:00,2489.3,2490.4,2488.3,2490.4,319
HDFCAMC,2026-04-09 12:28:00,2490.4,2490.5,2487.6,2490.5,538
HDFCAMC,2026-04-09 12:29:00,2490.5,2491.5,2489.4,2491.0,1468
HDFCAMC,2026-04-09 12:30:00,2491.3,2491.3,2489.0,2491.3,921
HDFCAMC,2026-04-09 12:31:00,2491.3,2491.9,2489.8,2491.6,604
HDFCAMC,2026-04-09 12:32:00,2491.6,2492.1,2490.5,2491.7,295
HDFCAMC,2026-04-09 12:33:00,2491.6,2491.9,2487.6,2487.6,2260
HDFCAMC,2026-04-09 12:34:00,2486.7,2486.7,2484.5,2486.7,2328
HDFCAMC,2026-04-09 12:35:00,2486.7,2487.6,2486.4,2487.6,404
HDFCAMC,2026-04-09 12:36:00,2487.5,2487.6,2485.2,2486.5,592
HDFCAMC,2026-04-09 12:37:00,2486.5,2486.6,2484.2,2484.2,1872
HDFCAMC,2026-04-09 12:38:00,2484.2,2487.7,2484.1,2486.8,2423
HDFCAMC,2026-04-09 12:39:00,2486.8,2490.2,2486.0,2490.2,495
HDFCAMC,2026-04-09 12:40:00,2489.5,2491.5,2487.8,2490.8,2790
HDFCAMC,2026-04-09 12:41:00,2490.8,2490.8,2487.2,2489.2,780
HDFCAMC,2026-04-09 12:42:00,2489.2,2489.2,2487.2,2488.7,1254
HDFCAMC,2026-04-09 12:43:00,2488.6,2489.4,2486.1,2487.7,896
HDFCAMC,2026-04-09 12:44:00,2487.7,2489.0,2486.4,2487.9,670
HDFCAMC,2026-04-09 12:45:00,2487.4,2488.2,2485.8,2487.6,815
HDFCAMC,2026-04-09 12:46:00,2487.0,2487.6,2484.3,2484.3,715
HDFCAMC,2026-04-09 12:47:00,2484.3,2486.1,2482.8,2484.2,1067
HDFCAMC,2026-04-09 12:48:00,2483.7,2483.7,2480.5,2480.6,1702
HDFCAMC,2026-04-09 12:49:00,2480.6,2482.5,2480.0,2481.9,1146
HDFCAMC,2026-04-09 12:50:00,2481.9,2482.4,2479.3,2482.2,1524
HDFCAMC,2026-04-09 12:51:00,2482.2,2484.4,2480.8,2484.2,516
HDFCAMC,2026-04-09 12:52:00,2484.1,2485.4,2483.7,2485.0,594
HDFCAMC,2026-04-09 12:53:00,2485.0,2489.3,2484.9,2488.7,1797
HDFCAMC,2026-04-09 12:54:00,2488.7,2489.0,2488.1,2488.1,781
HDFCAMC,2026-04-09 12:55:00,2488.1,2489.4,2484.2,2485.6,8814
HDFCAMC,2026-04-09 12:56:00,2485.5,2489.1,2485.5,2488.6,5634
HDFCAMC,2026-04-09 12:57:00,2488.5,2489.3,2487.0,2488.1,763
HDFCAMC,2026-04-09 12:58:00,2488.0,2488.9,2486.3,2488.7,827
HDFCAMC,2026-04-09 12:59:00,2488.7,2488.7,2486.5,2487.1,575
HDFCAMC,2026-04-09 13:00:00,2487.1,2487.6,2486.1,2487.6,348
HDFCAMC,2026-04-09 13:01:00,2487.4,2489.8,2487.4,2489.6,462
HDFCAMC,2026-04-09 13:02:00,2489.7,2491.1,2489.2,2491.0,2144
HDFCAMC,2026-04-09 13:03:00,2488.9,2491.1,2488.8,2491.1,837
HDFCAMC,2026-04-09 13:04:00,2490.7,2493.5,2490.7,2493.3,1863
HDFCAMC,2026-04-09 13:05:00,2493.2,2493.5,2492.3,2492.8,572
HDFCAMC,2026-04-09 13:06:00,2492.7,2493.1,2491.5,2492.5,777
HDFCAMC,2026-04-09 13:07:00,2492.4,2493.1,2486.9,2488.0,3109
HDFCAMC,2026-04-09 13:08:00,2488.0,2490.4,2486.9,2487.8,717
HDFCAMC,2026-04-09 13:09:00,2487.8,2489.5,2486.8,2489.5,545
HDFCAMC,2026-04-09 13:10:00,2489.4,2489.4,2486.6,2486.6,403
