tradingsymbol,datetime,open,high,low,close,volume
HDFCLIFE,2026-04-09 09:15:00,592.9,594.95,592.55,594.45,28261
HDFCLIFE,2026-04-09 09:16:00,594.45,596.35,594.05,596.35,20270
HDFCLIFE,2026-04-09 09:17:00,595.9,597.95,595.7,597.25,20365
HDFCLIFE,2026-04-09 09:18:00,596.65,597.8,596.65,597.8,11357
HDFCLIFE,2026-04-09 09:19:00,597.8,598.25,597.7,598.2,20501
HDFCLIFE,2026-04-09 09:20:00,598.25,598.8,597.5,597.8,13581
HDFCLIFE,2026-04-09 09:21:00,597.8,597.95,597.0,597.35,9936
HDFCLIFE,2026-04-09 09:22:00,597.35,597.85,597.25,597.25,6774
HDFCLIFE,2026-04-09 09:23:00,597.45,597.6,597.45,597.5,6561
HDFCLIFE,2026-04-09 09:24:00,597.55,597.95,597.2,597.95,2542
HDFCLIFE,2026-04-09 09:25:00,597.95,598.1,597.6,598.1,5753
HDFCLIFE,2026-04-09 09:26:00,598.2,598.25,597.9,598.25,3792
HDFCLIFE,2026-04-09 09:27:00,598.0,598.55,597.85,598.25,5952
HDFCLIFE,2026-04-09 09:28:00,598.25,598.95,598.25,598.8,5103
HDFCLIFE,2026-04-09 09:29:00,598.7,599.5,598.7,598.9,12329
HDFCLIFE,2026-04-09 09:30:00,598.9,599.0,596.95,597.0,24789
HDFCLIFE,2026-04-09 09:31:00,597.2,597.2,596.75,596.8,6626
HDFCLIFE,2026-04-09 09:32:00,596.85,597.25,596.5,596.5,4689
HDFCLIFE,2026-04-09 09:33:00,596.25,596.25,595.0,595.0,5691
HDFCLIFE,2026-04-09 09:34:00,594.55,594.7,594.0,594.2,11761
HDFCLIFE,2026-04-09 09:35:00,592.4,592.9,592.0,592.65,23143
HDFCLIFE,2026-04-09 09:36:00,592.65,593.6,592.65,593.6,3335
HDFCLIFE,2026-04-09 09:37:00,593.5,593.85,592.95,593.15,6067
HDFCLIFE,2026-04-09 09:38:00,593.1,593.1,591.6,592.0,7829
HDFCLIFE,2026-04-09 09:39:00,591.8,592.0,591.4,592.0,8510
HDFCLIFE,2026-04-09 09:40:00,591.9,592.4,591.9,592.05,5846
HDFCLIFE,2026-04-09 09:41:00,592.1,592.35,591.85,592.15,7331
HDFCLIFE,2026-04-09 09:42:00,591.85,592.15,591.55,591.55,2577
HDFCLIFE,2026-04-09 09:43:00,591.7,591.7,590.65,590.9,11370
HDFCLIFE,2026-04-09 09:44:00,590.95,590.95,590.5,590.75,4886
HDFCLIFE,2026-04-09 09:45:00,590.6,591.65,590.35,591.35,6221
HDFCLIFE,2026-04-09 09:46:00,590.6,590.85,590.3,590.5,8078
HDFCLIFE,2026-04-09 09:47:00,590.5,590.85,590.15,590.55,5934
HDFCLIFE,2026-04-09 09:48:00,590.6,590.6,589.85,590.15,8857
HDFCLIFE,2026-04-09 09:49:00,590.1,590.25,589.0,589.5,9853
HDFCLIFE,2026-04-09 09:50:00,589.15,589.4,588.75,589.4,6817
HDFCLIFE,2026-04-09 09:51:00,588.85,589.25,588.6,588.8,7118
HDFCLIFE,2026-04-09 09:52:00,588.9,589.3,588.85,588.95,7813
HDFCLIFE,2026-04-09 09:53:00,589.25,589.25,588.35,588.35,4371
HDFCLIFE,2026-04-09 09:54:00,588.3,588.7,588.2,588.7,5915
HDFCLIFE,2026-04-09 09:55:00,588.7,588.7,587.8,587.95,8638
HDFCLIFE,2026-04-09 09:56:00,587.4,588.35,587.35,588.35,4049
HDFCLIFE,2026-04-09 09:57:00,588.35,588.35,587.9,588.3,1888
HDFCLIFE,2026-04-09 09:58:00,588.15,589.45,588.15,589.35,2667
HDFCLIFE,2026-04-09 09:59:00,589.3,589.65,589.05,589.05,7532
HDFCLIFE,2026-04-09 10:00:00,589.05,589.15,588.45,588.6,2016
HDFCLIFE,2026-04-09 10:01:00,588.65,589.45,588.65,589.35,2256
HDFCLIFE,2026-04-09 10:02:00,589.45,590.0,589.4,589.85,3843
HDFCLIFE,2026-04-09 10:03:00,590.1,590.6,589.9,590.6,3011
HDFCLIFE,2026-04-09 10:04:00,590.3,590.65,589.85,590.55,10824
HDFCLIFE,2026-04-09 10:05:00,590.05,590.7,589.85,590.5,2952
HDFCLIFE,2026-04-09 10:06:00,590.5,590.65,590.2,590.6,3429
HDFCLIFE,2026-04-09 10:07:00,590.6,590.95,590.4,590.6,2704
HDFCLIFE,2026-04-09 10:08:00,590.6,590.75,590.25,590.35,2762
HDFCLIFE,2026-04-09 10:09:00,591.05,591.05,590.75,591.0,1003
HDFCLIFE,2026-04-09 10:10:00,591.05,591.6,591.05,591.6,5182
HDFCLIFE,2026-04-09 10:11:00,591.6,592.1,591.4,592.1,2803
HDFCLIFE,2026-04-09 10:12:00,591.9,591.9,591.15,591.4,4330
HDFCLIFE,2026-04-09 10:13:00,591.75,591.85,591.1,591.45,3325
HDFCLIFE,2026-04-09 10:14:00,591.45,591.9,591.45,591.8,785
HDFCLIFE,2026-04-09 10:15:00,591.95,591.95,591.2,591.2,3278
HDFCLIFE,2026-04-09 10:16:00,591.45,591.45,590.7,590.85,5236
HDFCLIFE,2026-04-09 10:17:00,590.75,591.6,590.7,591.3,4085
