tradingsymbol,datetime,open,high,low,close,volume
HINDZINC,2026-04-09 09:15:00,554.25,554.4,550.1,550.15,55361
HINDZINC,2026-04-09 09:16:00,550.15,553.05,546.95,552.75,99063
HINDZINC,2026-04-09 09:17:00,552.75,555.0,552.75,555.0,38549
HINDZINC,2026-04-09 09:18:00,554.1,556.9,554.0,555.3,43411
HINDZINC,2026-04-09 09:19:00,555.3,556.15,554.95,556.05,24869
HINDZINC,2026-04-09 09:20:00,556.25,558.45,555.55,556.15,48070
HINDZINC,2026-04-09 09:21:00,556.15,556.7,555.65,556.35,18598
HINDZINC,2026-04-09 09:22:00,556.6,556.85,555.95,555.95,9874
HINDZINC,2026-04-09 09:23:00,556.2,557.6,555.6,557.6,26492
HINDZINC,2026-04-09 09:24:00,557.8,558.5,557.6,558.25,18833
HINDZINC,2026-04-09 09:25:00,558.25,559.15,557.85,558.95,32933
HINDZINC,2026-04-09 09:26:00,558.95,559.75,558.95,559.4,23869
HINDZINC,2026-04-09 09:27:00,559.45,560.85,559.45,560.85,37955
HINDZINC,2026-04-09 09:28:00,560.65,561.0,560.05,560.25,19841
HINDZINC,2026-04-09 09:29:00,560.15,560.75,560.1,560.55,26228
HINDZINC,2026-04-09 09:30:00,560.5,560.65,559.7,559.7,31764
HINDZINC,2026-04-09 09:31:00,559.7,560.35,559.7,560.2,12967
HINDZINC,2026-04-09 09:32:00,560.05,560.2,559.6,559.6,10114
HINDZINC,2026-04-09 09:33:00,559.6,559.6,558.7,558.7,15854
HINDZINC,2026-04-09 09:34:00,558.5,560.2,558.5,559.7,27640
HINDZINC,2026-04-09 09:35:00,559.7,561.9,559.7,561.7,15160
HINDZINC,2026-04-09 09:36:00,561.7,563.45,561.7,563.2,25217
HINDZINC,2026-04-09 09:37:00,563.35,563.45,561.9,561.9,12859
HINDZINC,2026-04-09 09:38:00,561.8,561.8,561.0,561.3,10299
HINDZINC,2026-04-09 09:39:00,561.35,561.55,560.95,561.55,11904
HINDZINC,2026-04-09 09:40:00,561.65,562.3,561.55,562.3,12566
HINDZINC,2026-04-09 09:41:00,562.3,562.5,561.95,561.95,9786
HINDZINC,2026-04-09 09:42:00,561.95,562.25,561.65,562.25,29941
HINDZINC,2026-04-09 09:43:00,561.95,562.15,561.5,561.55,8128
HINDZINC,2026-04-09 09:44:00,561.9,561.9,561.1,561.65,15657
HINDZINC,2026-04-09 09:45:00,561.75,562.5,561.55,562.0,32475
HINDZINC,2026-04-09 09:46:00,562.0,562.5,561.6,561.6,11576
HINDZINC,2026-04-09 09:47:00,561.65,562.0,561.65,561.8,6820
HINDZINC,2026-04-09 09:48:00,561.1,561.4,560.3,560.65,20497
HINDZINC,2026-04-09 09:49:00,560.65,560.65,560.15,560.3,14964
HINDZINC,2026-04-09 09:50:00,560.1,560.8,559.7,559.7,20354
HINDZINC,2026-04-09 09:51:00,559.55,560.15,559.55,560.0,9010
HINDZINC,2026-04-09 09:52:00,560.1,560.85,560.0,560.85,10826
HINDZINC,2026-04-09 09:53:00,560.75,560.75,559.85,560.2,5398
HINDZINC,2026-04-09 09:54:00,560.35,560.55,559.6,559.6,7940
HINDZINC,2026-04-09 09:55:00,559.55,559.7,559.2,559.45,9140
HINDZINC,2026-04-09 09:56:00,559.65,560.4,559.65,560.35,14922
HINDZINC,2026-04-09 09:57:00,559.9,560.2,559.75,559.75,5304
HINDZINC,2026-04-09 09:58:00,559.8,560.0,559.5,559.5,3187
HINDZINC,2026-04-09 09:59:00,559.75,560.1,559.45,559.85,12760
HINDZINC,2026-04-09 10:00:00,559.65,560.0,558.75,560.0,16814
HINDZINC,2026-04-09 10:01:00,560.05,561.7,559.75,561.5,11002
HINDZINC,2026-04-09 10:02:00,561.65,562.4,561.2,561.65,12137
HINDZINC,2026-04-09 10:03:00,561.95,562.45,561.65,562.25,22263
HINDZINC,2026-04-09 10:04:00,561.8,562.3,561.65,561.95,11029
HINDZINC,2026-04-09 10:05:00,562.05,563.3,561.95,563.3,31975
HINDZINC,2026-04-09 10:06:00,563.35,563.9,562.9,563.4,15597
HINDZINC,2026-04-09 10:07:00,563.4,563.7,562.75,562.75,9522
HINDZINC,2026-04-09 10:08:00,562.95,563.15,562.3,563.15,4890
HINDZINC,2026-04-09 10:09:00,563.3,563.55,563.0,563.2,13394
HINDZINC,2026-04-09 10:10:00,563.3,563.4,562.5,563.0,8077
HINDZINC,2026-04-09 10:11:00,562.85,563.4,562.85,563.2,27504
HINDZINC,2026-04-09 10:12:00,563.55,563.75,563.3,563.75,7338
HINDZINC,2026-04-09 10:13:00,563.8,563.9,563.15,563.3,12630
HINDZINC,2026-04-09 10:14:00,563.3,563.55,562.5,562.85,9945
HINDZINC,2026-04-09 10:15:00,562.85,562.85,562.0,562.0,6965
HINDZINC,2026-04-09 10:16:00,562.3,562.85,562.2,562.6,7646
HINDZINC,2026-04-09 10:17:00,562.7,562.85,562.3,562.8,3084
HINDZINC,2026-04-09 10:18:00,562.8,563.75,562.8,563.6,6717
HINDZINC,2026-04-09 10:19:00,563.3,563.6,563.05,563.6,1234
HINDZINC,2026-04-09 10:20:00,563.35,563.45,563.1,563.45,6325
HINDZINC,2026-04-09 10:21:00,563.45,563.45,563.15,563.35,807
HINDZINC,2026-04-09 10:22:00,563.5,563.9,563.45,563.9,7383
HINDZINC,2026-04-09 10:23:00,563.9,563.9,563.15,563.25,2858
HINDZINC,2026-04-09 10:24:00,563.45,563.45,563.0,563.35,3353
HINDZINC,2026-04-09 10:25:00,563.35,563.45,562.5,562.75,9707
HINDZINC,2026-04-09 10:26:00,562.5,562.75,561.15,561.6,15786
HINDZINC,2026-04-09 10:27:00,561.9,562.45,561.65,562.0,867
HINDZINC,2026-04-09 10:28:00,562.1,562.3,561.95,561.95,2805
HINDZINC,2026-04-09 10:29:00,561.9,562.0,561.65,562.0,9498
HINDZINC,2026-04-09 10:30:00,562.15,562.3,562.0,562.2,4152
HINDZINC,2026-04-09 10:31:00,562.2,562.3,561.95,561.95,2973
HINDZINC,2026-04-09 10:32:00,561.9,562.65,561.9,562.65,4554
HINDZINC,2026-04-09 10:33:00,562.45,562.75,562.0,562.0,1697
HINDZINC,2026-04-09 10:34:00,562.15,562.85,561.95,562.85,2487
HINDZINC,2026-04-09 10:35:00,562.8,563.05,562.5,563.05,6243
HINDZINC,2026-04-09 10:36:00,563.2,563.2,562.45,562.45,5324
HINDZINC,2026-04-09 10:37:00,562.7,562.9,562.5,562.6,1775
HINDZINC,2026-04-09 10:38:00,562.8,562.8,562.05,562.15,1502
HINDZINC,2026-04-09 10:39:00,562.15,562.3,562.1,562.2,2584
HINDZINC,2026-04-09 10:40:00,562.25,562.25,561.35,561.5,3364
HINDZINC,2026-04-09 10:41:00,561.65,561.8,561.6,561.75,739
HINDZINC,2026-04-09 10:42:00,561.75,561.75,561.5,561.65,1164
HINDZINC,2026-04-09 10:43:00,561.65,562.05,561.5,561.75,5491
HINDZINC,2026-04-09 10:44:00,561.7,561.8,561.5,561.55,3900
HINDZINC,2026-04-09 10:45:00,561.55,561.55,561.25,561.25,2684
HINDZINC,2026-04-09 10:46:00,561.25,561.25,560.4,561.0,10435
HINDZINC,2026-04-09 10:47:00,561.1,561.35,560.55,561.35,4316
HINDZINC,2026-04-09 10:48:00,561.5,561.55,561.05,561.4,3473
HINDZINC,2026-04-09 10:49:00,561.4,561.4,561.0,561.15,1386
HINDZINC,2026-04-09 10:50:00,561.25,561.25,560.9,561.15,2532
HINDZINC,2026-04-09 10:51:00,561.1,561.1,560.6,560.8,6048
HINDZINC,2026-04-09 10:52:00,560.8,561.1,560.65,560.65,4959
HINDZINC,2026-04-09 10:53:00,560.65,561.0,560.65,561.0,1349
HINDZINC,2026-04-09 10:54:00,560.95,561.6,560.7,561.6,4686
HINDZINC,2026-04-09 10:55:00,561.7,561.75,561.3,561.75,5160
HINDZINC,2026-04-09 10:56:00,561.75,561.75,561.45,561.65,4786
HINDZINC,2026-04-09 10:57:00,561.65,561.8,561.35,561.75,1292
HINDZINC,2026-04-09 10:58:00,561.55,561.8,561.25,561.25,6257
HINDZINC,2026-04-09 10:59:00,561.25,561.65,561.05,561.65,1745
HINDZINC,2026-04-09 11:00:00,561.65,561.7,561.25,561.4,1341
HINDZINC,2026-04-09 11:01:00,561.6,561.6,561.25,561.6,1267
HINDZINC,2026-04-09 11:02:00,561.4,561.65,561.1,561.3,2188
HINDZINC,2026-04-09 11:03:00,561.3,561.3,560.85,561.0,1503
HINDZINC,2026-04-09 11:04:00,561.0,561.0,560.7,560.9,3080
HINDZINC,2026-04-09 11:05:00,560.9,561.05,560.5,560.5,8463
HINDZINC,2026-04-09 11:06:00,560.0,560.3,560.0,560.0,18320
HINDZINC,2026-04-09 11:07:00,559.85,561.0,559.85,560.75,3414
HINDZINC,2026-04-09 11:08:00,560.75,560.75,560.3,560.4,1657
HINDZINC,2026-04-09 11:09:00,560.55,560.6,560.4,560.6,1657
HINDZINC,2026-04-09 11:10:00,560.6,560.6,560.4,560.4,2243
HINDZINC,2026-04-09 11:11:00,560.2,560.2,559.6,559.7,5436
HINDZINC,2026-04-09 11:12:00,559.6,559.6,559.2,559.4,10271
HINDZINC,2026-04-09 11:13:00,559.45,559.45,558.4,558.65,17332
HINDZINC,2026-04-09 11:14:00,558.7,559.0,558.1,559.0,7182
HINDZINC,2026-04-09 11:15:00,559.0,560.0,558.85,559.85,7210
HINDZINC,2026-04-09 11:16:00,559.85,559.9,558.95,559.25,7720
HINDZINC,2026-04-09 11:17:00,559.15,559.7,558.85,559.05,7144
HINDZINC,2026-04-09 11:18:00,559.3,559.65,559.2,559.45,1596
HINDZINC,2026-04-09 11:19:00,559.75,559.75,559.1,559.25,13234
