tradingsymbol,datetime,open,high,low,close,volume
IGIL,2026-04-09 09:15:00,335.4,337.0,334.45,334.8,1428
IGIL,2026-04-09 09:16:00,334.8,335.8,334.8,335.2,5956
IGIL,2026-04-09 09:17:00,335.45,336.55,335.25,336.55,1330
IGIL,2026-04-09 09:18:00,336.95,338.05,336.95,338.0,1966
IGIL,2026-04-09 09:19:00,338.0,339.0,338.0,338.0,3797
IGIL,2026-04-09 09:20:00,338.0,338.45,337.55,337.6,3559
IGIL,2026-04-09 09:21:00,337.6,337.75,337.4,337.5,898
IGIL,2026-04-09 09:22:00,337.5,338.15,337.5,338.1,604
IGIL,2026-04-09 09:23:00,337.8,338.05,337.6,337.6,537
IGIL,2026-04-09 09:24:00,337.3,337.65,337.2,337.5,3337
IGIL,2026-04-09 09:25:00,337.5,337.5,337.15,337.15,1180
IGIL,2026-04-09 09:26:00,337.15,337.95,337.05,337.95,3793
IGIL,2026-04-09 09:27:00,337.95,338.3,337.8,337.8,745
IGIL,2026-04-09 09:28:00,337.8,337.8,337.45,337.5,337
IGIL,2026-04-09 09:29:00,337.5,337.8,337.5,337.65,55
IGIL,2026-04-09 09:30:00,337.8,338.85,337.8,338.85,1067
IGIL,2026-04-09 09:31:00,338.5,338.95,337.65,337.65,2224
IGIL,2026-04-09 09:32:00,337.95,338.4,337.65,338.3,90
IGIL,2026-04-09 09:33:00,338.3,338.3,337.2,337.25,1059
IGIL,2026-04-09 09:34:00,337.0,337.15,336.2,337.0,1607
IGIL,2026-04-09 09:35:00,337.0,337.25,337.0,337.2,288
IGIL,2026-04-09 09:36:00,337.25,338.0,337.25,337.75,11
IGIL,2026-04-09 09:37:00,337.7,337.9,337.45,337.45,748
IGIL,2026-04-09 09:38:00,337.25,337.45,337.25,337.45,206
IGIL,2026-04-09 09:39:00,337.45,337.45,337.0,337.0,651
IGIL,2026-04-09 09:40:00,337.0,337.15,337.0,337.0,122
IGIL,2026-04-09 09:41:00,337.0,337.0,336.4,336.65,312
IGIL,2026-04-09 09:42:00,336.65,336.65,336.0,336.0,205
IGIL,2026-04-09 09:43:00,335.85,335.95,335.4,335.5,1509
IGIL,2026-04-09 09:44:00,335.9,336.15,335.6,336.15,381
IGIL,2026-04-09 09:45:00,336.15,336.15,335.85,335.85,30
IGIL,2026-04-09 09:46:00,335.85,336.0,335.85,336.0,20
IGIL,2026-04-09 09:47:00,336.0,336.1,335.7,336.1,137
IGIL,2026-04-09 09:48:00,336.1,336.1,335.55,336.0,751
IGIL,2026-04-09 09:49:00,336.0,336.0,335.4,335.4,322
IGIL,2026-04-09 09:50:00,335.1,335.1,334.8,334.8,2029
IGIL,2026-04-09 09:51:00,334.35,334.35,333.65,333.65,1509
IGIL,2026-04-09 09:52:00,333.8,334.35,333.55,334.3,448
IGIL,2026-04-09 09:53:00,334.3,334.75,334.3,334.6,1990
IGIL,2026-04-09 09:54:00,334.6,334.6,334.05,334.6,308
IGIL,2026-04-09 09:55:00,334.6,334.6,334.05,334.4,140
IGIL,2026-04-09 09:56:00,334.05,334.45,334.05,334.45,279
IGIL,2026-04-09 09:57:00,334.4,334.4,334.05,334.05,321
IGIL,2026-04-09 09:58:00,334.0,334.3,333.7,333.7,389
IGIL,2026-04-09 09:59:00,333.7,334.2,333.7,333.95,490
IGIL,2026-04-09 10:00:00,333.6,333.6,333.05,333.05,338
IGIL,2026-04-09 10:01:00,333.05,333.4,333.05,333.2,138
IGIL,2026-04-09 10:02:00,333.2,334.35,333.2,334.25,622
IGIL,2026-04-09 10:03:00,334.5,334.5,334.1,334.1,130
IGIL,2026-04-09 10:04:00,334.1,334.45,334.1,334.45,25
IGIL,2026-04-09 10:05:00,334.1,334.8,334.1,334.8,338
IGIL,2026-04-09 10:06:00,334.8,335.1,334.8,335.1,211
IGIL,2026-04-09 10:07:00,334.9,334.9,334.9,334.9,14
IGIL,2026-04-09 10:08:00,334.75,334.75,334.75,334.75,14
IGIL,2026-04-09 10:09:00,334.75,334.9,334.75,334.9,3
IGIL,2026-04-09 10:10:00,334.9,334.9,334.5,334.5,1161
IGIL,2026-04-09 10:11:00,334.5,334.5,334.5,334.5,2
IGIL,2026-04-09 10:12:00,334.5,334.5,334.5,334.5,116
IGIL,2026-04-09 10:13:00,334.5,335.0,334.5,335.0,821
IGIL,2026-04-09 10:14:00,335.0,335.0,334.7,334.9,153
IGIL,2026-04-09 10:15:00,334.9,334.9,334.05,334.45,117
IGIL,2026-04-09 10:16:00,334.15,334.2,334.15,334.2,269
IGIL,2026-04-09 10:17:00,334.2,334.2,334.2,334.2,25
IGIL,2026-04-09 10:18:00,334.2,335.2,334.2,335.1,357
IGIL,2026-04-09 10:19:00,335.1,335.1,335.1,335.1,0
IGIL,2026-04-09 10:20:00,335.1,335.2,335.1,335.2,223
IGIL,2026-04-09 10:21:00,335.2,335.25,334.8,334.85,169
IGIL,2026-04-09 10:22:00,334.85,335.2,334.85,335.2,51
IGIL,2026-04-09 10:23:00,334.85,335.2,334.85,335.0,12
IGIL,2026-04-09 10:24:00,335.0,335.45,335.0,335.2,85
IGIL,2026-04-09 10:25:00,335.2,335.2,334.85,334.85,50
IGIL,2026-04-09 10:26:00,335.15,335.25,334.95,335.25,1679
IGIL,2026-04-09 10:27:00,335.25,335.4,335.25,335.4,776
IGIL,2026-04-09 10:28:00,335.4,335.75,335.4,335.45,80
IGIL,2026-04-09 10:29:00,335.75,336.3,335.75,336.3,1069
IGIL,2026-04-09 10:30:00,336.3,336.3,336.0,336.0,79
IGIL,2026-04-09 10:31:00,336.0,336.0,336.0,336.0,18
IGIL,2026-04-09 10:32:00,336.0,336.0,336.0,336.0,0
IGIL,2026-04-09 10:33:00,336.0,336.0,336.0,336.0,0
IGIL,2026-04-09 10:34:00,336.0,336.3,336.0,336.3,18
IGIL,2026-04-09 10:35:00,336.3,336.8,336.3,336.8,27
IGIL,2026-04-09 10:36:00,336.8,336.9,336.7,336.7,272
IGIL,2026-04-09 10:37:00,336.7,337.0,336.65,337.0,532
IGIL,2026-04-09 10:38:00,337.0,337.0,336.1,336.5,164
IGIL,2026-04-09 10:39:00,336.9,337.65,336.9,337.65,1669
IGIL,2026-04-09 10:40:00,337.45,337.8,337.2,337.25,771
IGIL,2026-04-09 10:41:00,337.35,337.35,337.0,337.0,2774
IGIL,2026-04-09 10:42:00,337.0,337.0,336.6,336.6,60
IGIL,2026-04-09 10:43:00,336.6,336.6,336.35,336.35,100
IGIL,2026-04-09 10:44:00,336.35,336.35,335.75,335.75,49
IGIL,2026-04-09 10:45:00,335.75,335.95,335.75,335.95,1
IGIL,2026-04-09 10:46:00,335.95,335.95,335.55,335.75,126
IGIL,2026-04-09 10:47:00,335.55,336.35,335.55,336.35,2592
IGIL,2026-04-09 10:48:00,336.35,336.4,336.2,336.3,636
IGIL,2026-04-09 10:49:00,336.3,336.3,336.25,336.3,169
IGIL,2026-04-09 10:50:00,336.3,336.3,335.15,335.15,4158
IGIL,2026-04-09 10:51:00,335.55,336.0,335.5,336.0,605
