tradingsymbol,datetime,open,high,low,close,volume
INDHOTEL,2026-04-09 09:15:00,635.0,635.0,627.35,628.0,38958
INDHOTEL,2026-04-09 09:16:00,628.0,629.6,627.05,629.35,20068
INDHOTEL,2026-04-09 09:17:00,629.8,631.5,629.8,630.8,8006
INDHOTEL,2026-04-09 09:18:00,631.15,631.15,629.25,629.85,21382
INDHOTEL,2026-04-09 09:19:00,629.85,630.95,629.85,630.1,19517
INDHOTEL,2026-04-09 09:20:00,629.85,631.05,629.65,630.05,13536
INDHOTEL,2026-04-09 09:21:00,629.9,630.35,629.45,630.35,7159
INDHOTEL,2026-04-09 09:22:00,630.35,630.7,630.0,630.4,7838
INDHOTEL,2026-04-09 09:23:00,629.9,629.9,629.2,629.55,10008
INDHOTEL,2026-04-09 09:24:00,629.9,631.5,629.9,631.5,7845
INDHOTEL,2026-04-09 09:25:00,631.5,631.5,630.65,630.9,10367
INDHOTEL,2026-04-09 09:26:00,630.7,630.9,630.25,630.25,3639
INDHOTEL,2026-04-09 09:27:00,629.9,631.95,629.9,631.95,6218
INDHOTEL,2026-04-09 09:28:00,631.95,633.15,631.95,633.15,2997
INDHOTEL,2026-04-09 09:29:00,633.0,633.3,632.45,632.45,3330
INDHOTEL,2026-04-09 09:30:00,632.45,632.45,631.25,631.25,7537
INDHOTEL,2026-04-09 09:31:00,631.25,631.3,630.5,630.65,4418
INDHOTEL,2026-04-09 09:32:00,629.9,630.4,629.65,629.9,6953
INDHOTEL,2026-04-09 09:33:00,629.9,630.4,629.9,630.05,784
INDHOTEL,2026-04-09 09:34:00,630.05,630.05,628.9,628.9,5136
INDHOTEL,2026-04-09 09:35:00,628.95,629.2,628.6,628.7,6964
INDHOTEL,2026-04-09 09:36:00,628.7,629.2,628.7,629.05,4490
INDHOTEL,2026-04-09 09:37:00,629.05,629.75,629.0,629.55,5051
INDHOTEL,2026-04-09 09:38:00,629.35,629.55,628.8,628.8,2188
INDHOTEL,2026-04-09 09:39:00,628.8,629.15,628.3,628.75,4570
INDHOTEL,2026-04-09 09:40:00,628.7,628.75,627.8,628.1,6038
INDHOTEL,2026-04-09 09:41:00,628.05,628.1,627.9,627.95,2428
INDHOTEL,2026-04-09 09:42:00,627.95,628.0,626.55,626.65,2682
INDHOTEL,2026-04-09 09:43:00,626.7,626.8,625.55,625.55,5521
INDHOTEL,2026-04-09 09:44:00,626.05,626.15,625.1,626.15,3134
INDHOTEL,2026-04-09 09:45:00,625.9,625.9,624.35,624.95,15424
INDHOTEL,2026-04-09 09:46:00,624.85,624.9,624.45,624.7,3234
INDHOTEL,2026-04-09 09:47:00,624.4,624.55,624.05,624.55,8545
INDHOTEL,2026-04-09 09:48:00,624.55,624.55,623.5,623.65,3672
INDHOTEL,2026-04-09 09:49:00,623.4,623.4,622.0,622.0,9414
INDHOTEL,2026-04-09 09:50:00,622.0,622.0,621.05,621.5,13032
INDHOTEL,2026-04-09 09:51:00,621.3,621.5,620.55,620.9,5570
INDHOTEL,2026-04-09 09:52:00,620.9,621.2,620.4,620.6,10001
INDHOTEL,2026-04-09 09:53:00,620.9,621.75,620.15,621.55,9612
INDHOTEL,2026-04-09 09:54:00,621.65,621.8,621.05,621.55,8707
INDHOTEL,2026-04-09 09:55:00,621.55,621.55,620.9,621.15,3409
INDHOTEL,2026-04-09 09:56:00,621.1,621.25,620.8,621.0,3202
INDHOTEL,2026-04-09 09:57:00,620.95,621.15,620.5,620.5,2787
INDHOTEL,2026-04-09 09:58:00,620.7,621.0,620.6,620.6,2565
INDHOTEL,2026-04-09 09:59:00,620.6,620.6,620.1,620.4,2066
INDHOTEL,2026-04-09 10:00:00,620.45,620.45,619.1,619.35,18960
INDHOTEL,2026-04-09 10:01:00,619.45,620.7,619.35,620.7,6539
INDHOTEL,2026-04-09 10:02:00,620.7,622.0,620.55,622.0,6092
INDHOTEL,2026-04-09 10:03:00,622.0,623.3,621.7,622.55,5419
INDHOTEL,2026-04-09 10:04:00,622.15,622.6,621.75,622.55,11000
INDHOTEL,2026-04-09 10:05:00,622.3,622.7,621.8,621.8,8047
INDHOTEL,2026-04-09 10:06:00,621.9,622.2,621.15,621.9,6207
INDHOTEL,2026-04-09 10:07:00,621.9,622.35,621.65,621.65,5067
INDHOTEL,2026-04-09 10:08:00,621.75,621.85,621.15,621.15,4772
INDHOTEL,2026-04-09 10:09:00,621.5,622.15,621.5,622.1,6239
INDHOTEL,2026-04-09 10:10:00,622.0,622.2,621.45,621.45,5399
INDHOTEL,2026-04-09 10:11:00,621.7,623.1,621.4,623.1,5639
INDHOTEL,2026-04-09 10:12:00,623.2,623.2,622.55,622.8,5009
INDHOTEL,2026-04-09 10:13:00,622.8,623.0,622.35,622.6,4678
INDHOTEL,2026-04-09 10:14:00,622.6,625.7,622.25,625.6,57673
INDHOTEL,2026-04-09 10:15:00,625.6,625.9,624.8,624.8,7839
INDHOTEL,2026-04-09 10:16:00,624.8,625.1,624.7,625.1,2675
INDHOTEL,2026-04-09 10:17:00,625.1,625.9,624.9,625.85,1908
INDHOTEL,2026-04-09 10:18:00,625.95,626.6,625.0,625.6,6796
INDHOTEL,2026-04-09 10:19:00,625.6,625.6,625.1,625.5,3040
INDHOTEL,2026-04-09 10:20:00,625.4,625.75,625.1,625.5,5707
INDHOTEL,2026-04-09 10:21:00,625.5,626.5,625.25,626.2,8168
INDHOTEL,2026-04-09 10:22:00,626.4,626.45,625.5,625.5,4187
INDHOTEL,2026-04-09 10:23:00,625.5,626.2,625.5,626.2,1320
INDHOTEL,2026-04-09 10:24:00,626.2,626.9,625.95,626.85,3118
INDHOTEL,2026-04-09 10:25:00,626.8,626.8,625.85,626.0,2929
INDHOTEL,2026-04-09 10:26:00,626.0,626.0,625.25,625.4,1942
INDHOTEL,2026-04-09 10:27:00,625.35,626.05,625.05,626.05,18515
INDHOTEL,2026-04-09 10:28:00,626.05,626.65,626.05,626.65,12529
INDHOTEL,2026-04-09 10:29:00,626.3,627.0,626.3,626.9,10413
INDHOTEL,2026-04-09 10:30:00,627.0,627.45,627.0,627.25,3019
INDHOTEL,2026-04-09 10:31:00,627.25,627.5,627.05,627.2,2961
INDHOTEL,2026-04-09 10:32:00,627.2,627.75,627.2,627.6,5940
INDHOTEL,2026-04-09 10:33:00,628.0,628.15,627.85,627.95,4312
INDHOTEL,2026-04-09 10:34:00,628.0,628.6,628.0,628.5,4471
INDHOTEL,2026-04-09 10:35:00,628.5,628.5,627.95,628.4,3972
INDHOTEL,2026-04-09 10:36:00,628.4,628.75,627.85,627.85,5135
INDHOTEL,2026-04-09 10:37:00,628.0,628.45,627.75,628.45,1621
INDHOTEL,2026-04-09 10:38:00,628.25,628.25,626.9,627.5,11810
INDHOTEL,2026-04-09 10:39:00,627.4,627.55,627.0,627.2,3255
INDHOTEL,2026-04-09 10:40:00,627.3,627.35,627.0,627.15,1128
INDHOTEL,2026-04-09 10:41:00,627.2,627.6,627.2,627.6,3923
INDHOTEL,2026-04-09 10:42:00,627.7,628.0,627.55,627.55,1715
INDHOTEL,2026-04-09 10:43:00,627.45,627.9,627.45,627.7,1692
INDHOTEL,2026-04-09 10:44:00,627.7,627.7,627.05,627.15,2949
INDHOTEL,2026-04-09 10:45:00,627.15,627.4,626.95,627.4,3171
INDHOTEL,2026-04-09 10:46:00,627.65,628.3,627.65,628.1,1768
INDHOTEL,2026-04-09 10:47:00,627.95,628.75,627.95,628.75,1608
INDHOTEL,2026-04-09 10:48:00,628.8,629.05,628.65,628.75,7739
INDHOTEL,2026-04-09 10:49:00,628.7,628.85,628.1,628.85,1756
INDHOTEL,2026-04-09 10:50:00,628.8,629.0,628.45,629.0,2408
INDHOTEL,2026-04-09 10:51:00,629.0,629.25,628.95,629.1,3592
INDHOTEL,2026-04-09 10:52:00,629.0,629.1,628.95,629.05,2131
INDHOTEL,2026-04-09 10:53:00,629.05,629.2,628.45,628.75,2260
INDHOTEL,2026-04-09 10:54:00,628.7,629.0,628.65,629.0,437
INDHOTEL,2026-04-09 10:55:00,628.8,629.0,628.8,628.85,884
INDHOTEL,2026-04-09 10:56:00,628.9,629.5,628.9,629.4,3272
