tradingsymbol,datetime,open,high,low,close,volume
INDIAMART,2026-04-09 09:15:00,2099.9,2116.7,2087.1,2089.4,1814
INDIAMART,2026-04-09 09:16:00,2092.7,2098.1,2085.2,2089.4,479
INDIAMART,2026-04-09 09:17:00,2088.9,2099.9,2088.9,2099.9,3042
INDIAMART,2026-04-09 09:18:00,2102.6,2105.7,2102.3,2105.7,2014
INDIAMART,2026-04-09 09:19:00,2105.7,2110.7,2105.7,2110.5,87
INDIAMART,2026-04-09 09:20:00,2110.5,2111.8,2108.9,2108.9,129
INDIAMART,2026-04-09 09:21:00,2108.9,2112.6,2108.9,2112.6,125
INDIAMART,2026-04-09 09:22:00,2112.6,2112.6,2108.1,2108.1,399
INDIAMART,2026-04-09 09:23:00,2108.1,2109.6,2108.1,2109.6,127
INDIAMART,2026-04-09 09:24:00,2109.6,2109.8,2109.5,2109.5,35
INDIAMART,2026-04-09 09:25:00,2109.5,2110.6,2108.0,2108.5,413
INDIAMART,2026-04-09 09:26:00,2108.8,2112.7,2108.8,2112.0,324
INDIAMART,2026-04-09 09:27:00,2112.0,2114.4,2112.0,2113.4,120
INDIAMART,2026-04-09 09:28:00,2114.4,2114.4,2113.4,2113.4,18
INDIAMART,2026-04-09 09:29:00,2113.4,2115.9,2113.4,2115.9,37
INDIAMART,2026-04-09 09:30:00,2116.4,2116.4,2113.9,2114.0,90
INDIAMART,2026-04-09 09:31:00,2114.0,2115.3,2106.0,2106.0,99524
INDIAMART,2026-04-09 09:32:00,2101.4,2103.0,2093.0,2093.0,1035
INDIAMART,2026-04-09 09:33:00,2089.0,2095.8,2085.2,2095.8,800
INDIAMART,2026-04-09 09:34:00,2095.8,2095.8,2092.7,2092.7,123
INDIAMART,2026-04-09 09:35:00,2095.2,2097.7,2095.2,2096.6,136
INDIAMART,2026-04-09 09:36:00,2096.6,2104.7,2096.6,2104.7,54
INDIAMART,2026-04-09 09:37:00,2104.7,2108.8,2104.7,2108.8,73
INDIAMART,2026-04-09 09:38:00,2108.8,2108.8,2107.6,2107.6,29
INDIAMART,2026-04-09 09:39:00,2107.6,2107.6,2106.2,2106.2,213
INDIAMART,2026-04-09 09:40:00,2106.2,2106.9,2104.3,2104.3,17
INDIAMART,2026-04-09 09:41:00,2104.3,2104.5,2097.0,2097.0,1437
INDIAMART,2026-04-09 09:42:00,2099.0,2107.8,2099.0,2106.2,1070
INDIAMART,2026-04-09 09:43:00,2106.2,2106.2,2101.9,2104.4,1702
INDIAMART,2026-04-09 09:44:00,2104.4,2104.4,2103.4,2103.4,5
INDIAMART,2026-04-09 09:45:00,2103.4,2106.2,2103.4,2106.2,43
INDIAMART,2026-04-09 09:46:00,2106.2,2106.2,2106.2,2106.2,10
INDIAMART,2026-04-09 09:47:00,2106.2,2106.2,2105.2,2106.2,14
INDIAMART,2026-04-09 09:48:00,2106.2,2106.2,2106.2,2106.2,1
INDIAMART,2026-04-09 09:49:00,2106.2,2106.2,2106.2,2106.2,0
INDIAMART,2026-04-09 09:50:00,2106.2,2106.2,2097.0,2099.1,2350
INDIAMART,2026-04-09 09:51:00,2095.3,2098.7,2095.3,2098.7,734
INDIAMART,2026-04-09 09:52:00,2098.7,2102.3,2098.7,2101.4,302
INDIAMART,2026-04-09 09:53:00,2101.4,2101.4,2101.0,2101.0,128
INDIAMART,2026-04-09 09:54:00,2100.4,2105.3,2100.4,2104.1,162
INDIAMART,2026-04-09 09:55:00,2106.8,2106.8,2105.6,2106.8,348
INDIAMART,2026-04-09 09:56:00,2106.8,2106.8,2106.8,2106.8,10
INDIAMART,2026-04-09 09:57:00,2106.8,2106.8,2106.8,2106.8,20
INDIAMART,2026-04-09 09:58:00,2106.8,2106.8,2106.8,2106.8,12
INDIAMART,2026-04-09 09:59:00,2106.8,2106.8,2106.8,2106.8,5
INDIAMART,2026-04-09 10:00:00,2107.6,2107.6,2102.7,2103.3,892
INDIAMART,2026-04-09 10:01:00,2103.3,2105.0,2103.3,2105.0,0
INDIAMART,2026-04-09 10:02:00,2105.0,2105.0,2104.9,2104.9,31
INDIAMART,2026-04-09 10:03:00,2104.7,2110.0,2104.7,2108.2,205
INDIAMART,2026-04-09 10:04:00,2108.2,2110.0,2108.2,2108.8,21
INDIAMART,2026-04-09 10:05:00,2108.8,2109.9,2108.8,2109.9,13
INDIAMART,2026-04-09 10:06:00,2109.9,2109.9,2108.5,2108.5,123
INDIAMART,2026-04-09 10:07:00,2108.5,2108.5,2108.4,2108.4,54
INDIAMART,2026-04-09 10:08:00,2106.5,2107.6,2106.5,2107.6,37
INDIAMART,2026-04-09 10:09:00,2107.6,2107.6,2106.5,2107.4,13
INDIAMART,2026-04-09 10:10:00,2107.4,2107.4,2106.5,2107.3,11
INDIAMART,2026-04-09 10:11:00,2107.3,2107.3,2107.2,2107.2,9
INDIAMART,2026-04-09 10:12:00,2107.2,2108.2,2107.2,2108.2,68
INDIAMART,2026-04-09 10:13:00,2108.2,2108.2,2105.2,2105.3,189
INDIAMART,2026-04-09 10:14:00,2105.3,2110.0,2105.3,2110.0,379
INDIAMART,2026-04-09 10:15:00,2110.0,2110.0,2108.5,2108.5,556
INDIAMART,2026-04-09 10:16:00,2108.5,2108.5,2108.5,2108.5,20
INDIAMART,2026-04-09 10:17:00,2108.5,2109.9,2108.5,2109.9,50
INDIAMART,2026-04-09 10:18:00,2109.9,2114.6,2109.9,2114.6,396
INDIAMART,2026-04-09 10:19:00,2114.8,2114.8,2113.2,2113.2,19
INDIAMART,2026-04-09 10:20:00,2113.2,2114.0,2113.2,2113.8,3
INDIAMART,2026-04-09 10:21:00,2114.8,2115.0,2113.8,2113.8,36
INDIAMART,2026-04-09 10:22:00,2113.8,2113.8,2113.8,2113.8,10
INDIAMART,2026-04-09 10:23:00,2113.8,2115.0,2112.9,2112.9,394
INDIAMART,2026-04-09 10:24:00,2111.3,2112.6,2111.3,2112.6,67
INDIAMART,2026-04-09 10:25:00,2112.6,2112.6,2111.3,2111.3,2
INDIAMART,2026-04-09 10:26:00,2111.3,2111.3,2108.0,2108.4,778
INDIAMART,2026-04-09 10:27:00,2108.4,2110.1,2108.4,2110.1,0
INDIAMART,2026-04-09 10:28:00,2110.1,2111.6,2110.1,2111.6,150
INDIAMART,2026-04-09 10:29:00,2111.6,2111.6,2111.6,2111.6,0
INDIAMART,2026-04-09 10:30:00,2111.6,2115.0,2107.1,2107.7,908
INDIAMART,2026-04-09 10:31:00,2107.7,2108.7,2107.7,2108.7,2
INDIAMART,2026-04-09 10:32:00,2108.7,2108.7,2108.4,2108.4,13
INDIAMART,2026-04-09 10:33:00,2108.4,2108.4,2107.1,2108.3,37
INDIAMART,2026-04-09 10:34:00,2108.3,2108.4,2108.3,2108.4,31
INDIAMART,2026-04-09 10:35:00,2108.4,2108.4,2108.4,2108.4,2
INDIAMART,2026-04-09 10:36:00,2108.4,2109.0,2108.4,2108.4,60
INDIAMART,2026-04-09 10:37:00,2108.4,2108.4,2108.4,2108.4,0
INDIAMART,2026-04-09 10:38:00,2108.4,2108.4,2108.4,2108.4,0
INDIAMART,2026-04-09 10:39:00,2108.4,2109.4,2108.4,2109.4,10
INDIAMART,2026-04-09 10:40:00,2107.9,2107.9,2107.5,2107.5,20
INDIAMART,2026-04-09 10:41:00,2107.5,2107.5,2104.5,2104.5,69
INDIAMART,2026-04-09 10:42:00,2106.1,2107.9,2106.1,2107.9,86
INDIAMART,2026-04-09 10:43:00,2107.9,2108.2,2106.5,2108.2,50
INDIAMART,2026-04-09 10:44:00,2108.2,2108.2,2106.0,2107.1,46
INDIAMART,2026-04-09 10:45:00,2107.1,2107.1,2107.1,2107.1,0
INDIAMART,2026-04-09 10:46:00,2107.1,2107.1,2107.1,2107.1,0
INDIAMART,2026-04-09 10:47:00,2107.1,2107.1,2107.1,2107.1,0
INDIAMART,2026-04-09 10:48:00,2107.1,2107.1,2107.1,2107.1,0
INDIAMART,2026-04-09 10:49:00,2107.1,2107.1,2107.1,2107.1,0
INDIAMART,2026-04-09 10:50:00,2105.9,2105.9,2105.5,2105.5,11
INDIAMART,2026-04-09 10:51:00,2105.5,2105.5,2103.1,2103.1,71
INDIAMART,2026-04-09 10:52:00,2103.1,2103.3,2103.1,2103.3,36
INDIAMART,2026-04-09 10:53:00,2104.0,2104.0,2104.0,2104.0,24
INDIAMART,2026-04-09 10:54:00,2104.0,2104.0,2104.0,2104.0,2
INDIAMART,2026-04-09 10:55:00,2104.0,2104.0,2104.0,2104.0,29
INDIAMART,2026-04-09 10:56:00,2104.0,2106.5,2104.0,2106.5,2
INDIAMART,2026-04-09 10:57:00,2106.5,2106.5,2106.5,2106.5,0
INDIAMART,2026-04-09 10:58:00,2106.5,2106.5,2106.5,2106.5,11
INDIAMART,2026-04-09 10:59:00,2106.5,2106.5,2106.5,2106.5,18
INDIAMART,2026-04-09 11:00:00,2106.5,2106.5,2105.4,2105.4,22
INDIAMART,2026-04-09 11:01:00,2106.5,2106.5,2106.5,2106.5,1
INDIAMART,2026-04-09 11:02:00,2106.5,2106.5,2105.2,2106.5,24
INDIAMART,2026-04-09 11:03:00,2106.5,2106.5,2106.5,2106.5,0
INDIAMART,2026-04-09 11:04:00,2106.5,2106.5,2106.5,2106.5,0
INDIAMART,2026-04-09 11:05:00,2106.5,2106.5,2104.3,2104.3,112
INDIAMART,2026-04-09 11:06:00,2104.3,2104.3,2104.3,2104.3,0
INDIAMART,2026-04-09 11:07:00,2104.3,2109.5,2104.3,2109.5,115
INDIAMART,2026-04-09 11:08:00,2109.5,2109.5,2109.4,2109.5,21
INDIAMART,2026-04-09 11:09:00,2109.5,2109.5,2109.5,2109.5,0
INDIAMART,2026-04-09 11:10:00,2109.5,2109.5,2109.0,2109.0,0
INDIAMART,2026-04-09 11:11:00,2109.0,2110.0,2108.9,2108.9,118
INDIAMART,2026-04-09 11:12:00,2108.9,2108.9,2108.6,2108.6,2
INDIAMART,2026-04-09 11:13:00,2108.6,2108.6,2107.5,2107.7,23
INDIAMART,2026-04-09 11:14:00,2107.7,2107.7,2105.8,2105.8,53
INDIAMART,2026-04-09 11:15:00,2105.8,2105.8,2105.7,2105.7,3
INDIAMART,2026-04-09 11:16:00,2105.7,2105.7,2105.3,2105.3,2
INDIAMART,2026-04-09 11:17:00,2105.3,2105.3,2101.6,2105.2,131
INDIAMART,2026-04-09 11:18:00,2105.2,2105.2,2105.2,2105.2,4
INDIAMART,2026-04-09 11:19:00,2105.2,2105.6,2105.0,2105.6,29
INDIAMART,2026-04-09 11:20:00,2105.6,2105.7,2105.0,2105.0,14
INDIAMART,2026-04-09 11:21:00,2107.2,2115.0,2104.9,2113.5,690
INDIAMART,2026-04-09 11:22:00,2113.5,2115.0,2112.4,2115.0,152
INDIAMART,2026-04-09 11:23:00,2115.0,2115.0,2113.8,2115.0,135
INDIAMART,2026-04-09 11:24:00,2115.0,2115.6,2114.0,2115.6,159
INDIAMART,2026-04-09 11:25:00,2115.0,2116.3,2115.0,2115.9,169
