tradingsymbol,datetime,open,high,low,close,volume
INDIGO,2026-04-09 09:15:00,4565.0,4569.3,4543.2,4561.2,48719
INDIGO,2026-04-09 09:16:00,4561.2,4563.0,4546.6,4559.0,11744
INDIGO,2026-04-09 09:17:00,4557.1,4564.1,4551.5,4561.2,13904
INDIGO,2026-04-09 09:18:00,4562.2,4575.2,4562.2,4573.9,17150
INDIGO,2026-04-09 09:19:00,4576.0,4589.2,4575.2,4581.1,15899
INDIGO,2026-04-09 09:20:00,4582.0,4591.9,4577.4,4586.0,17590
INDIGO,2026-04-09 09:21:00,4584.6,4585.7,4575.4,4580.6,5824
INDIGO,2026-04-09 09:22:00,4582.5,4586.0,4570.0,4570.3,13625
INDIGO,2026-04-09 09:23:00,4571.3,4574.3,4570.0,4573.0,2355
INDIGO,2026-04-09 09:24:00,4575.0,4581.0,4575.0,4579.9,4053
INDIGO,2026-04-09 09:25:00,4579.8,4584.9,4578.6,4582.6,3685
INDIGO,2026-04-09 09:26:00,4584.7,4585.0,4582.1,4584.0,2643
INDIGO,2026-04-09 09:27:00,4588.9,4597.5,4586.7,4590.4,12878
INDIGO,2026-04-09 09:28:00,4590.4,4595.0,4590.4,4592.1,5114
INDIGO,2026-04-09 09:29:00,4592.1,4593.7,4586.2,4589.5,7189
INDIGO,2026-04-09 09:30:00,4589.5,4589.5,4572.0,4574.2,11445
INDIGO,2026-04-09 09:31:00,4574.2,4574.2,4570.1,4570.9,5576
INDIGO,2026-04-09 09:32:00,4573.1,4574.4,4564.0,4564.0,7806
INDIGO,2026-04-09 09:33:00,4563.7,4563.7,4558.0,4559.3,8336
INDIGO,2026-04-09 09:34:00,4559.4,4565.2,4559.0,4563.1,5437
INDIGO,2026-04-09 09:35:00,4559.3,4564.6,4559.3,4563.9,7606
INDIGO,2026-04-09 09:36:00,4564.2,4571.0,4562.0,4570.0,3566
INDIGO,2026-04-09 09:37:00,4570.3,4570.3,4562.0,4562.1,5953
INDIGO,2026-04-09 09:38:00,4562.6,4564.0,4552.3,4554.0,9963
INDIGO,2026-04-09 09:39:00,4554.0,4556.2,4550.0,4556.2,7331
INDIGO,2026-04-09 09:40:00,4554.5,4555.7,4552.5,4554.4,4290
INDIGO,2026-04-09 09:41:00,4554.4,4554.4,4542.6,4542.6,13767
INDIGO,2026-04-09 09:42:00,4547.0,4547.3,4540.6,4547.0,9344
INDIGO,2026-04-09 09:43:00,4547.0,4547.0,4543.0,4545.8,4007
INDIGO,2026-04-09 09:44:00,4545.8,4545.8,4543.0,4544.0,2495
INDIGO,2026-04-09 09:45:00,4548.7,4550.0,4544.2,4545.3,20463
INDIGO,2026-04-09 09:46:00,4543.6,4544.2,4535.4,4538.2,11810
INDIGO,2026-04-09 09:47:00,4538.2,4540.6,4538.0,4540.0,4399
INDIGO,2026-04-09 09:48:00,4539.8,4539.8,4535.1,4536.6,9211
INDIGO,2026-04-09 09:49:00,4537.0,4537.0,4530.0,4530.0,5439
INDIGO,2026-04-09 09:50:00,4530.0,4530.0,4514.9,4514.9,13088
INDIGO,2026-04-09 09:51:00,4516.3,4516.3,4504.0,4507.0,18499
INDIGO,2026-04-09 09:52:00,4508.0,4515.0,4504.0,4515.0,13416
INDIGO,2026-04-09 09:53:00,4516.5,4520.0,4510.6,4517.6,10102
INDIGO,2026-04-09 09:54:00,4518.3,4520.0,4515.5,4515.6,6470
INDIGO,2026-04-09 09:55:00,4515.5,4516.0,4512.6,4513.5,3333
INDIGO,2026-04-09 09:56:00,4516.8,4519.5,4514.9,4519.5,4474
INDIGO,2026-04-09 09:57:00,4517.5,4519.4,4515.0,4516.0,4700
INDIGO,2026-04-09 09:58:00,4515.0,4516.0,4513.0,4513.0,2175
INDIGO,2026-04-09 09:59:00,4513.8,4517.2,4510.0,4516.1,5652
INDIGO,2026-04-09 10:00:00,4515.6,4515.9,4511.0,4515.6,4482
INDIGO,2026-04-09 10:01:00,4518.0,4526.3,4517.2,4524.9,4725
INDIGO,2026-04-09 10:02:00,4524.0,4534.3,4524.0,4532.3,9519
INDIGO,2026-04-09 10:03:00,4532.3,4537.5,4530.2,4536.0,6742
INDIGO,2026-04-09 10:04:00,4536.0,4539.4,4530.6,4531.8,7758
INDIGO,2026-04-09 10:05:00,4531.8,4537.4,4526.8,4534.4,12411
INDIGO,2026-04-09 10:06:00,4534.4,4537.9,4529.3,4530.2,2828
INDIGO,2026-04-09 10:07:00,4530.2,4533.1,4528.4,4531.3,3658
INDIGO,2026-04-09 10:08:00,4531.3,4535.9,4528.0,4532.8,4563
INDIGO,2026-04-09 10:09:00,4532.9,4535.9,4532.5,4533.9,2752
INDIGO,2026-04-09 10:10:00,4533.8,4535.8,4531.4,4531.4,3603
INDIGO,2026-04-09 10:11:00,4532.7,4538.1,4532.0,4538.0,3240
