tradingsymbol,datetime,open,high,low,close,volume
IREDA,2026-04-09 09:15:00,122.0,122.0,120.7,121.0,206191
IREDA,2026-04-09 09:16:00,121.0,121.3,120.8,121.3,126275
IREDA,2026-04-09 09:17:00,121.59,121.99,121.39,121.5,164746
IREDA,2026-04-09 09:18:00,121.67,122.0,121.61,122.0,64134
IREDA,2026-04-09 09:19:00,122.0,122.42,122.0,122.31,73362
IREDA,2026-04-09 09:20:00,122.38,122.82,122.38,122.46,196573
IREDA,2026-04-09 09:21:00,122.48,122.73,122.48,122.65,46265
IREDA,2026-04-09 09:22:00,122.7,122.8,122.69,122.78,44050
IREDA,2026-04-09 09:23:00,122.77,123.0,122.71,123.0,90585
IREDA,2026-04-09 09:24:00,122.9,122.97,122.76,122.95,85665
IREDA,2026-04-09 09:25:00,122.94,122.98,122.81,122.98,68148
IREDA,2026-04-09 09:26:00,122.94,123.0,122.87,122.9,79620
IREDA,2026-04-09 09:27:00,122.9,123.09,122.69,123.09,102053
IREDA,2026-04-09 09:28:00,123.09,123.15,122.92,123.04,68531
IREDA,2026-04-09 09:29:00,122.82,122.94,122.62,122.75,58546
IREDA,2026-04-09 09:30:00,122.72,122.75,122.33,122.36,92780
IREDA,2026-04-09 09:31:00,122.36,122.36,121.74,121.8,140051
IREDA,2026-04-09 09:32:00,121.8,121.99,121.73,121.8,73661
IREDA,2026-04-09 09:33:00,121.8,121.82,121.61,121.7,72163
IREDA,2026-04-09 09:34:00,121.7,121.71,121.43,121.49,47499
IREDA,2026-04-09 09:35:00,121.4,121.62,121.4,121.53,69713
IREDA,2026-04-09 09:36:00,121.64,121.75,121.52,121.75,34871
IREDA,2026-04-09 09:37:00,121.71,121.75,121.61,121.68,22307
IREDA,2026-04-09 09:38:00,121.68,121.72,121.55,121.57,21330
IREDA,2026-04-09 09:39:00,121.6,121.6,121.43,121.43,29723
IREDA,2026-04-09 09:40:00,121.43,121.48,121.36,121.36,44083
IREDA,2026-04-09 09:41:00,121.34,121.37,121.25,121.25,21775
IREDA,2026-04-09 09:42:00,121.15,121.22,121.12,121.2,46424
IREDA,2026-04-09 09:43:00,121.17,121.18,121.11,121.15,48798
IREDA,2026-04-09 09:44:00,121.2,121.2,121.03,121.1,43791
IREDA,2026-04-09 09:45:00,121.01,121.23,121.01,121.05,42663
IREDA,2026-04-09 09:46:00,121.05,121.18,120.92,121.15,152495
IREDA,2026-04-09 09:47:00,121.15,121.16,121.03,121.08,60495
