tradingsymbol,datetime,open,high,low,close,volume
JBCHEPHARM,2026-04-09 09:15:00,1943.5,1964.0,1943.5,1952.8,2474
JBCHEPHARM,2026-04-09 09:16:00,1957.0,1965.4,1957.0,1964.1,564
JBCHEPHARM,2026-04-09 09:17:00,1964.1,1972.4,1964.1,1970.1,926
JBCHEPHARM,2026-04-09 09:18:00,1969.6,1973.4,1969.6,1970.1,438
JBCHEPHARM,2026-04-09 09:19:00,1969.6,1970.5,1968.9,1968.9,235
JBCHEPHARM,2026-04-09 09:20:00,1968.9,1974.7,1968.4,1968.4,724
JBCHEPHARM,2026-04-09 09:21:00,1968.4,1968.4,1965.5,1965.9,150
JBCHEPHARM,2026-04-09 09:22:00,1966.2,1967.1,1964.1,1965.1,39
JBCHEPHARM,2026-04-09 09:23:00,1968.3,1968.3,1967.0,1967.0,372
JBCHEPHARM,2026-04-09 09:24:00,1965.6,1968.5,1965.6,1968.5,159
JBCHEPHARM,2026-04-09 09:25:00,1968.5,1968.5,1966.9,1968.4,25
JBCHEPHARM,2026-04-09 09:26:00,1967.1,1968.4,1964.5,1964.5,287
JBCHEPHARM,2026-04-09 09:27:00,1964.5,1965.9,1964.5,1965.9,82
JBCHEPHARM,2026-04-09 09:28:00,1967.4,1967.4,1964.0,1964.0,732
JBCHEPHARM,2026-04-09 09:29:00,1964.1,1964.5,1964.1,1964.1,187
JBCHEPHARM,2026-04-09 09:30:00,1964.1,1965.7,1963.0,1963.0,735
JBCHEPHARM,2026-04-09 09:31:00,1962.0,1962.0,1958.0,1958.0,128
JBCHEPHARM,2026-04-09 09:32:00,1958.6,1959.5,1957.5,1959.5,48
JBCHEPHARM,2026-04-09 09:33:00,1959.5,1959.5,1958.0,1958.3,2
JBCHEPHARM,2026-04-09 09:34:00,1958.3,1958.4,1956.2,1958.0,130
JBCHEPHARM,2026-04-09 09:35:00,1958.0,1958.0,1956.5,1956.5,18
JBCHEPHARM,2026-04-09 09:36:00,1956.5,1957.8,1956.5,1957.8,15
JBCHEPHARM,2026-04-09 09:37:00,1957.8,1957.8,1956.3,1956.3,106
JBCHEPHARM,2026-04-09 09:38:00,1956.3,1956.3,1955.1,1955.3,59
JBCHEPHARM,2026-04-09 09:39:00,1955.3,1956.4,1955.2,1956.4,34
JBCHEPHARM,2026-04-09 09:40:00,1956.4,1956.4,1956.4,1956.4,0
JBCHEPHARM,2026-04-09 09:41:00,1956.5,1956.5,1955.0,1955.0,159
JBCHEPHARM,2026-04-09 09:42:00,1955.0,1955.0,1952.9,1952.9,184
JBCHEPHARM,2026-04-09 09:43:00,1952.9,1954.4,1952.9,1954.4,125
JBCHEPHARM,2026-04-09 09:44:00,1954.4,1955.5,1954.4,1955.5,0
JBCHEPHARM,2026-04-09 09:45:00,1955.5,1957.5,1955.5,1957.0,97
JBCHEPHARM,2026-04-09 09:46:00,1957.0,1957.0,1957.0,1957.0,51
JBCHEPHARM,2026-04-09 09:47:00,1960.6,1962.5,1960.6,1962.5,81
JBCHEPHARM,2026-04-09 09:48:00,1962.5,1964.4,1962.5,1963.9,102
JBCHEPHARM,2026-04-09 09:49:00,1963.9,1963.9,1960.6,1960.6,18
JBCHEPHARM,2026-04-09 09:50:00,1960.6,1960.6,1958.2,1959.7,62
JBCHEPHARM,2026-04-09 09:51:00,1959.7,1959.8,1957.9,1958.7,32
JBCHEPHARM,2026-04-09 09:52:00,1958.7,1959.4,1958.7,1959.3,108
JBCHEPHARM,2026-04-09 09:53:00,1959.3,1959.3,1958.0,1958.0,19
JBCHEPHARM,2026-04-09 09:54:00,1957.4,1959.4,1957.4,1959.4,159
JBCHEPHARM,2026-04-09 09:55:00,1959.4,1959.4,1959.4,1959.4,2
JBCHEPHARM,2026-04-09 09:56:00,1959.4,1959.4,1959.4,1959.4,90
JBCHEPHARM,2026-04-09 09:57:00,1959.4,1959.4,1955.7,1957.1,388
JBCHEPHARM,2026-04-09 09:58:00,1957.1,1966.9,1957.1,1964.9,2738
JBCHEPHARM,2026-04-09 09:59:00,1966.9,1967.9,1964.7,1967.3,664
JBCHEPHARM,2026-04-09 10:00:00,1967.3,1967.3,1963.3,1963.3,206
JBCHEPHARM,2026-04-09 10:01:00,1963.0,1966.5,1963.0,1964.9,2393
JBCHEPHARM,2026-04-09 10:02:00,1964.9,1967.2,1964.9,1967.2,136
JBCHEPHARM,2026-04-09 10:03:00,1967.4,1971.1,1967.4,1970.4,139
JBCHEPHARM,2026-04-09 10:04:00,1968.9,1969.6,1968.8,1969.6,359
JBCHEPHARM,2026-04-09 10:05:00,1969.7,1971.5,1969.7,1971.5,239
JBCHEPHARM,2026-04-09 10:06:00,1971.5,1972.8,1971.2,1971.6,404
JBCHEPHARM,2026-04-09 10:07:00,1971.6,1975.0,1971.6,1973.9,340
JBCHEPHARM,2026-04-09 10:08:00,1971.8,1976.6,1971.8,1975.1,834
JBCHEPHARM,2026-04-09 10:09:00,1975.2,1976.4,1973.7,1974.0,150
JBCHEPHARM,2026-04-09 10:10:00,1974.0,1976.2,1974.0,1975.9,134
JBCHEPHARM,2026-04-09 10:11:00,1975.9,1976.8,1972.4,1973.6,721
JBCHEPHARM,2026-04-09 10:12:00,1972.1,1972.1,1970.8,1972.0,331
JBCHEPHARM,2026-04-09 10:13:00,1972.0,1972.0,1968.7,1970.8,378
JBCHEPHARM,2026-04-09 10:14:00,1971.9,1972.0,1969.6,1971.6,146
JBCHEPHARM,2026-04-09 10:15:00,1971.6,1971.9,1969.4,1971.5,165
JBCHEPHARM,2026-04-09 10:16:00,1972.0,1973.1,1969.4,1971.2,466
JBCHEPHARM,2026-04-09 10:17:00,1971.9,1973.5,1971.3,1973.1,179
JBCHEPHARM,2026-04-09 10:18:00,1973.1,1975.9,1972.0,1972.0,495
JBCHEPHARM,2026-04-09 10:19:00,1973.7,1975.5,1972.3,1974.2,1047
JBCHEPHARM,2026-04-09 10:20:00,1974.1,1974.1,1971.0,1971.0,333
JBCHEPHARM,2026-04-09 10:21:00,1972.9,1973.7,1970.9,1971.5,410
JBCHEPHARM,2026-04-09 10:22:00,1973.3,1973.8,1971.0,1973.8,299
JBCHEPHARM,2026-04-09 10:23:00,1974.3,1974.6,1971.8,1974.6,162
JBCHEPHARM,2026-04-09 10:24:00,1974.6,1975.5,1972.5,1975.3,463
JBCHEPHARM,2026-04-09 10:25:00,1974.1,1975.3,1972.9,1972.9,226
JBCHEPHARM,2026-04-09 10:26:00,1972.8,1974.4,1970.0,1970.0,522
JBCHEPHARM,2026-04-09 10:27:00,1968.8,1971.1,1968.1,1969.3,187
JBCHEPHARM,2026-04-09 10:28:00,1969.3,1970.1,1968.3,1968.4,257
JBCHEPHARM,2026-04-09 10:29:00,1970.3,1971.2,1968.4,1971.2,161
JBCHEPHARM,2026-04-09 10:30:00,1971.2,1971.6,1969.7,1969.9,194
JBCHEPHARM,2026-04-09 10:31:00,1969.9,1971.7,1969.4,1971.4,171
JBCHEPHARM,2026-04-09 10:32:00,1969.6,1972.0,1969.6,1971.5,130
JBCHEPHARM,2026-04-09 10:33:00,1971.5,1971.6,1968.6,1970.3,182
JBCHEPHARM,2026-04-09 10:34:00,1970.3,1971.3,1968.3,1970.5,340
JBCHEPHARM,2026-04-09 10:35:00,1970.5,1970.6,1968.2,1970.0,170
JBCHEPHARM,2026-04-09 10:36:00,1970.0,1970.0,1968.2,1968.2,382
JBCHEPHARM,2026-04-09 10:37:00,1969.5,1969.5,1968.2,1968.5,1430
JBCHEPHARM,2026-04-09 10:38:00,1967.2,1967.2,1966.0,1966.1,519
JBCHEPHARM,2026-04-09 10:39:00,1967.1,1969.2,1966.1,1967.0,187
JBCHEPHARM,2026-04-09 10:40:00,1967.0,1968.3,1966.2,1967.7,244
JBCHEPHARM,2026-04-09 10:41:00,1967.7,1968.1,1966.1,1967.7,169
JBCHEPHARM,2026-04-09 10:42:00,1967.7,1968.4,1966.6,1968.1,147
JBCHEPHARM,2026-04-09 10:43:00,1968.1,1969.9,1967.3,1968.4,169
JBCHEPHARM,2026-04-09 10:44:00,1969.7,1969.7,1965.0,1967.5,1492
JBCHEPHARM,2026-04-09 10:45:00,1966.8,1969.5,1965.6,1969.3,403
JBCHEPHARM,2026-04-09 10:46:00,1969.3,1970.1,1967.9,1970.1,195
JBCHEPHARM,2026-04-09 10:47:00,1970.1,1971.4,1968.9,1969.3,305
JBCHEPHARM,2026-04-09 10:48:00,1969.9,1970.9,1968.4,1969.6,180
JBCHEPHARM,2026-04-09 10:49:00,1969.6,1969.9,1967.2,1968.5,229
JBCHEPHARM,2026-04-09 10:50:00,1967.3,1970.3,1967.3,1970.3,191
JBCHEPHARM,2026-04-09 10:51:00,1968.8,1970.4,1967.0,1969.2,657
JBCHEPHARM,2026-04-09 10:52:00,1969.2,1970.2,1968.2,1970.1,237
JBCHEPHARM,2026-04-09 10:53:00,1970.1,1970.1,1968.0,1969.5,115
JBCHEPHARM,2026-04-09 10:54:00,1969.5,1970.4,1967.3,1970.4,190
JBCHEPHARM,2026-04-09 10:55:00,1970.4,1971.2,1969.6,1971.1,60
JBCHEPHARM,2026-04-09 10:56:00,1971.1,1971.1,1968.5,1970.7,93
JBCHEPHARM,2026-04-09 10:57:00,1970.7,1973.2,1970.4,1970.8,194
