tradingsymbol,datetime,open,high,low,close,volume
KPIL,2026-04-09 09:15:00,1144.5,1144.5,1130.5,1139.1,664
KPIL,2026-04-09 09:16:00,1139.1,1142.9,1139.1,1139.2,782
KPIL,2026-04-09 09:17:00,1139.2,1148.9,1139.2,1148.9,2313
KPIL,2026-04-09 09:18:00,1148.4,1152.3,1148.4,1152.3,1272
KPIL,2026-04-09 09:19:00,1152.3,1155.9,1152.3,1155.9,1202
KPIL,2026-04-09 09:20:00,1155.4,1160.0,1155.4,1159.1,583
KPIL,2026-04-09 09:21:00,1159.1,1161.0,1158.1,1159.8,1793
KPIL,2026-04-09 09:22:00,1158.5,1159.0,1158.1,1158.8,1247
KPIL,2026-04-09 09:23:00,1158.8,1163.1,1158.8,1162.8,3585
KPIL,2026-04-09 09:24:00,1161.2,1161.2,1156.0,1159.0,791
KPIL,2026-04-09 09:25:00,1159.0,1160.1,1157.8,1160.1,996
KPIL,2026-04-09 09:26:00,1160.1,1160.1,1158.5,1158.5,239
KPIL,2026-04-09 09:27:00,1158.5,1159.2,1157.7,1159.2,677
KPIL,2026-04-09 09:28:00,1159.4,1159.9,1159.0,1159.9,39
KPIL,2026-04-09 09:29:00,1158.8,1159.1,1158.3,1159.1,326
KPIL,2026-04-09 09:30:00,1159.1,1159.5,1158.0,1158.0,290
KPIL,2026-04-09 09:31:00,1158.0,1158.0,1154.5,1154.5,546
KPIL,2026-04-09 09:32:00,1155.7,1155.7,1154.6,1154.6,66
KPIL,2026-04-09 09:33:00,1154.6,1154.8,1154.1,1154.8,191
KPIL,2026-04-09 09:34:00,1154.8,1154.8,1149.2,1150.1,1020
KPIL,2026-04-09 09:35:00,1150.0,1151.2,1150.0,1151.2,455
KPIL,2026-04-09 09:36:00,1151.2,1152.3,1150.7,1151.2,1886
KPIL,2026-04-09 09:37:00,1152.5,1153.8,1151.4,1152.5,298
KPIL,2026-04-09 09:38:00,1152.5,1154.8,1151.2,1151.2,1791
KPIL,2026-04-09 09:39:00,1153.6,1154.0,1152.1,1152.9,1056
KPIL,2026-04-09 09:40:00,1151.6,1151.6,1150.9,1151.6,222
KPIL,2026-04-09 09:41:00,1151.6,1151.7,1150.6,1151.7,95
KPIL,2026-04-09 09:42:00,1151.1,1151.1,1149.1,1149.1,505
KPIL,2026-04-09 09:43:00,1148.5,1148.5,1146.8,1146.8,725
KPIL,2026-04-09 09:44:00,1147.5,1147.5,1145.4,1146.2,1078
KPIL,2026-04-09 09:45:00,1146.2,1146.2,1144.1,1146.1,798
KPIL,2026-04-09 09:46:00,1147.2,1147.2,1144.0,1144.0,1274
KPIL,2026-04-09 09:47:00,1144.0,1145.3,1142.4,1142.4,593
KPIL,2026-04-09 09:48:00,1144.2,1144.9,1143.3,1143.7,1394
KPIL,2026-04-09 09:49:00,1144.4,1144.4,1143.3,1143.3,7
KPIL,2026-04-09 09:50:00,1143.3,1143.3,1141.6,1141.6,825
KPIL,2026-04-09 09:51:00,1140.8,1140.8,1140.0,1140.8,131
KPIL,2026-04-09 09:52:00,1140.2,1142.5,1140.2,1142.3,1673
KPIL,2026-04-09 09:53:00,1142.3,1143.7,1142.3,1142.6,136
KPIL,2026-04-09 09:54:00,1142.6,1142.6,1142.6,1142.6,50
KPIL,2026-04-09 09:55:00,1142.4,1143.4,1142.4,1143.4,7
KPIL,2026-04-09 09:56:00,1143.6,1143.6,1142.1,1142.1,43
KPIL,2026-04-09 09:57:00,1142.1,1143.0,1142.0,1142.0,132
KPIL,2026-04-09 09:58:00,1142.0,1142.6,1141.8,1142.5,176
KPIL,2026-04-09 09:59:00,1142.5,1142.6,1141.5,1142.5,183
KPIL,2026-04-09 10:00:00,1141.1,1141.1,1139.0,1139.8,1755
KPIL,2026-04-09 10:01:00,1139.8,1142.3,1139.8,1142.3,98
KPIL,2026-04-09 10:02:00,1144.3,1144.3,1143.2,1143.8,268
KPIL,2026-04-09 10:03:00,1143.8,1144.9,1142.7,1143.5,223
KPIL,2026-04-09 10:04:00,1143.5,1143.5,1142.6,1142.6,12
KPIL,2026-04-09 10:05:00,1142.2,1142.6,1142.2,1142.3,89
KPIL,2026-04-09 10:06:00,1142.3,1143.9,1142.3,1143.9,41
KPIL,2026-04-09 10:07:00,1143.9,1144.3,1143.2,1143.6,36
KPIL,2026-04-09 10:08:00,1143.6,1143.6,1142.8,1143.3,61
KPIL,2026-04-09 10:09:00,1143.2,1143.2,1142.6,1142.6,186
KPIL,2026-04-09 10:10:00,1142.3,1144.2,1142.3,1143.5,378
KPIL,2026-04-09 10:11:00,1143.5,1143.5,1143.5,1143.5,5
KPIL,2026-04-09 10:12:00,1143.5,1143.5,1142.8,1142.8,26
KPIL,2026-04-09 10:13:00,1142.8,1143.5,1142.8,1143.5,24
KPIL,2026-04-09 10:14:00,1143.5,1143.5,1141.3,1142.2,419
KPIL,2026-04-09 10:15:00,1142.2,1143.5,1142.2,1143.5,5
KPIL,2026-04-09 10:16:00,1143.4,1144.3,1143.4,1144.3,102
KPIL,2026-04-09 10:17:00,1144.3,1144.8,1144.3,1144.8,47
KPIL,2026-04-09 10:18:00,1144.8,1147.8,1144.8,1146.4,199
KPIL,2026-04-09 10:19:00,1146.4,1146.8,1146.4,1146.8,95
KPIL,2026-04-09 10:20:00,1146.8,1147.7,1146.8,1147.7,32
KPIL,2026-04-09 10:21:00,1147.7,1147.7,1145.8,1145.8,134
KPIL,2026-04-09 10:22:00,1145.8,1147.5,1145.8,1147.5,59
KPIL,2026-04-09 10:23:00,1147.5,1147.5,1146.8,1146.8,8
KPIL,2026-04-09 10:24:00,1146.8,1146.8,1146.8,1146.8,22
KPIL,2026-04-09 10:25:00,1146.8,1147.8,1146.8,1147.3,555
KPIL,2026-04-09 10:26:00,1147.3,1148.0,1146.5,1146.5,166
KPIL,2026-04-09 10:27:00,1146.5,1146.5,1145.8,1145.9,281
KPIL,2026-04-09 10:28:00,1145.9,1146.7,1145.9,1146.3,13
KPIL,2026-04-09 10:29:00,1146.3,1147.1,1145.0,1145.0,279
KPIL,2026-04-09 10:30:00,1145.0,1147.1,1145.0,1145.3,431
KPIL,2026-04-09 10:31:00,1145.3,1145.3,1145.0,1145.0,238
KPIL,2026-04-09 10:32:00,1145.9,1146.1,1145.2,1145.2,212
KPIL,2026-04-09 10:33:00,1145.9,1145.9,1145.9,1145.9,648
KPIL,2026-04-09 10:34:00,1145.9,1146.5,1145.0,1145.0,127
KPIL,2026-04-09 10:35:00,1145.9,1147.5,1145.9,1146.2,347
KPIL,2026-04-09 10:36:00,1146.2,1147.0,1146.2,1147.0,161
