tradingsymbol,datetime,open,high,low,close,volume
KPRMILL,2026-04-09 09:15:00,857.85,858.4,854.4,856.2,1211
KPRMILL,2026-04-09 09:16:00,857.9,862.0,857.9,861.0,2492
KPRMILL,2026-04-09 09:17:00,861.0,864.4,861.0,862.25,1275
KPRMILL,2026-04-09 09:18:00,861.5,863.3,853.2,855.55,4674
KPRMILL,2026-04-09 09:19:00,857.15,859.45,856.2,858.05,1187
KPRMILL,2026-04-09 09:20:00,857.65,859.95,856.65,856.65,2612
KPRMILL,2026-04-09 09:21:00,856.6,858.35,856.6,857.25,1862
KPRMILL,2026-04-09 09:22:00,858.0,858.1,857.15,857.2,940
KPRMILL,2026-04-09 09:23:00,857.2,858.45,857.2,858.2,357
KPRMILL,2026-04-09 09:24:00,857.6,858.5,857.1,858.5,823
KPRMILL,2026-04-09 09:25:00,857.65,858.3,857.45,858.0,452
KPRMILL,2026-04-09 09:26:00,858.0,858.6,858.0,858.15,389
KPRMILL,2026-04-09 09:27:00,858.15,858.15,857.2,857.25,586
KPRMILL,2026-04-09 09:28:00,857.8,857.9,857.15,857.15,1740
KPRMILL,2026-04-09 09:29:00,857.15,857.85,857.15,857.2,691
KPRMILL,2026-04-09 09:30:00,857.2,857.85,854.5,854.65,6781
KPRMILL,2026-04-09 09:31:00,854.1,855.1,854.1,854.3,878
KPRMILL,2026-04-09 09:32:00,854.3,855.0,852.0,852.1,2594
KPRMILL,2026-04-09 09:33:00,851.7,852.15,851.6,851.7,450
KPRMILL,2026-04-09 09:34:00,851.5,851.75,850.0,850.3,3347
KPRMILL,2026-04-09 09:35:00,849.45,851.0,848.95,850.2,3556
KPRMILL,2026-04-09 09:36:00,850.2,852.15,850.2,852.15,112
KPRMILL,2026-04-09 09:37:00,852.15,852.75,851.5,851.5,774
KPRMILL,2026-04-09 09:38:00,851.5,851.5,851.5,851.5,1
KPRMILL,2026-04-09 09:39:00,851.55,851.55,850.0,850.0,2039
KPRMILL,2026-04-09 09:40:00,850.0,850.35,850.0,850.0,38
KPRMILL,2026-04-09 09:41:00,850.05,850.05,849.45,849.45,842
KPRMILL,2026-04-09 09:42:00,849.45,850.1,849.1,849.1,475
KPRMILL,2026-04-09 09:43:00,848.8,850.5,848.45,850.5,1092
KPRMILL,2026-04-09 09:44:00,849.95,849.95,849.35,849.9,425
KPRMILL,2026-04-09 09:45:00,849.9,851.0,849.9,851.0,111
KPRMILL,2026-04-09 09:46:00,851.0,851.0,850.45,851.0,271
