tradingsymbol,datetime,open,high,low,close,volume
LODHA,2026-04-09 09:15:00,782.0,782.0,768.5,772.25,149793
LODHA,2026-04-09 09:16:00,772.25,775.9,772.25,774.25,72108
LODHA,2026-04-09 09:17:00,776.45,777.85,775.8,777.65,30353
LODHA,2026-04-09 09:18:00,777.55,779.1,777.1,779.1,26161
LODHA,2026-04-09 09:19:00,779.1,782.0,779.05,780.8,26219
LODHA,2026-04-09 09:20:00,781.2,783.65,781.1,781.1,43032
LODHA,2026-04-09 09:21:00,781.15,782.0,780.1,781.0,14190
LODHA,2026-04-09 09:22:00,781.0,781.6,779.5,780.2,14371
LODHA,2026-04-09 09:23:00,779.1,780.2,779.1,779.55,10508
LODHA,2026-04-09 09:24:00,780.05,780.4,779.0,779.9,11382
LODHA,2026-04-09 09:25:00,779.9,780.3,778.95,780.3,16236
LODHA,2026-04-09 09:26:00,779.7,780.25,779.45,779.45,6246
LODHA,2026-04-09 09:27:00,779.35,780.4,779.2,780.4,13830
LODHA,2026-04-09 09:28:00,780.4,780.55,779.65,780.55,13315
LODHA,2026-04-09 09:29:00,779.9,780.4,778.95,778.95,7232
LODHA,2026-04-09 09:30:00,778.05,778.35,775.75,775.95,39323
LODHA,2026-04-09 09:31:00,775.45,775.6,773.5,773.5,15541
LODHA,2026-04-09 09:32:00,773.55,774.35,773.4,774.25,15081
LODHA,2026-04-09 09:33:00,774.5,775.4,774.45,774.45,5250
LODHA,2026-04-09 09:34:00,774.2,774.95,773.9,774.45,7998
LODHA,2026-04-09 09:35:00,774.05,775.4,774.05,775.4,8391
LODHA,2026-04-09 09:36:00,775.4,777.1,775.4,777.1,3939
LODHA,2026-04-09 09:37:00,776.75,777.05,775.3,775.85,11425
LODHA,2026-04-09 09:38:00,775.75,775.75,774.85,775.4,5099
LODHA,2026-04-09 09:39:00,775.45,775.45,774.0,774.85,4280
LODHA,2026-04-09 09:40:00,774.85,775.35,774.8,774.8,3155
LODHA,2026-04-09 09:41:00,775.15,776.45,774.85,775.65,9039
LODHA,2026-04-09 09:42:00,775.8,776.05,774.15,774.15,11022
LODHA,2026-04-09 09:43:00,774.15,776.0,774.15,775.8,57231
LODHA,2026-04-09 09:44:00,775.8,775.85,774.9,774.9,13857
LODHA,2026-04-09 09:45:00,775.05,775.25,772.05,772.45,28058
LODHA,2026-04-09 09:46:00,772.45,773.3,771.2,773.3,9503
LODHA,2026-04-09 09:47:00,773.9,774.75,773.9,774.1,1704
LODHA,2026-04-09 09:48:00,774.25,774.25,773.05,773.05,7157
LODHA,2026-04-09 09:49:00,773.15,773.15,771.9,772.0,8680
LODHA,2026-04-09 09:50:00,772.0,772.05,768.8,768.8,28311
LODHA,2026-04-09 09:51:00,768.5,768.5,765.8,766.3,14439
LODHA,2026-04-09 09:52:00,766.95,768.15,765.95,765.95,15821
LODHA,2026-04-09 09:53:00,765.95,767.75,765.45,766.85,6069
LODHA,2026-04-09 09:54:00,766.15,766.15,764.65,765.9,13019
LODHA,2026-04-09 09:55:00,765.3,765.7,764.55,765.3,21136
LODHA,2026-04-09 09:56:00,765.3,765.65,764.1,764.1,4058
LODHA,2026-04-09 09:57:00,765.0,765.65,764.8,764.9,4621
LODHA,2026-04-09 09:58:00,765.45,766.0,764.85,764.85,6535
LODHA,2026-04-09 09:59:00,764.95,765.15,763.45,764.6,13668
LODHA,2026-04-09 10:00:00,764.25,764.25,762.4,763.0,23049
LODHA,2026-04-09 10:01:00,763.95,765.3,763.55,765.2,2811
LODHA,2026-04-09 10:02:00,765.6,766.6,765.45,766.6,5915
LODHA,2026-04-09 10:03:00,765.95,767.0,765.35,766.95,7567
LODHA,2026-04-09 10:04:00,766.1,767.6,766.1,767.2,7780
LODHA,2026-04-09 10:05:00,766.9,768.2,766.75,768.2,5844
LODHA,2026-04-09 10:06:00,768.2,769.3,767.5,769.0,7930
LODHA,2026-04-09 10:07:00,769.0,769.15,768.45,768.65,12217
LODHA,2026-04-09 10:08:00,768.4,769.5,768.0,768.55,22443
LODHA,2026-04-09 10:09:00,768.55,770.0,768.55,770.0,4318
LODHA,2026-04-09 10:10:00,770.05,770.9,769.75,770.25,5907
LODHA,2026-04-09 10:11:00,770.0,771.6,769.7,771.6,4085
LODHA,2026-04-09 10:12:00,771.7,771.7,770.65,771.4,2838
LODHA,2026-04-09 10:13:00,771.4,771.5,770.45,770.45,4250
LODHA,2026-04-09 10:14:00,770.6,770.65,770.25,770.6,5981
LODHA,2026-04-09 10:15:00,770.65,770.65,770.0,770.0,9338
LODHA,2026-04-09 10:16:00,770.0,770.35,769.6,770.2,9172
LODHA,2026-04-09 10:17:00,770.35,772.5,770.35,772.5,7222
LODHA,2026-04-09 10:18:00,773.0,774.65,773.0,773.2,11753
LODHA,2026-04-09 10:19:00,773.55,773.55,771.6,772.6,11482
LODHA,2026-04-09 10:20:00,772.6,772.6,771.45,771.65,4816
LODHA,2026-04-09 10:21:00,771.65,772.55,771.65,772.55,1370
LODHA,2026-04-09 10:22:00,772.8,772.95,771.6,771.6,4410
LODHA,2026-04-09 10:23:00,771.3,772.95,771.3,772.85,6329
LODHA,2026-04-09 10:24:00,772.85,773.7,772.55,773.7,1727
LODHA,2026-04-09 10:25:00,773.7,773.7,772.15,772.65,6243
LODHA,2026-04-09 10:26:00,772.65,772.65,770.85,771.25,3559
LODHA,2026-04-09 10:27:00,771.25,771.7,771.2,771.25,1308
LODHA,2026-04-09 10:28:00,771.55,772.5,771.55,772.3,3680
LODHA,2026-04-09 10:29:00,772.5,774.4,772.5,774.35,8917
LODHA,2026-04-09 10:30:00,774.2,774.9,774.2,774.75,5720
LODHA,2026-04-09 10:31:00,774.9,774.9,774.25,774.55,795
LODHA,2026-04-09 10:32:00,774.6,775.45,774.4,774.9,7475
LODHA,2026-04-09 10:33:00,775.6,775.75,774.45,775.0,6047
LODHA,2026-04-09 10:34:00,775.0,776.7,774.75,775.55,9441
LODHA,2026-04-09 10:35:00,775.7,777.0,775.55,777.0,8513
LODHA,2026-04-09 10:36:00,777.0,777.2,775.6,775.6,6766
LODHA,2026-04-09 10:37:00,775.6,777.0,775.4,777.0,2310
LODHA,2026-04-09 10:38:00,776.35,776.6,775.7,775.85,1824
LODHA,2026-04-09 10:39:00,775.75,776.8,775.75,776.8,1716
LODHA,2026-04-09 10:40:00,776.75,777.0,776.05,776.6,5481
LODHA,2026-04-09 10:41:00,776.4,777.7,776.25,777.7,2429
LODHA,2026-04-09 10:42:00,777.7,777.7,776.4,777.1,6121
LODHA,2026-04-09 10:43:00,777.2,778.0,776.8,777.7,3563
LODHA,2026-04-09 10:44:00,777.7,777.7,777.0,777.15,1026
LODHA,2026-04-09 10:45:00,777.15,778.55,776.9,778.55,3494
LODHA,2026-04-09 10:46:00,778.7,779.0,778.2,778.65,9595
LODHA,2026-04-09 10:47:00,779.0,779.95,778.7,779.95,5388
LODHA,2026-04-09 10:48:00,779.85,780.35,779.45,779.85,4085
LODHA,2026-04-09 10:49:00,779.55,779.55,778.45,779.2,4779
LODHA,2026-04-09 10:50:00,778.65,779.0,778.55,779.0,674
LODHA,2026-04-09 10:51:00,778.95,779.3,778.6,778.6,2318
LODHA,2026-04-09 10:52:00,778.85,779.5,778.85,779.25,1850
LODHA,2026-04-09 10:53:00,779.5,779.5,778.3,778.4,14502
LODHA,2026-04-09 10:54:00,778.4,779.6,778.3,779.35,3118
LODHA,2026-04-09 10:55:00,779.35,779.45,779.0,779.25,3363
LODHA,2026-04-09 10:56:00,779.45,779.45,779.0,779.25,1251
LODHA,2026-04-09 10:57:00,779.25,779.85,779.0,779.65,6379
LODHA,2026-04-09 10:58:00,779.65,779.65,778.9,779.1,3537
LODHA,2026-04-09 10:59:00,778.6,779.5,778.3,779.5,1170
LODHA,2026-04-09 11:00:00,779.5,782.2,779.5,781.15,21871
LODHA,2026-04-09 11:01:00,781.15,781.9,781.05,781.8,2137
LODHA,2026-04-09 11:02:00,781.8,783.25,781.75,782.9,12376
LODHA,2026-04-09 11:03:00,783.2,784.75,783.2,784.75,5831
LODHA,2026-04-09 11:04:00,784.6,784.95,782.7,783.1,19187
LODHA,2026-04-09 11:05:00,783.1,783.8,782.75,783.1,2054
LODHA,2026-04-09 11:06:00,783.1,783.7,782.45,782.45,6264
LODHA,2026-04-09 11:07:00,782.25,784.35,781.9,784.0,4790
LODHA,2026-04-09 11:08:00,784.0,784.5,784.0,784.35,1615
LODHA,2026-04-09 11:09:00,784.05,784.3,783.8,783.8,2269
LODHA,2026-04-09 11:10:00,784.25,784.25,783.7,784.2,3131
LODHA,2026-04-09 11:11:00,784.25,784.5,784.25,784.5,2815
LODHA,2026-04-09 11:12:00,784.6,784.85,784.2,784.55,5913
LODHA,2026-04-09 11:13:00,784.3,785.0,784.2,785.0,3342
LODHA,2026-04-09 11:14:00,785.0,785.0,784.55,785.0,5082
LODHA,2026-04-09 11:15:00,784.95,786.0,784.95,786.0,10686
LODHA,2026-04-09 11:16:00,785.95,785.95,784.25,784.55,5173
LODHA,2026-04-09 11:17:00,784.55,784.55,783.15,784.35,6545
LODHA,2026-04-09 11:18:00,784.35,784.8,784.05,784.15,4429
LODHA,2026-04-09 11:19:00,783.7,784.2,783.7,784.2,2279
LODHA,2026-04-09 11:20:00,784.2,784.6,784.2,784.4,1897
