tradingsymbol,datetime,open,high,low,close,volume
MEESHO,2026-04-09 09:15:00,152.72,152.94,151.15,151.75,121099
MEESHO,2026-04-09 09:16:00,151.99,152.8,151.99,152.66,63934
MEESHO,2026-04-09 09:17:00,152.58,153.82,152.58,153.82,34587
MEESHO,2026-04-09 09:18:00,153.9,154.7,153.9,154.7,67818
MEESHO,2026-04-09 09:19:00,154.61,158.21,154.61,157.88,214760
MEESHO,2026-04-09 09:20:00,157.65,157.8,156.31,156.53,116549
MEESHO,2026-04-09 09:21:00,156.68,157.49,156.66,157.49,44927
MEESHO,2026-04-09 09:22:00,157.49,157.8,157.31,157.61,42193
MEESHO,2026-04-09 09:23:00,157.59,157.62,157.12,157.37,73875
MEESHO,2026-04-09 09:24:00,157.28,157.28,156.52,157.05,43832
MEESHO,2026-04-09 09:25:00,156.88,157.01,156.47,157.0,22027
MEESHO,2026-04-09 09:26:00,156.83,156.83,156.6,156.61,13672
MEESHO,2026-04-09 09:27:00,156.67,157.0,156.62,157.0,24665
MEESHO,2026-04-09 09:28:00,157.0,157.85,156.89,157.85,81330
MEESHO,2026-04-09 09:29:00,157.72,158.4,157.72,158.39,99645
MEESHO,2026-04-09 09:30:00,158.33,159.7,158.21,159.24,198842
MEESHO,2026-04-09 09:31:00,159.35,159.69,158.79,158.84,96549
MEESHO,2026-04-09 09:32:00,158.84,159.01,158.1,158.1,49121
MEESHO,2026-04-09 09:33:00,158.22,158.25,157.88,158.05,48381
MEESHO,2026-04-09 09:34:00,158.14,158.14,157.52,157.87,31648
MEESHO,2026-04-09 09:35:00,157.99,158.36,157.96,158.0,36801
MEESHO,2026-04-09 09:36:00,158.02,158.5,158.02,158.45,18799
MEESHO,2026-04-09 09:37:00,158.29,158.49,158.0,158.09,27919
MEESHO,2026-04-09 09:38:00,158.05,158.25,158.0,158.09,8767
MEESHO,2026-04-09 09:39:00,158.09,158.09,157.63,157.63,11750
MEESHO,2026-04-09 09:40:00,157.6,158.23,157.5,158.16,31728
MEESHO,2026-04-09 09:41:00,158.16,161.31,158.16,161.1,807254
MEESHO,2026-04-09 09:42:00,161.29,163.84,161.29,162.52,803497
MEESHO,2026-04-09 09:43:00,162.62,163.46,162.0,162.0,310523
MEESHO,2026-04-09 09:44:00,161.86,162.52,161.5,162.34,270061
MEESHO,2026-04-09 09:45:00,162.4,164.45,161.32,163.14,720435
MEESHO,2026-04-09 09:46:00,163.0,164.46,163.0,163.1,685224
MEESHO,2026-04-09 09:47:00,163.12,163.6,162.48,162.58,237030
MEESHO,2026-04-09 09:48:00,162.8,163.0,160.7,160.7,276955
MEESHO,2026-04-09 09:49:00,160.8,165.3,160.45,163.62,862133
MEESHO,2026-04-09 09:50:00,163.5,163.67,162.82,163.0,213051
MEESHO,2026-04-09 09:51:00,163.11,163.11,162.21,162.21,151977
MEESHO,2026-04-09 09:52:00,162.22,163.25,162.22,162.89,160293
MEESHO,2026-04-09 09:53:00,162.89,163.48,162.72,163.45,151402
MEESHO,2026-04-09 09:54:00,163.45,163.45,162.8,163.0,123800
MEESHO,2026-04-09 09:55:00,163.0,165.8,162.8,165.52,632793
MEESHO,2026-04-09 09:56:00,165.5,165.63,164.56,165.3,444062
MEESHO,2026-04-09 09:57:00,165.27,167.5,165.27,167.38,1163600
MEESHO,2026-04-09 09:58:00,167.5,167.89,167.03,167.89,437778
MEESHO,2026-04-09 09:59:00,167.95,168.42,166.83,166.9,546745
MEESHO,2026-04-09 10:00:00,167.0,168.9,166.54,168.15,758369
