tradingsymbol,datetime,open,high,low,close,volume
NH,2026-04-09 09:15:00,1726.0,1749.8,1711.6,1711.6,7259
NH,2026-04-09 09:16:00,1714.9,1720.5,1711.2,1720.5,3278
NH,2026-04-09 09:17:00,1719.1,1724.8,1718.3,1724.7,1796
NH,2026-04-09 09:18:00,1724.4,1726.9,1724.4,1726.9,1146
NH,2026-04-09 09:19:00,1726.9,1729.9,1726.6,1728.0,996
NH,2026-04-09 09:20:00,1727.3,1729.0,1724.4,1724.6,5573
NH,2026-04-09 09:21:00,1723.3,1726.3,1723.3,1726.3,839
NH,2026-04-09 09:22:00,1725.4,1726.8,1724.9,1725.5,889
NH,2026-04-09 09:23:00,1725.0,1725.9,1724.3,1725.0,739
NH,2026-04-09 09:24:00,1725.0,1725.7,1724.1,1725.7,431
NH,2026-04-09 09:25:00,1725.7,1726.3,1725.1,1725.5,457
NH,2026-04-09 09:26:00,1725.5,1726.3,1724.0,1724.0,767
NH,2026-04-09 09:27:00,1724.0,1724.0,1723.0,1723.0,556
NH,2026-04-09 09:28:00,1723.7,1725.0,1723.0,1723.3,276
NH,2026-04-09 09:29:00,1724.0,1724.8,1723.0,1723.0,985
NH,2026-04-09 09:30:00,1724.1,1724.1,1722.3,1723.7,335
NH,2026-04-09 09:31:00,1722.5,1728.2,1722.5,1726.0,1531
NH,2026-04-09 09:32:00,1725.7,1731.6,1725.7,1729.7,1938
NH,2026-04-09 09:33:00,1729.1,1729.1,1727.8,1728.0,184
NH,2026-04-09 09:34:00,1728.4,1731.6,1728.0,1729.1,690
NH,2026-04-09 09:35:00,1730.1,1739.6,1729.8,1738.0,2325
NH,2026-04-09 09:36:00,1736.2,1740.0,1735.9,1739.6,953
NH,2026-04-09 09:37:00,1739.6,1741.8,1739.6,1739.7,566
NH,2026-04-09 09:38:00,1740.0,1740.0,1735.0,1737.4,603
NH,2026-04-09 09:39:00,1738.1,1738.1,1735.0,1735.0,1006
NH,2026-04-09 09:40:00,1737.0,1737.0,1735.3,1736.6,347
NH,2026-04-09 09:41:00,1736.6,1737.4,1735.6,1737.1,187
