tradingsymbol,datetime,open,high,low,close,volume
PCBL,2026-04-09 09:15:00,269.76,270.14,268.0,270.14,16908
PCBL,2026-04-09 09:16:00,270.35,272.45,270.35,272.45,32022
PCBL,2026-04-09 09:17:00,271.92,272.7,271.67,272.6,21777
PCBL,2026-04-09 09:18:00,273.7,274.9,273.7,274.07,38186
PCBL,2026-04-09 09:19:00,273.78,274.7,273.78,274.3,16861
PCBL,2026-04-09 09:20:00,274.25,275.46,274.25,274.66,33866
PCBL,2026-04-09 09:21:00,274.66,274.7,274.07,274.5,11844
PCBL,2026-04-09 09:22:00,274.72,274.72,274.39,274.51,7628
PCBL,2026-04-09 09:23:00,274.32,274.43,273.71,273.98,5831
PCBL,2026-04-09 09:24:00,273.66,273.94,273.07,273.39,5600
PCBL,2026-04-09 09:25:00,273.5,274.0,273.25,274.0,11438
PCBL,2026-04-09 09:26:00,275.2,276.39,275.2,276.08,66047
PCBL,2026-04-09 09:27:00,276.1,276.16,275.27,275.98,8657
PCBL,2026-04-09 09:28:00,275.85,275.85,275.35,275.45,8508
PCBL,2026-04-09 09:29:00,275.27,275.63,275.02,275.02,13254
PCBL,2026-04-09 09:30:00,275.05,276.19,275.05,276.0,18590
PCBL,2026-04-09 09:31:00,275.83,275.83,274.72,275.03,24863
PCBL,2026-04-09 09:32:00,275.1,275.31,274.55,274.55,5701
PCBL,2026-04-09 09:33:00,274.26,274.26,273.4,273.51,14138
PCBL,2026-04-09 09:34:00,273.51,273.51,273.01,273.33,12235
PCBL,2026-04-09 09:35:00,273.25,274.44,273.25,274.44,9878
PCBL,2026-04-09 09:36:00,274.45,274.93,274.25,274.43,7622
PCBL,2026-04-09 09:37:00,274.59,274.73,274.34,274.34,6335
PCBL,2026-04-09 09:38:00,274.37,274.37,273.5,273.5,3858
PCBL,2026-04-09 09:39:00,273.72,273.72,272.58,272.58,6241
PCBL,2026-04-09 09:40:00,272.59,273.05,272.59,272.81,10449
PCBL,2026-04-09 09:41:00,273.01,273.48,272.98,273.06,5606
PCBL,2026-04-09 09:42:00,272.71,272.87,272.24,272.47,12551
PCBL,2026-04-09 09:43:00,272.22,272.47,272.1,272.3,4723
PCBL,2026-04-09 09:44:00,272.4,272.98,272.4,272.75,2063
PCBL,2026-04-09 09:45:00,272.73,273.28,272.73,273.0,4752
PCBL,2026-04-09 09:46:00,272.96,272.97,272.62,272.76,1329
PCBL,2026-04-09 09:47:00,272.81,273.07,272.81,272.99,2292
PCBL,2026-04-09 09:48:00,272.99,273.1,272.8,272.82,1141
PCBL,2026-04-09 09:49:00,272.98,272.98,272.02,272.02,4419
PCBL,2026-04-09 09:50:00,271.56,271.83,271.3,271.3,17750
PCBL,2026-04-09 09:51:00,271.46,271.46,270.68,270.76,5012
PCBL,2026-04-09 09:52:00,270.54,271.2,270.54,271.2,36630
PCBL,2026-04-09 09:53:00,271.2,271.59,271.0,271.59,2139
PCBL,2026-04-09 09:54:00,271.2,271.41,270.68,270.68,4106
PCBL,2026-04-09 09:55:00,270.68,270.96,270.41,270.81,5307
PCBL,2026-04-09 09:56:00,270.76,270.76,270.29,270.35,5296
PCBL,2026-04-09 09:57:00,270.35,270.58,270.27,270.42,2705
PCBL,2026-04-09 09:58:00,270.12,270.5,270.12,270.45,5194
PCBL,2026-04-09 09:59:00,270.45,270.45,270.22,270.4,2122
PCBL,2026-04-09 10:00:00,270.42,270.42,269.1,269.69,9149
PCBL,2026-04-09 10:01:00,269.66,270.76,269.5,270.35,5332
PCBL,2026-04-09 10:02:00,270.51,270.77,270.35,270.77,521
PCBL,2026-04-09 10:03:00,270.77,271.05,270.5,271.0,9375
PCBL,2026-04-09 10:04:00,271.0,271.0,270.53,270.94,3441
PCBL,2026-04-09 10:05:00,270.7,271.06,270.57,271.06,4454
PCBL,2026-04-09 10:06:00,271.06,271.08,270.7,271.08,2203
PCBL,2026-04-09 10:07:00,271.08,271.5,270.88,271.12,11100
