tradingsymbol,datetime,open,high,low,close,volume
PFC,2026-04-09 09:15:00,418.55,418.75,413.45,415.0,190798
PFC,2026-04-09 09:16:00,415.0,417.4,415.0,417.4,49240
PFC,2026-04-09 09:17:00,417.55,418.3,417.35,417.9,28348
PFC,2026-04-09 09:18:00,418.1,419.0,418.1,418.8,58377
PFC,2026-04-09 09:19:00,418.8,420.45,418.8,420.1,77259
PFC,2026-04-09 09:20:00,420.15,421.35,420.0,420.1,63098
PFC,2026-04-09 09:21:00,420.0,420.3,420.0,420.15,35033
PFC,2026-04-09 09:22:00,420.15,420.4,419.55,419.55,37379
PFC,2026-04-09 09:23:00,419.1,419.85,419.05,419.85,23464
PFC,2026-04-09 09:24:00,419.85,420.7,419.85,420.6,36034
PFC,2026-04-09 09:25:00,420.6,421.15,420.25,421.0,49791
PFC,2026-04-09 09:26:00,421.25,421.55,421.25,421.35,19569
PFC,2026-04-09 09:27:00,421.9,421.95,421.5,421.95,28963
PFC,2026-04-09 09:28:00,421.85,422.45,421.6,422.25,34959
PFC,2026-04-09 09:29:00,422.3,422.5,421.9,421.9,26298
PFC,2026-04-09 09:30:00,421.85,421.85,420.75,420.75,16164
PFC,2026-04-09 09:31:00,420.5,420.5,420.05,420.05,16695
PFC,2026-04-09 09:32:00,420.05,420.05,419.35,419.7,15839
PFC,2026-04-09 09:33:00,419.45,419.55,419.0,419.0,35110
PFC,2026-04-09 09:34:00,419.0,419.0,418.35,418.75,51804
PFC,2026-04-09 09:35:00,418.5,419.35,418.4,418.9,63946
PFC,2026-04-09 09:36:00,418.85,419.8,418.85,419.55,11039
PFC,2026-04-09 09:37:00,419.8,419.95,419.55,419.7,19051
PFC,2026-04-09 09:38:00,419.7,419.75,419.4,419.7,25097
PFC,2026-04-09 09:39:00,419.8,419.8,418.75,419.65,15124
PFC,2026-04-09 09:40:00,419.4,419.85,419.4,419.85,12065
PFC,2026-04-09 09:41:00,419.85,419.85,419.45,419.45,6049
PFC,2026-04-09 09:42:00,419.4,419.4,418.65,418.65,5518
PFC,2026-04-09 09:43:00,418.65,419.15,418.55,418.6,26781
PFC,2026-04-09 09:44:00,418.55,418.6,417.95,418.3,103077
PFC,2026-04-09 09:45:00,418.3,419.25,418.2,418.45,21403
PFC,2026-04-09 09:46:00,418.6,418.6,418.2,418.45,12284
PFC,2026-04-09 09:47:00,418.6,418.6,418.15,418.2,10403
PFC,2026-04-09 09:48:00,418.1,418.1,417.55,417.8,18980
PFC,2026-04-09 09:49:00,417.8,417.95,417.0,417.0,11703
PFC,2026-04-09 09:50:00,417.3,417.35,416.7,416.75,29346
PFC,2026-04-09 09:51:00,416.75,416.95,416.55,416.55,8010
PFC,2026-04-09 09:52:00,416.65,417.1,416.65,417.1,27049
PFC,2026-04-09 09:53:00,417.1,417.2,416.85,417.2,17627
PFC,2026-04-09 09:54:00,417.2,417.2,416.9,417.0,11014
PFC,2026-04-09 09:55:00,417.05,417.05,416.45,416.9,15379
PFC,2026-04-09 09:56:00,416.8,416.85,416.45,416.85,15935
PFC,2026-04-09 09:57:00,416.9,417.65,416.9,417.55,12625
PFC,2026-04-09 09:58:00,417.6,418.25,417.55,418.05,14863
PFC,2026-04-09 09:59:00,417.95,418.05,417.6,417.6,18896
PFC,2026-04-09 10:00:00,417.55,417.8,417.1,417.65,12012
PFC,2026-04-09 10:01:00,417.65,418.55,417.65,418.55,10548
PFC,2026-04-09 10:02:00,418.6,419.1,418.6,418.95,40514
PFC,2026-04-09 10:03:00,418.9,419.45,418.6,419.35,19783
PFC,2026-04-09 10:04:00,419.35,419.4,419.15,419.35,23534
PFC,2026-04-09 10:05:00,419.15,419.6,419.0,419.35,7144
PFC,2026-04-09 10:06:00,419.4,419.5,419.1,419.35,17068
PFC,2026-04-09 10:07:00,419.25,419.7,419.2,419.65,9600
PFC,2026-04-09 10:08:00,419.5,420.9,419.5,420.8,53556
PFC,2026-04-09 10:09:00,420.8,421.5,420.7,421.4,40275
PFC,2026-04-09 10:10:00,421.5,421.75,421.25,421.45,35900
PFC,2026-04-09 10:11:00,421.45,422.85,421.35,422.8,96183
PFC,2026-04-09 10:12:00,422.85,423.5,422.55,423.45,46320
PFC,2026-04-09 10:13:00,423.85,423.95,423.05,423.35,40837
