tradingsymbol,datetime,open,high,low,close,volume
POLYMED,2026-04-09 09:15:00,1435.5,1438.1,1430.1,1435.7,917
POLYMED,2026-04-09 09:16:00,1435.0,1438.1,1430.1,1430.1,405
POLYMED,2026-04-09 09:17:00,1427.3,1436.4,1427.3,1436.4,346
POLYMED,2026-04-09 09:18:00,1436.4,1439.4,1435.4,1439.4,843
POLYMED,2026-04-09 09:19:00,1439.9,1443.4,1439.4,1442.0,1245
POLYMED,2026-04-09 09:20:00,1442.0,1445.5,1440.4,1445.4,955
POLYMED,2026-04-09 09:21:00,1444.8,1447.6,1443.9,1447.6,442
POLYMED,2026-04-09 09:22:00,1447.6,1448.7,1445.4,1448.7,311
POLYMED,2026-04-09 09:23:00,1448.0,1448.0,1445.5,1445.5,176
POLYMED,2026-04-09 09:24:00,1447.4,1447.9,1446.1,1446.1,340
POLYMED,2026-04-09 09:25:00,1446.1,1448.7,1446.1,1447.0,131
POLYMED,2026-04-09 09:26:00,1448.0,1448.0,1447.9,1448.0,184
POLYMED,2026-04-09 09:27:00,1447.8,1447.8,1442.0,1442.0,1323
POLYMED,2026-04-09 09:28:00,1442.0,1444.0,1442.0,1444.0,151
POLYMED,2026-04-09 09:29:00,1444.0,1444.0,1443.9,1444.0,150
POLYMED,2026-04-09 09:30:00,1444.2,1444.2,1442.0,1442.9,79
POLYMED,2026-04-09 09:31:00,1441.7,1442.2,1438.0,1438.0,403
POLYMED,2026-04-09 09:32:00,1438.5,1438.5,1437.0,1437.0,187
POLYMED,2026-04-09 09:33:00,1436.1,1436.9,1432.4,1432.4,518
POLYMED,2026-04-09 09:34:00,1432.4,1434.0,1431.2,1431.3,268
POLYMED,2026-04-09 09:35:00,1431.3,1433.6,1431.2,1433.6,882
POLYMED,2026-04-09 09:36:00,1433.6,1433.9,1433.6,1433.9,199
POLYMED,2026-04-09 09:37:00,1433.9,1434.0,1433.9,1434.0,34
POLYMED,2026-04-09 09:38:00,1434.0,1434.0,1433.8,1433.8,51
