tradingsymbol,datetime,open,high,low,close,volume
RELIANCE,2026-04-09 09:15:00,1346.0,1346.0,1338.0,1340.6,169842
RELIANCE,2026-04-09 09:16:00,1340.6,1342.6,1338.3,1342.5,118086
RELIANCE,2026-04-09 09:17:00,1342.5,1343.4,1341.3,1342.3,120356
RELIANCE,2026-04-09 09:18:00,1342.3,1343.0,1341.7,1342.9,50838
RELIANCE,2026-04-09 09:19:00,1342.9,1346.7,1342.9,1346.7,84410
RELIANCE,2026-04-09 09:20:00,1346.2,1347.5,1345.0,1347.5,112437
RELIANCE,2026-04-09 09:21:00,1347.1,1347.5,1345.9,1346.6,135311
RELIANCE,2026-04-09 09:22:00,1346.3,1348.3,1346.2,1347.5,81268
RELIANCE,2026-04-09 09:23:00,1347.5,1348.0,1346.8,1347.5,54259
RELIANCE,2026-04-09 09:24:00,1347.6,1349.2,1346.8,1348.8,75224
RELIANCE,2026-04-09 09:25:00,1349.0,1349.4,1347.8,1348.2,69141
RELIANCE,2026-04-09 09:26:00,1348.2,1349.4,1347.9,1349.4,44642
RELIANCE,2026-04-09 09:27:00,1349.3,1350.0,1349.3,1349.7,71290
RELIANCE,2026-04-09 09:28:00,1349.7,1349.9,1348.8,1348.9,51581
RELIANCE,2026-04-09 09:29:00,1348.9,1349.2,1348.2,1349.2,25229
RELIANCE,2026-04-09 09:30:00,1349.2,1349.2,1346.5,1346.5,55111
RELIANCE,2026-04-09 09:31:00,1346.5,1346.5,1345.0,1345.2,55584
RELIANCE,2026-04-09 09:32:00,1345.2,1345.2,1344.5,1345.0,49568
RELIANCE,2026-04-09 09:33:00,1345.2,1346.5,1345.0,1346.5,37437
RELIANCE,2026-04-09 09:34:00,1346.1,1346.3,1345.1,1345.1,33483
RELIANCE,2026-04-09 09:35:00,1345.4,1346.5,1345.2,1346.1,29407
RELIANCE,2026-04-09 09:36:00,1346.1,1346.7,1345.7,1346.2,18512
RELIANCE,2026-04-09 09:37:00,1346.3,1346.3,1345.5,1345.7,20247
RELIANCE,2026-04-09 09:38:00,1345.9,1347.0,1345.2,1345.8,27398
RELIANCE,2026-04-09 09:39:00,1345.5,1345.7,1343.0,1343.7,50133
RELIANCE,2026-04-09 09:40:00,1344.1,1344.1,1343.5,1343.9,10478
RELIANCE,2026-04-09 09:41:00,1343.9,1344.0,1342.5,1342.5,40232
RELIANCE,2026-04-09 09:42:00,1342.5,1344.0,1342.4,1343.8,17178
RELIANCE,2026-04-09 09:43:00,1344.0,1344.0,1342.4,1342.7,27621
RELIANCE,2026-04-09 09:44:00,1342.9,1343.0,1342.1,1342.1,17514
RELIANCE,2026-04-09 09:45:00,1342.7,1343.5,1342.0,1342.5,81751
RELIANCE,2026-04-09 09:46:00,1342.7,1343.3,1342.2,1343.3,16566
RELIANCE,2026-04-09 09:47:00,1342.9,1343.1,1341.0,1341.1,70700
RELIANCE,2026-04-09 09:48:00,1341.1,1341.1,1339.8,1339.8,74465
RELIANCE,2026-04-09 09:49:00,1339.2,1340.0,1339.0,1339.1,40368
RELIANCE,2026-04-09 09:50:00,1339.1,1339.8,1338.8,1339.8,22941
RELIANCE,2026-04-09 09:51:00,1339.7,1339.9,1338.9,1339.1,21564
RELIANCE,2026-04-09 09:52:00,1339.2,1340.5,1339.1,1340.2,27935
RELIANCE,2026-04-09 09:53:00,1340.5,1340.5,1338.8,1338.8,25654
RELIANCE,2026-04-09 09:54:00,1338.9,1339.2,1338.0,1338.2,29207
RELIANCE,2026-04-09 09:55:00,1337.7,1337.8,1336.6,1337.4,47669
RELIANCE,2026-04-09 09:56:00,1336.9,1337.4,1336.2,1336.2,27344
RELIANCE,2026-04-09 09:57:00,1336.1,1336.9,1336.0,1336.1,37800
RELIANCE,2026-04-09 09:58:00,1336.1,1337.4,1336.1,1336.6,20565
RELIANCE,2026-04-09 09:59:00,1336.6,1336.8,1335.6,1336.7,42391
RELIANCE,2026-04-09 10:00:00,1336.7,1336.7,1333.7,1335.5,105813
