tradingsymbol,datetime,open,high,low,close,volume
SAGILITY,2026-04-09 09:15:00,42.79,42.79,42.52,42.71,164472
SAGILITY,2026-04-09 09:16:00,42.85,43.09,42.85,43.02,252447
SAGILITY,2026-04-09 09:17:00,43.06,43.1,43.04,43.1,160489
SAGILITY,2026-04-09 09:18:00,43.13,43.22,43.09,43.16,208323
SAGILITY,2026-04-09 09:19:00,43.14,43.18,43.12,43.15,72171
SAGILITY,2026-04-09 09:20:00,43.1,43.29,43.05,43.08,258145
SAGILITY,2026-04-09 09:21:00,43.08,43.12,43.0,43.12,92041
SAGILITY,2026-04-09 09:22:00,43.1,43.19,43.1,43.19,14432
SAGILITY,2026-04-09 09:23:00,43.16,43.25,43.16,43.25,91583
SAGILITY,2026-04-09 09:24:00,43.25,43.29,43.23,43.29,71743
SAGILITY,2026-04-09 09:25:00,43.26,43.26,43.22,43.22,98050
SAGILITY,2026-04-09 09:26:00,43.18,43.24,43.18,43.24,32099
SAGILITY,2026-04-09 09:27:00,43.24,43.37,43.24,43.3,175256
SAGILITY,2026-04-09 09:28:00,43.33,43.38,43.31,43.38,35275
SAGILITY,2026-04-09 09:29:00,43.37,43.42,43.32,43.39,208631
SAGILITY,2026-04-09 09:30:00,43.39,43.39,43.22,43.24,81053
SAGILITY,2026-04-09 09:31:00,43.24,43.24,43.08,43.08,126460
SAGILITY,2026-04-09 09:32:00,43.11,43.16,43.06,43.09,71572
SAGILITY,2026-04-09 09:33:00,43.11,43.14,43.08,43.1,73803
SAGILITY,2026-04-09 09:34:00,43.09,43.12,43.06,43.1,108083
SAGILITY,2026-04-09 09:35:00,43.07,43.12,43.07,43.09,167661
SAGILITY,2026-04-09 09:36:00,43.09,43.15,43.08,43.12,29639
SAGILITY,2026-04-09 09:37:00,43.16,43.17,43.13,43.14,129353
SAGILITY,2026-04-09 09:38:00,43.13,43.2,43.1,43.15,90370
SAGILITY,2026-04-09 09:39:00,43.14,43.14,43.05,43.05,28632
SAGILITY,2026-04-09 09:40:00,43.05,43.11,43.01,43.03,108938
SAGILITY,2026-04-09 09:41:00,43.03,43.05,43.03,43.03,15740
SAGILITY,2026-04-09 09:42:00,43.01,43.05,42.99,42.99,117260
SAGILITY,2026-04-09 09:43:00,43.0,43.0,42.95,42.98,142103
SAGILITY,2026-04-09 09:44:00,42.95,42.95,42.91,42.91,42977
SAGILITY,2026-04-09 09:45:00,42.93,42.95,42.88,42.93,82968
SAGILITY,2026-04-09 09:46:00,42.95,42.95,42.9,42.9,59514
SAGILITY,2026-04-09 09:47:00,42.9,42.95,42.89,42.94,14004
SAGILITY,2026-04-09 09:48:00,42.94,42.95,42.89,42.89,67794
SAGILITY,2026-04-09 09:49:00,42.93,42.93,42.81,42.81,143450
SAGILITY,2026-04-09 09:50:00,42.81,42.81,42.73,42.74,67170
SAGILITY,2026-04-09 09:51:00,42.76,42.8,42.75,42.78,28768
SAGILITY,2026-04-09 09:52:00,42.78,42.83,42.77,42.82,37767
SAGILITY,2026-04-09 09:53:00,42.83,42.89,42.82,42.84,37116
SAGILITY,2026-04-09 09:54:00,42.84,42.86,42.8,42.83,32886
SAGILITY,2026-04-09 09:55:00,42.86,42.87,42.8,42.8,26940
SAGILITY,2026-04-09 09:56:00,42.8,42.85,42.74,42.85,51908
SAGILITY,2026-04-09 09:57:00,42.82,42.84,42.79,42.83,18249
SAGILITY,2026-04-09 09:58:00,42.83,42.83,42.8,42.8,5448
SAGILITY,2026-04-09 09:59:00,42.8,42.8,42.73,42.75,25187
SAGILITY,2026-04-09 10:00:00,42.77,42.77,42.71,42.72,16884
SAGILITY,2026-04-09 10:01:00,42.74,42.78,42.71,42.75,26950
SAGILITY,2026-04-09 10:02:00,42.75,42.8,42.75,42.76,19154
SAGILITY,2026-04-09 10:03:00,42.76,42.84,42.75,42.84,19837
SAGILITY,2026-04-09 10:04:00,42.84,42.84,42.77,42.77,12486
SAGILITY,2026-04-09 10:05:00,42.8,42.84,42.79,42.81,7826
SAGILITY,2026-04-09 10:06:00,42.82,42.86,42.82,42.86,10936
SAGILITY,2026-04-09 10:07:00,42.86,42.92,42.85,42.89,24481
SAGILITY,2026-04-09 10:08:00,42.89,42.91,42.86,42.91,11400
SAGILITY,2026-04-09 10:09:00,42.88,42.92,42.86,42.89,29830
SAGILITY,2026-04-09 10:10:00,42.91,42.92,42.86,42.92,84563
SAGILITY,2026-04-09 10:11:00,42.92,42.94,42.9,42.92,6951
SAGILITY,2026-04-09 10:12:00,42.92,42.94,42.91,42.92,4139
SAGILITY,2026-04-09 10:13:00,42.94,42.98,42.92,42.93,36315
SAGILITY,2026-04-09 10:14:00,42.93,42.93,42.92,42.93,7270
SAGILITY,2026-04-09 10:15:00,42.92,42.94,42.91,42.91,17360
SAGILITY,2026-04-09 10:16:00,42.91,42.92,42.9,42.92,7701
SAGILITY,2026-04-09 10:17:00,42.92,42.96,42.92,42.96,3955
SAGILITY,2026-04-09 10:18:00,43.08,43.19,43.06,43.12,199849
SAGILITY,2026-04-09 10:19:00,43.15,43.15,43.12,43.14,23589
SAGILITY,2026-04-09 10:20:00,43.14,43.14,43.08,43.1,28951
SAGILITY,2026-04-09 10:21:00,43.1,43.13,43.1,43.13,31107
SAGILITY,2026-04-09 10:22:00,43.1,43.13,43.1,43.12,11854
SAGILITY,2026-04-09 10:23:00,43.12,43.19,43.12,43.17,57846
SAGILITY,2026-04-09 10:24:00,43.15,43.17,43.15,43.17,17150
SAGILITY,2026-04-09 10:25:00,43.17,43.17,43.12,43.12,9253
SAGILITY,2026-04-09 10:26:00,43.14,43.16,43.02,43.04,35465
SAGILITY,2026-04-09 10:27:00,43.04,43.05,43.01,43.04,32106
SAGILITY,2026-04-09 10:28:00,43.04,43.07,43.01,43.05,12915
SAGILITY,2026-04-09 10:29:00,43.05,43.13,43.05,43.1,14468
SAGILITY,2026-04-09 10:30:00,43.11,43.13,43.08,43.13,68073
SAGILITY,2026-04-09 10:31:00,43.1,43.13,43.07,43.07,3311
SAGILITY,2026-04-09 10:32:00,43.11,43.15,43.1,43.13,9581
SAGILITY,2026-04-09 10:33:00,43.14,43.14,43.13,43.14,10140
SAGILITY,2026-04-09 10:34:00,43.11,43.2,43.1,43.18,78275
SAGILITY,2026-04-09 10:35:00,43.18,43.19,43.11,43.19,39958
SAGILITY,2026-04-09 10:36:00,43.18,43.18,43.14,43.15,669
SAGILITY,2026-04-09 10:37:00,43.15,43.15,43.12,43.12,2013
SAGILITY,2026-04-09 10:38:00,43.12,43.14,43.06,43.09,35610
SAGILITY,2026-04-09 10:39:00,43.06,43.14,43.06,43.11,15828
SAGILITY,2026-04-09 10:40:00,43.14,43.14,43.09,43.09,8108
SAGILITY,2026-04-09 10:41:00,43.11,43.15,43.09,43.09,50627
SAGILITY,2026-04-09 10:42:00,43.15,43.15,43.11,43.11,2316
SAGILITY,2026-04-09 10:43:00,43.07,43.14,43.07,43.13,12935
SAGILITY,2026-04-09 10:44:00,43.13,43.14,43.1,43.13,11720
SAGILITY,2026-04-09 10:45:00,43.13,43.14,43.13,43.14,4856
SAGILITY,2026-04-09 10:46:00,43.14,43.14,43.1,43.13,13858
SAGILITY,2026-04-09 10:47:00,43.14,43.14,43.13,43.14,11950
SAGILITY,2026-04-09 10:48:00,43.14,43.14,43.09,43.12,17772
SAGILITY,2026-04-09 10:49:00,43.12,43.13,43.1,43.13,17319
SAGILITY,2026-04-09 10:50:00,43.13,43.14,43.1,43.11,9497
SAGILITY,2026-04-09 10:51:00,43.11,43.13,43.1,43.13,3798
SAGILITY,2026-04-09 10:52:00,43.13,43.13,43.1,43.12,6215
