tradingsymbol,datetime,open,high,low,close,volume
SHRIRAMFIN,2026-04-09 09:15:00,1010.1,1015.0,995.5,1002.0,340736
SHRIRAMFIN,2026-04-09 09:16:00,1002.0,1004.45,997.95,1003.05,122728
SHRIRAMFIN,2026-04-09 09:17:00,1003.65,1006.7,1002.55,1005.95,86685
SHRIRAMFIN,2026-04-09 09:18:00,1005.65,1008.05,1005.25,1006.2,90998
SHRIRAMFIN,2026-04-09 09:19:00,1006.2,1007.0,1004.1,1004.45,56622
SHRIRAMFIN,2026-04-09 09:20:00,1005.05,1005.2,1003.25,1004.95,56416
SHRIRAMFIN,2026-04-09 09:21:00,1004.7,1005.05,1003.0,1004.0,28474
SHRIRAMFIN,2026-04-09 09:22:00,1004.0,1004.35,1001.8,1001.8,35828
SHRIRAMFIN,2026-04-09 09:23:00,1002.1,1002.5,1000.6,1002.0,31190
SHRIRAMFIN,2026-04-09 09:24:00,1001.75,1004.15,1001.6,1003.4,59273
SHRIRAMFIN,2026-04-09 09:25:00,1003.45,1006.0,1003.2,1005.0,40081
SHRIRAMFIN,2026-04-09 09:26:00,1005.75,1007.85,1004.95,1007.7,58889
SHRIRAMFIN,2026-04-09 09:27:00,1007.35,1008.0,1007.0,1007.55,37519
SHRIRAMFIN,2026-04-09 09:28:00,1007.55,1007.95,1006.5,1006.6,24222
SHRIRAMFIN,2026-04-09 09:29:00,1006.05,1006.5,1004.55,1006.2,42819
SHRIRAMFIN,2026-04-09 09:30:00,1006.55,1007.0,1003.05,1004.0,48528
SHRIRAMFIN,2026-04-09 09:31:00,1003.6,1004.1,1001.9,1002.05,24392
SHRIRAMFIN,2026-04-09 09:32:00,1002.0,1006.0,1001.2,1005.05,34061
SHRIRAMFIN,2026-04-09 09:33:00,1004.1,1004.25,1001.7,1002.0,26038
SHRIRAMFIN,2026-04-09 09:34:00,1002.0,1003.05,1001.2,1002.75,23071
SHRIRAMFIN,2026-04-09 09:35:00,1002.65,1005.75,1002.5,1005.75,29662
SHRIRAMFIN,2026-04-09 09:36:00,1005.75,1006.8,1005.2,1006.4,23473
SHRIRAMFIN,2026-04-09 09:37:00,1006.4,1006.55,1005.7,1006.0,14345
SHRIRAMFIN,2026-04-09 09:38:00,1006.0,1006.15,1004.6,1004.6,18382
SHRIRAMFIN,2026-04-09 09:39:00,1004.55,1004.55,1003.05,1003.55,14294
SHRIRAMFIN,2026-04-09 09:40:00,1003.05,1005.0,1002.75,1004.5,24546
SHRIRAMFIN,2026-04-09 09:41:00,1004.85,1006.45,1004.25,1004.25,55848
SHRIRAMFIN,2026-04-09 09:42:00,1004.15,1004.4,1003.5,1004.4,34163
SHRIRAMFIN,2026-04-09 09:43:00,1005.0,1005.5,1004.5,1005.5,41237
SHRIRAMFIN,2026-04-09 09:44:00,1005.75,1008.0,1005.15,1008.0,40221
SHRIRAMFIN,2026-04-09 09:45:00,1009.9,1010.45,1008.4,1009.8,55221
SHRIRAMFIN,2026-04-09 09:46:00,1009.35,1009.55,1006.8,1009.55,44101
SHRIRAMFIN,2026-04-09 09:47:00,1009.55,1010.0,1007.2,1007.4,18556
SHRIRAMFIN,2026-04-09 09:48:00,1007.4,1007.8,1006.3,1007.8,19490
SHRIRAMFIN,2026-04-09 09:49:00,1007.8,1008.05,1005.0,1005.4,74800
SHRIRAMFIN,2026-04-09 09:50:00,1005.4,1005.95,1004.45,1004.8,22202
SHRIRAMFIN,2026-04-09 09:51:00,1004.0,1005.3,1004.0,1005.3,41093
SHRIRAMFIN,2026-04-09 09:52:00,1005.4,1007.5,1005.4,1007.3,30375
SHRIRAMFIN,2026-04-09 09:53:00,1007.45,1008.2,1006.8,1006.8,18171
SHRIRAMFIN,2026-04-09 09:54:00,1005.2,1005.65,1004.95,1004.95,13422
