tradingsymbol,datetime,open,high,low,close,volume
SOLARINDS,2026-04-09 09:15:00,13601,13648,13531,13550,1642
SOLARINDS,2026-04-09 09:16:00,13550,13628,13550,13628,1787
SOLARINDS,2026-04-09 09:17:00,13613,13656,13613,13622,1555
SOLARINDS,2026-04-09 09:18:00,13631,13687,13631,13660,2136
SOLARINDS,2026-04-09 09:19:00,13660,13696,13660,13684,608
SOLARINDS,2026-04-09 09:20:00,13698,13733,13698,13698,1541
SOLARINDS,2026-04-09 09:21:00,13700,13720,13686,13720,599
SOLARINDS,2026-04-09 09:22:00,13732,13733,13710,13710,867
SOLARINDS,2026-04-09 09:23:00,13710,13713,13700,13700,1149
SOLARINDS,2026-04-09 09:24:00,13700,13713,13684,13701,484
SOLARINDS,2026-04-09 09:25:00,13706,13717,13692,13713,604
SOLARINDS,2026-04-09 09:26:00,13725,13735,13718,13718,789
SOLARINDS,2026-04-09 09:27:00,13727,13735,13715,13735,327
SOLARINDS,2026-04-09 09:28:00,13735,13741,13730,13741,491
SOLARINDS,2026-04-09 09:29:00,13736,13764,13735,13751,844
SOLARINDS,2026-04-09 09:30:00,13750,13750,13718,13718,418
SOLARINDS,2026-04-09 09:31:00,13718,13730,13708,13708,965
SOLARINDS,2026-04-09 09:32:00,13712,13716,13692,13692,686
SOLARINDS,2026-04-09 09:33:00,13690,13700,13679,13700,670
SOLARINDS,2026-04-09 09:34:00,13700,13700,13679,13679,515
SOLARINDS,2026-04-09 09:35:00,13678,13690,13674,13690,463
SOLARINDS,2026-04-09 09:36:00,13680,13711,13680,13698,378
SOLARINDS,2026-04-09 09:37:00,13691,13699,13681,13681,273
SOLARINDS,2026-04-09 09:38:00,13681,13688,13679,13679,142
SOLARINDS,2026-04-09 09:39:00,13678,13678,13660,13667,548
SOLARINDS,2026-04-09 09:40:00,13667,13667,13651,13651,703
SOLARINDS,2026-04-09 09:41:00,13653,13653,13617,13617,1232
SOLARINDS,2026-04-09 09:42:00,13617,13625,13613,13620,461
SOLARINDS,2026-04-09 09:43:00,13620,13620,13605,13605,493
SOLARINDS,2026-04-09 09:44:00,13612,13612,13585,13595,1032
SOLARINDS,2026-04-09 09:45:00,13595,13605,13588,13588,263
SOLARINDS,2026-04-09 09:46:00,13584,13590,13576,13582,463
SOLARINDS,2026-04-09 09:47:00,13582,13612,13578,13605,265
SOLARINDS,2026-04-09 09:48:00,13599,13604,13578,13581,627
SOLARINDS,2026-04-09 09:49:00,13581,13581,13562,13567,787
SOLARINDS,2026-04-09 09:50:00,13567,13567,13548,13559,556
SOLARINDS,2026-04-09 09:51:00,13546,13556,13541,13551,629
