tradingsymbol,datetime,open,high,low,close,volume
SYNGENE,2026-04-09 09:15:00,402.4,402.95,395.15,396.0,41228
SYNGENE,2026-04-09 09:16:00,396.3,398.45,394.75,398.45,25564
SYNGENE,2026-04-09 09:17:00,397.8,400.0,397.8,400.0,5290
SYNGENE,2026-04-09 09:18:00,399.25,400.85,399.25,400.5,10112
SYNGENE,2026-04-09 09:19:00,400.55,402.0,400.55,401.85,6977
SYNGENE,2026-04-09 09:20:00,400.95,402.0,400.1,400.1,8386
SYNGENE,2026-04-09 09:21:00,400.3,401.3,399.3,401.3,4687
SYNGENE,2026-04-09 09:22:00,400.4,400.4,400.0,400.35,5556
SYNGENE,2026-04-09 09:23:00,400.6,400.6,399.45,399.75,3052
SYNGENE,2026-04-09 09:24:00,399.75,400.25,399.7,400.25,6051
SYNGENE,2026-04-09 09:25:00,400.25,401.2,399.75,400.25,3872
SYNGENE,2026-04-09 09:26:00,400.25,400.25,399.85,399.95,2389
SYNGENE,2026-04-09 09:27:00,400.0,400.0,399.4,399.6,4283
SYNGENE,2026-04-09 09:28:00,399.6,405.4,399.6,404.65,15734
SYNGENE,2026-04-09 09:29:00,404.65,404.65,404.1,404.1,14312
SYNGENE,2026-04-09 09:30:00,403.55,403.55,400.75,403.5,10866
SYNGENE,2026-04-09 09:31:00,403.3,404.3,403.3,403.75,6417
SYNGENE,2026-04-09 09:32:00,403.9,404.0,402.45,402.45,2876
SYNGENE,2026-04-09 09:33:00,402.45,402.45,400.75,401.15,2381
SYNGENE,2026-04-09 09:34:00,401.0,401.1,400.7,400.9,1914
SYNGENE,2026-04-09 09:35:00,401.0,401.0,399.85,400.6,3912
SYNGENE,2026-04-09 09:36:00,400.2,401.85,400.2,401.6,7206
SYNGENE,2026-04-09 09:37:00,401.55,401.95,401.55,401.55,1160
SYNGENE,2026-04-09 09:38:00,401.7,401.95,400.65,400.65,1690
SYNGENE,2026-04-09 09:39:00,400.35,400.5,400.2,400.4,8601
SYNGENE,2026-04-09 09:40:00,400.4,400.65,400.0,400.0,3784
SYNGENE,2026-04-09 09:41:00,400.2,400.2,399.65,399.65,2671
SYNGENE,2026-04-09 09:42:00,399.65,399.65,399.2,399.35,926
SYNGENE,2026-04-09 09:43:00,399.4,399.4,398.5,398.85,2166
SYNGENE,2026-04-09 09:44:00,399.45,399.85,399.0,399.75,12342
SYNGENE,2026-04-09 09:45:00,399.7,400.0,399.25,399.55,2177
SYNGENE,2026-04-09 09:46:00,399.05,399.3,398.9,399.15,789
SYNGENE,2026-04-09 09:47:00,399.4,399.55,399.15,399.35,1167
SYNGENE,2026-04-09 09:48:00,399.35,399.7,399.1,399.35,1439
SYNGENE,2026-04-09 09:49:00,399.4,399.4,397.9,398.0,5095
SYNGENE,2026-04-09 09:50:00,398.0,398.0,396.65,396.65,15643
SYNGENE,2026-04-09 09:51:00,397.25,398.15,396.75,396.85,12846
SYNGENE,2026-04-09 09:52:00,396.9,397.4,396.85,397.0,4205
SYNGENE,2026-04-09 09:53:00,397.0,397.65,396.85,396.95,3309
SYNGENE,2026-04-09 09:54:00,396.95,397.15,396.75,397.0,375
SYNGENE,2026-04-09 09:55:00,396.9,397.05,396.5,396.5,1769
SYNGENE,2026-04-09 09:56:00,396.5,396.8,396.35,396.45,3164
SYNGENE,2026-04-09 09:57:00,396.45,396.5,395.85,396.1,3718
SYNGENE,2026-04-09 09:58:00,396.1,396.7,396.1,396.65,471
SYNGENE,2026-04-09 09:59:00,396.2,396.2,395.3,395.65,6699
SYNGENE,2026-04-09 10:00:00,395.3,395.45,394.25,394.25,13617
SYNGENE,2026-04-09 10:01:00,394.5,395.0,394.45,394.85,2611
SYNGENE,2026-04-09 10:02:00,394.85,395.3,394.55,395.25,3150
SYNGENE,2026-04-09 10:03:00,395.25,396.0,395.1,395.8,1960
SYNGENE,2026-04-09 10:04:00,395.5,395.9,395.35,395.9,1568
SYNGENE,2026-04-09 10:05:00,395.9,396.0,395.5,395.7,1228
SYNGENE,2026-04-09 10:06:00,396.0,396.45,395.8,396.45,2327
SYNGENE,2026-04-09 10:07:00,396.05,396.75,396.0,396.0,3956
SYNGENE,2026-04-09 10:08:00,396.0,396.0,395.6,396.0,237
SYNGENE,2026-04-09 10:09:00,396.2,396.35,396.2,396.2,650
SYNGENE,2026-04-09 10:10:00,396.2,397.5,396.2,397.5,2986
SYNGENE,2026-04-09 10:11:00,397.35,397.35,396.75,396.85,405
SYNGENE,2026-04-09 10:12:00,396.85,397.1,396.8,396.85,293
SYNGENE,2026-04-09 10:13:00,396.6,396.85,396.45,396.45,496
SYNGENE,2026-04-09 10:14:00,396.45,397.0,396.35,396.35,439
SYNGENE,2026-04-09 10:15:00,396.35,396.7,396.1,396.1,415
SYNGENE,2026-04-09 10:16:00,396.3,396.3,395.95,396.25,739
SYNGENE,2026-04-09 10:17:00,396.25,396.5,396.25,396.4,283
SYNGENE,2026-04-09 10:18:00,396.4,397.45,396.4,396.95,2660
SYNGENE,2026-04-09 10:19:00,396.95,397.7,396.95,397.3,293
SYNGENE,2026-04-09 10:20:00,397.3,398.2,397.2,397.8,3367
SYNGENE,2026-04-09 10:21:00,397.75,398.05,397.5,397.65,851
SYNGENE,2026-04-09 10:22:00,397.65,397.7,397.2,397.2,323
SYNGENE,2026-04-09 10:23:00,397.2,397.5,397.0,397.5,373
SYNGENE,2026-04-09 10:24:00,397.5,397.8,397.4,397.75,379
SYNGENE,2026-04-09 10:25:00,397.75,397.75,397.25,397.25,277
SYNGENE,2026-04-09 10:26:00,397.4,397.4,397.1,397.4,291
SYNGENE,2026-04-09 10:27:00,397.4,397.4,396.9,397.0,498
SYNGENE,2026-04-09 10:28:00,397.0,397.35,397.0,397.0,284
SYNGENE,2026-04-09 10:29:00,397.0,397.45,397.0,397.3,445
SYNGENE,2026-04-09 10:30:00,397.9,397.9,397.4,397.65,560
SYNGENE,2026-04-09 10:31:00,397.65,398.1,397.45,397.6,1720
SYNGENE,2026-04-09 10:32:00,398.0,398.2,397.55,397.85,275
SYNGENE,2026-04-09 10:33:00,397.85,398.0,397.85,397.85,1104
SYNGENE,2026-04-09 10:34:00,397.85,398.25,397.85,398.1,5817
SYNGENE,2026-04-09 10:35:00,398.05,398.15,397.7,397.95,1513
SYNGENE,2026-04-09 10:36:00,397.95,398.5,397.3,397.3,1606
SYNGENE,2026-04-09 10:37:00,397.3,397.9,397.15,397.9,2391
SYNGENE,2026-04-09 10:38:00,397.9,397.9,397.2,397.2,620
SYNGENE,2026-04-09 10:39:00,397.55,397.8,397.25,397.5,444
SYNGENE,2026-04-09 10:40:00,397.55,397.55,397.35,397.55,2166
SYNGENE,2026-04-09 10:41:00,397.7,397.9,397.45,397.5,495
SYNGENE,2026-04-09 10:42:00,397.5,397.85,397.4,397.4,1199
SYNGENE,2026-04-09 10:43:00,397.4,397.6,397.4,397.45,262
SYNGENE,2026-04-09 10:44:00,397.45,397.8,397.45,397.8,405
SYNGENE,2026-04-09 10:45:00,397.8,398.2,397.7,397.95,306
SYNGENE,2026-04-09 10:46:00,398.2,399.0,397.9,398.75,5535
SYNGENE,2026-04-09 10:47:00,399.25,399.6,399.15,399.2,5792
SYNGENE,2026-04-09 10:48:00,399.2,399.85,399.2,399.85,694
SYNGENE,2026-04-09 10:49:00,399.7,399.7,398.3,398.9,6575
SYNGENE,2026-04-09 10:50:00,398.9,399.1,398.7,399.1,467
SYNGENE,2026-04-09 10:51:00,399.1,399.1,398.7,398.85,1153
SYNGENE,2026-04-09 10:52:00,398.85,399.15,398.7,398.7,810
SYNGENE,2026-04-09 10:53:00,398.7,399.95,398.65,399.8,5392
SYNGENE,2026-04-09 10:54:00,399.8,399.8,399.55,399.75,594
SYNGENE,2026-04-09 10:55:00,400.0,400.15,399.8,400.0,2898
SYNGENE,2026-04-09 10:56:00,400.05,400.15,399.45,399.45,2408
SYNGENE,2026-04-09 10:57:00,399.35,399.8,399.35,399.8,996
SYNGENE,2026-04-09 10:58:00,399.9,399.9,399.6,399.9,866
SYNGENE,2026-04-09 10:59:00,399.9,399.9,399.5,399.65,656
SYNGENE,2026-04-09 11:00:00,399.65,400.4,399.6,400.4,3107
SYNGENE,2026-04-09 11:01:00,400.4,400.4,400.1,400.15,303
SYNGENE,2026-04-09 11:02:00,400.4,400.4,400.05,400.2,515
SYNGENE,2026-04-09 11:03:00,400.25,400.5,399.5,399.5,1598
SYNGENE,2026-04-09 11:04:00,399.5,400.1,399.45,399.6,1248
SYNGENE,2026-04-09 11:05:00,399.6,400.0,399.6,399.7,1372
SYNGENE,2026-04-09 11:06:00,399.7,400.0,399.45,399.45,1238
SYNGENE,2026-04-09 11:07:00,399.7,400.25,399.15,400.25,3460
SYNGENE,2026-04-09 11:08:00,400.25,400.5,400.25,400.3,454
SYNGENE,2026-04-09 11:09:00,400.3,400.45,400.3,400.45,297
SYNGENE,2026-04-09 11:10:00,400.45,400.9,400.3,400.6,4284
SYNGENE,2026-04-09 11:11:00,400.6,400.9,400.5,400.6,312
SYNGENE,2026-04-09 11:12:00,400.65,400.85,400.5,400.5,304
SYNGENE,2026-04-09 11:13:00,400.75,401.05,400.5,400.5,1016
SYNGENE,2026-04-09 11:14:00,400.4,400.95,400.15,400.55,1366
SYNGENE,2026-04-09 11:15:00,400.55,400.95,400.55,400.55,354
SYNGENE,2026-04-09 11:16:00,400.9,400.9,400.0,400.15,10188
SYNGENE,2026-04-09 11:17:00,400.15,400.4,400.15,400.15,579
SYNGENE,2026-04-09 11:18:00,400.4,400.4,400.15,400.15,454
SYNGENE,2026-04-09 11:19:00,400.4,400.6,400.15,400.3,751
SYNGENE,2026-04-09 11:20:00,400.55,401.0,400.3,400.65,755
SYNGENE,2026-04-09 11:21:00,400.95,400.95,400.2,400.2,472
SYNGENE,2026-04-09 11:22:00,400.2,401.0,400.15,400.75,419
SYNGENE,2026-04-09 11:23:00,401.0,401.0,400.35,400.45,470
SYNGENE,2026-04-09 11:24:00,400.8,401.0,400.4,400.75,1320
SYNGENE,2026-04-09 11:25:00,400.55,401.0,400.55,400.55,2934
SYNGENE,2026-04-09 11:26:00,400.55,401.5,400.55,401.15,1371
SYNGENE,2026-04-09 11:27:00,401.45,401.5,400.9,400.9,505
SYNGENE,2026-04-09 11:28:00,401.25,401.3,400.75,400.95,425
SYNGENE,2026-04-09 11:29:00,401.0,401.0,400.75,400.8,507
SYNGENE,2026-04-09 11:30:00,401.0,401.4,400.8,401.15,1523
SYNGENE,2026-04-09 11:31:00,401.15,401.65,400.95,401.3,1260
SYNGENE,2026-04-09 11:32:00,401.3,401.6,401.15,401.55,570
SYNGENE,2026-04-09 11:33:00,401.75,401.95,401.75,401.85,531
SYNGENE,2026-04-09 11:34:00,401.95,401.95,400.8,401.2,549
SYNGENE,2026-04-09 11:35:00,401.4,401.8,400.9,401.8,2979
SYNGENE,2026-04-09 11:36:00,401.8,402.0,401.55,401.7,1371
SYNGENE,2026-04-09 11:37:00,401.7,402.0,401.65,401.75,429
SYNGENE,2026-04-09 11:38:00,401.75,402.0,401.65,401.95,333
SYNGENE,2026-04-09 11:39:00,402.0,402.0,401.6,401.6,624
SYNGENE,2026-04-09 11:40:00,401.85,401.9,401.15,401.75,2182
SYNGENE,2026-04-09 11:41:00,401.75,401.85,401.4,401.85,320
SYNGENE,2026-04-09 11:42:00,401.85,401.85,401.5,401.85,343
SYNGENE,2026-04-09 11:43:00,401.85,401.85,401.4,401.8,467
SYNGENE,2026-04-09 11:44:00,401.8,401.8,401.5,401.8,354
SYNGENE,2026-04-09 11:45:00,401.8,401.8,401.4,401.4,316
SYNGENE,2026-04-09 11:46:00,401.65,401.75,401.15,401.55,355
SYNGENE,2026-04-09 11:47:00,401.55,401.65,401.2,401.5,780
SYNGENE,2026-04-09 11:48:00,401.5,402.3,401.5,402.25,9255
SYNGENE,2026-04-09 11:49:00,402.25,402.25,401.55,401.95,615
SYNGENE,2026-04-09 11:50:00,401.9,402.05,401.45,401.45,462
SYNGENE,2026-04-09 11:51:00,401.8,402.0,401.45,401.95,375
SYNGENE,2026-04-09 11:52:00,402.0,402.05,401.55,401.85,323
SYNGENE,2026-04-09 11:53:00,402.0,402.05,401.6,401.95,623
SYNGENE,2026-04-09 11:54:00,401.95,401.95,401.55,401.75,567
SYNGENE,2026-04-09 11:55:00,401.75,402.0,401.5,402.0,914
SYNGENE,2026-04-09 11:56:00,402.0,402.0,401.65,402.0,1037
SYNGENE,2026-04-09 11:57:00,401.95,402.2,401.7,402.2,4270
SYNGENE,2026-04-09 11:58:00,402.55,402.7,402.1,402.15,4449
SYNGENE,2026-04-09 11:59:00,402.5,402.95,402.15,402.9,1405
SYNGENE,2026-04-09 12:00:00,402.9,402.95,402.6,402.85,592
SYNGENE,2026-04-09 12:01:00,402.85,402.85,402.2,402.55,534
SYNGENE,2026-04-09 12:02:00,402.25,402.85,402.25,402.85,509
SYNGENE,2026-04-09 12:03:00,402.4,402.85,402.4,402.4,288
SYNGENE,2026-04-09 12:04:00,402.4,402.85,402.2,402.25,438
