tradingsymbol,datetime,open,high,low,close,volume
TCS,2026-04-09 09:15:00,2554.0,2573.0,2531.1,2533.2,93802
TCS,2026-04-09 09:16:00,2533.2,2548.0,2531.1,2540.8,53497
TCS,2026-04-09 09:17:00,2541.7,2547.2,2541.5,2545.1,28441
TCS,2026-04-09 09:18:00,2545.9,2549.3,2545.1,2546.6,21229
TCS,2026-04-09 09:19:00,2546.6,2553.0,2545.1,2553.0,20814
TCS,2026-04-09 09:20:00,2552.5,2558.0,2550.0,2557.5,41870
TCS,2026-04-09 09:21:00,2555.9,2560.6,2555.4,2558.0,31270
TCS,2026-04-09 09:22:00,2559.0,2562.0,2557.0,2561.9,22705
TCS,2026-04-09 09:23:00,2561.4,2563.2,2558.0,2563.0,16503
TCS,2026-04-09 09:24:00,2563.0,2569.8,2563.0,2568.4,24455
TCS,2026-04-09 09:25:00,2569.4,2571.3,2568.1,2570.5,22749
TCS,2026-04-09 09:26:00,2569.9,2574.0,2567.4,2570.1,32149
TCS,2026-04-09 09:27:00,2570.0,2578.2,2569.1,2577.2,43438
TCS,2026-04-09 09:28:00,2576.7,2577.0,2572.0,2572.5,15571
TCS,2026-04-09 09:29:00,2572.5,2574.3,2570.7,2572.8,10269
TCS,2026-04-09 09:30:00,2572.1,2575.8,2572.0,2572.5,21011
TCS,2026-04-09 09:31:00,2572.7,2572.9,2569.0,2569.9,19838
TCS,2026-04-09 09:32:00,2569.0,2570.3,2568.5,2570.3,25532
TCS,2026-04-09 09:33:00,2570.9,2573.2,2569.0,2570.0,24309
TCS,2026-04-09 09:34:00,2570.1,2570.4,2563.0,2566.3,20254
TCS,2026-04-09 09:35:00,2566.9,2574.0,2566.2,2574.0,20302
TCS,2026-04-09 09:36:00,2574.0,2575.8,2571.7,2574.0,15719
TCS,2026-04-09 09:37:00,2574.0,2576.4,2573.2,2574.2,14053
TCS,2026-04-09 09:38:00,2574.0,2574.0,2568.0,2568.5,11741
TCS,2026-04-09 09:39:00,2568.3,2568.6,2565.0,2567.8,16790
TCS,2026-04-09 09:40:00,2568.5,2568.7,2566.0,2568.1,8376
TCS,2026-04-09 09:41:00,2568.1,2568.8,2557.2,2557.4,28517
TCS,2026-04-09 09:42:00,2557.9,2559.2,2555.7,2558.7,16611
TCS,2026-04-09 09:43:00,2558.7,2561.1,2558.5,2559.4,9149
TCS,2026-04-09 09:44:00,2559.4,2561.1,2557.0,2557.3,13731
TCS,2026-04-09 09:45:00,2557.9,2562.3,2557.6,2559.8,17176
TCS,2026-04-09 09:46:00,2559.0,2560.0,2556.4,2559.6,12271
TCS,2026-04-09 09:47:00,2559.5,2559.5,2552.9,2554.9,29730
TCS,2026-04-09 09:48:00,2555.0,2560.0,2554.0,2558.7,7892
TCS,2026-04-09 09:49:00,2559.1,2563.6,2558.0,2562.0,13014
TCS,2026-04-09 09:50:00,2562.0,2563.0,2560.5,2562.9,15604
TCS,2026-04-09 09:51:00,2563.0,2564.0,2562.0,2563.5,7730
TCS,2026-04-09 09:52:00,2562.9,2566.8,2562.9,2565.9,24680
TCS,2026-04-09 09:53:00,2565.9,2569.9,2564.4,2566.9,12027
TCS,2026-04-09 09:54:00,2567.4,2568.4,2566.9,2567.4,11427
TCS,2026-04-09 09:55:00,2568.5,2569.1,2566.2,2568.0,13457
TCS,2026-04-09 09:56:00,2568.0,2568.0,2566.0,2567.3,4409
TCS,2026-04-09 09:57:00,2567.3,2567.9,2565.5,2566.1,13389
TCS,2026-04-09 09:58:00,2566.9,2567.8,2562.9,2562.9,8574
TCS,2026-04-09 09:59:00,2562.3,2564.2,2561.3,2564.2,10749
TCS,2026-04-09 10:00:00,2564.2,2564.2,2561.3,2563.1,9498
TCS,2026-04-09 10:01:00,2563.4,2566.0,2562.9,2566.0,7285
TCS,2026-04-09 10:02:00,2566.0,2566.7,2565.4,2565.5,5529
TCS,2026-04-09 10:03:00,2565.8,2566.9,2564.3,2565.0,16349
TCS,2026-04-09 10:04:00,2565.0,2565.7,2563.3,2563.8,6540
TCS,2026-04-09 10:05:00,2562.6,2567.4,2562.6,2566.1,12179
TCS,2026-04-09 10:06:00,2566.1,2566.1,2557.0,2557.4,16346
TCS,2026-04-09 10:07:00,2555.4,2558.8,2555.0,2556.4,15720
TCS,2026-04-09 10:08:00,2556.2,2558.8,2556.0,2558.7,12300
TCS,2026-04-09 10:09:00,2558.7,2560.3,2556.6,2558.2,14503
TCS,2026-04-09 10:10:00,2558.2,2562.7,2558.2,2562.6,18638
TCS,2026-04-09 10:11:00,2562.9,2563.0,2560.7,2562.5,13347
TCS,2026-04-09 10:12:00,2562.5,2564.0,2560.9,2562.3,8082
TCS,2026-04-09 10:13:00,2562.3,2564.2,2560.2,2564.2,15786
TCS,2026-04-09 10:14:00,2564.7,2566.3,2562.2,2563.4,29496
TCS,2026-04-09 10:15:00,2563.4,2564.3,2561.2,2562.5,11640
