tradingsymbol,datetime,open,high,low,close,volume
TITAN,2026-04-09 09:15:00,4475.0,4485.0,4462.5,4465.9,12962
TITAN,2026-04-09 09:16:00,4465.9,4484.8,4461.0,4483.0,7069
TITAN,2026-04-09 09:17:00,4482.8,4483.0,4473.0,4479.2,19208
TITAN,2026-04-09 09:18:00,4479.2,4494.2,4479.2,4488.5,9693
TITAN,2026-04-09 09:19:00,4492.0,4492.3,4486.0,4489.3,4713
TITAN,2026-04-09 09:20:00,4490.8,4497.4,4485.0,4487.4,8220
TITAN,2026-04-09 09:21:00,4486.0,4487.8,4481.8,4487.8,4084
TITAN,2026-04-09 09:22:00,4487.8,4490.8,4484.3,4485.0,2818
TITAN,2026-04-09 09:23:00,4485.0,4487.3,4482.9,4482.9,2698
TITAN,2026-04-09 09:24:00,4482.8,4488.0,4481.0,4488.0,2143
TITAN,2026-04-09 09:25:00,4488.0,4488.3,4486.1,4488.3,2455
TITAN,2026-04-09 09:26:00,4488.0,4492.0,4487.0,4488.0,7781
TITAN,2026-04-09 09:27:00,4487.6,4490.0,4487.0,4487.8,2294
TITAN,2026-04-09 09:28:00,4487.8,4489.8,4486.3,4486.3,2146
TITAN,2026-04-09 09:29:00,4486.0,4487.4,4484.1,4487.4,1957
TITAN,2026-04-09 09:30:00,4487.4,4489.0,4473.6,4473.6,4507
TITAN,2026-04-09 09:31:00,4475.7,4476.6,4467.1,4469.7,5477
TITAN,2026-04-09 09:32:00,4469.7,4476.3,4468.0,4469.2,3430
TITAN,2026-04-09 09:33:00,4469.2,4471.6,4466.0,4466.0,3476
TITAN,2026-04-09 09:34:00,4466.0,4469.9,4465.5,4465.5,2589
TITAN,2026-04-09 09:35:00,4466.2,4469.9,4463.7,4468.2,3095
TITAN,2026-04-09 09:36:00,4468.2,4473.1,4468.0,4472.9,1163
TITAN,2026-04-09 09:37:00,4472.9,4474.7,4470.0,4470.2,2442
TITAN,2026-04-09 09:38:00,4470.2,4473.5,4467.6,4471.6,1589
TITAN,2026-04-09 09:39:00,4471.6,4473.6,4468.2,4472.5,2900
TITAN,2026-04-09 09:40:00,4472.5,4474.7,4471.0,4474.6,1093
TITAN,2026-04-09 09:41:00,4474.6,4474.6,4473.3,4473.7,677
TITAN,2026-04-09 09:42:00,4473.7,4476.6,4473.3,4475.0,2586
TITAN,2026-04-09 09:43:00,4473.3,4476.3,4471.0,4471.1,7482
TITAN,2026-04-09 09:44:00,4471.5,4474.5,4470.8,4472.8,2651
TITAN,2026-04-09 09:45:00,4472.8,4474.8,4472.0,4472.0,1508
TITAN,2026-04-09 09:46:00,4470.0,4470.4,4465.4,4468.5,5098
TITAN,2026-04-09 09:47:00,4469.5,4470.0,4463.0,4463.0,4956
TITAN,2026-04-09 09:48:00,4463.0,4465.0,4461.5,4463.0,1384
TITAN,2026-04-09 09:49:00,4463.0,4463.0,4455.6,4457.9,3415
TITAN,2026-04-09 09:50:00,4457.0,4457.0,4450.4,4450.6,12078
TITAN,2026-04-09 09:51:00,4452.1,4455.0,4450.1,4454.6,1830
TITAN,2026-04-09 09:52:00,4454.8,4457.2,4452.1,4457.1,6402
TITAN,2026-04-09 09:53:00,4458.8,4459.2,4452.4,4452.4,1995
TITAN,2026-04-09 09:54:00,4452.4,4454.8,4452.4,4454.4,1247
TITAN,2026-04-09 09:55:00,4453.0,4453.0,4447.8,4450.6,5608
