tradingsymbol,datetime,open,high,low,close,volume
TRENT,2026-04-09 09:15:00,2605.3,2605.3,2580.0,2583.3,10407
TRENT,2026-04-09 09:16:00,2583.3,2591.2,2578.3,2590.0,16956
TRENT,2026-04-09 09:17:00,2588.8,2608.2,2588.4,2608.2,7125
TRENT,2026-04-09 09:18:00,2608.7,2614.7,2608.7,2614.5,8378
TRENT,2026-04-09 09:19:00,2614.7,2617.9,2612.9,2615.1,9456
TRENT,2026-04-09 09:20:00,2615.1,2621.5,2613.5,2618.5,13792
TRENT,2026-04-09 09:21:00,2618.5,2620.9,2616.3,2618.1,5886
TRENT,2026-04-09 09:22:00,2620.3,2621.7,2615.3,2619.9,4780
TRENT,2026-04-09 09:23:00,2619.9,2620.0,2617.0,2618.3,1944
TRENT,2026-04-09 09:24:00,2618.3,2623.3,2618.3,2622.3,7872
TRENT,2026-04-09 09:25:00,2622.0,2623.3,2620.3,2622.8,4986
TRENT,2026-04-09 09:26:00,2622.7,2625.7,2618.0,2618.0,5325
TRENT,2026-04-09 09:27:00,2618.0,2622.0,2617.3,2622.0,4678
TRENT,2026-04-09 09:28:00,2622.0,2622.0,2618.3,2618.3,3404
TRENT,2026-04-09 09:29:00,2618.9,2619.3,2617.4,2618.6,3140
TRENT,2026-04-09 09:30:00,2618.6,2619.3,2612.0,2612.0,4634
TRENT,2026-04-09 09:31:00,2613.7,2614.0,2609.4,2610.5,4144
TRENT,2026-04-09 09:32:00,2610.5,2613.3,2608.5,2608.6,4008
TRENT,2026-04-09 09:33:00,2608.6,2610.1,2604.3,2605.3,6582
TRENT,2026-04-09 09:34:00,2604.5,2606.7,2602.1,2602.1,4269
TRENT,2026-04-09 09:35:00,2603.6,2606.3,2597.5,2600.9,8036
TRENT,2026-04-09 09:36:00,2601.4,2603.4,2600.9,2601.9,4266
TRENT,2026-04-09 09:37:00,2601.9,2604.7,2600.7,2602.5,1947
TRENT,2026-04-09 09:38:00,2603.2,2603.7,2600.9,2602.7,1722
TRENT,2026-04-09 09:39:00,2602.7,2603.1,2598.7,2599.7,7630
TRENT,2026-04-09 09:40:00,2600.5,2602.1,2598.3,2599.0,1701
TRENT,2026-04-09 09:41:00,2599.0,2600.0,2591.5,2592.5,3537
TRENT,2026-04-09 09:42:00,2593.5,2593.5,2588.6,2588.6,4586
TRENT,2026-04-09 09:43:00,2589.9,2590.0,2587.4,2589.5,4206
TRENT,2026-04-09 09:44:00,2589.9,2592.8,2589.5,2591.3,4386
TRENT,2026-04-09 09:45:00,2592.0,2594.9,2588.3,2589.3,2697
TRENT,2026-04-09 09:46:00,2589.2,2589.9,2587.3,2588.8,2098
TRENT,2026-04-09 09:47:00,2588.8,2589.4,2586.7,2588.1,2614
TRENT,2026-04-09 09:48:00,2588.1,2588.1,2580.1,2580.7,7689
TRENT,2026-04-09 09:49:00,2580.7,2582.7,2580.7,2581.1,2529
TRENT,2026-04-09 09:50:00,2581.1,2581.4,2578.0,2578.9,8613
TRENT,2026-04-09 09:51:00,2578.9,2578.9,2575.4,2575.7,2160
TRENT,2026-04-09 09:52:00,2578.4,2578.4,2574.7,2578.1,3411
TRENT,2026-04-09 09:53:00,2578.2,2578.2,2573.4,2575.3,4011
TRENT,2026-04-09 09:54:00,2575.3,2576.6,2573.3,2573.4,2216
TRENT,2026-04-09 09:55:00,2575.1,2575.1,2568.7,2571.5,5810
TRENT,2026-04-09 09:56:00,2569.9,2572.2,2568.4,2572.1,2740
TRENT,2026-04-09 09:57:00,2571.2,2574.1,2571.1,2572.1,2136
TRENT,2026-04-09 09:58:00,2572.1,2573.0,2570.1,2572.0,1568
TRENT,2026-04-09 09:59:00,2572.3,2572.3,2568.6,2569.5,1948
TRENT,2026-04-09 10:00:00,2568.7,2569.3,2565.3,2568.0,5722
TRENT,2026-04-09 10:01:00,2568.0,2571.9,2567.2,2571.7,3392
TRENT,2026-04-09 10:02:00,2571.7,2575.3,2571.7,2575.1,3970
TRENT,2026-04-09 10:03:00,2575.1,2580.0,2573.4,2576.5,6219
